Sutter County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,5.03
200002,7.88
200003,2.04
200004,1.52
200005,1.20
200006,0.19
200007,0.00
200008,0.00
200009,0.24
200010,2.18
200011,0.75
200012,0.43
200101,3.76
200102,4.50
200103,1.86
200104,1.31
200105,0.00
200106,0.12
200107,0.00
200108,0.00
200109,0.32
200110,0.98
200111,3.71
200112,5.73
200201,2.82
200202,0.85
200203,2.72
200204,0.20
200205,1.27
200206,0.00
200207,0.00
200208,0.00
200209,0.00
200210,0.00
200211,2.19
200212,6.93
200301,2.32
200302,1.72
200303,2.28
200304,3.28
200305,1.00
200306,0.00
200307,0.00
200308,0.28
200309,0.00
200310,0.04
200311,2.13
200312,5.24
200401,2.63
200402,5.68
200403,1.06
200404,0.21
200405,0.07
200406,0.00
200407,0.00
200408,0.00
200409,0.05
200410,2.90
200411,2.49
200412,3.65
200501,4.18
200502,2.65
200503,2.50
200504,0.90
200505,1.96
200506,0.82
200507,0.00
200508,0.00
200509,0.05
200510,0.52
200511,2.15
200512,8.33
200601,2.39
200602,2.57
200603,5.38
200604,3.88
200605,0.50
200606,0.00
200607,0.00
200608,0.00
200609,0.01
200610,0.10
200611,1.75
200612,2.90
200701,0.13
200702,3.99
200703,0.26
200704,1.41
200705,0.35
200706,0.05
200707,0.02
200708,0.00
200709,0.31
200710,1.53
200711,0.67
200712,3.00
200801,7.58
200802,2.49
200803,0.16
200804,0.11
200805,0.05
200806,0.00
200807,0.00
200808,0.01
200809,0.00
200810,0.80
200811,2.14
200812,1.87
200901,1.13
200902,4.61
200903,1.80
200904,0.44
200905,1.22
200906,0.33
200907,0.00
200908,0.00
200909,0.19
200910,2.22
200911,0.76
200912,2.20
201001,6.23
201002,2.54
201003,1.63
201004,3.03
201005,0.98
201006,0.01
201007,0.00
201008,0.00
201009,0.07
201010,1.56
201011,2.58
201012,5.80
201101,1.49
201102,4.11
201103,6.59
201104,0.45
201105,1.97
201106,1.10
201107,0.00
201108,0.00
201109,0.02
201110,1.28
201111,1.02
201112,0.14
201201,3.61
201202,1.05
201203,4.31
201204,2.44
201205,0.01
201206,0.06
201207,0.01
201208,0.00
201209,0.00
201210,1.38
201211,4.32
201212,5.59
201301,0.87
201302,0.47
201303,1.67
201304,0.70
201305,0.31
201306,0.56
201307,0.00
201308,0.00
201309,0.77
201310,0.03
201311,0.99
201312,0.20
201401,0.31
201402,4.55
201403,2.21
201404,1.21
201405,0.14
201406,0.00
201407,0.00
201408,0.04
201409,0.45
201410,0.45
201411,1.86
201412,8.81
201501,0.10
201502,2.49
201503,0.17
201504,1.52
201505,0.03
201506,0.03
201507,0.01
201508,0.01
201509,0.04
201510,0.08
201511,2.36
201512,2.03
201601,5.42
201602,0.72
201603,6.80
201604,0.59
201605,0.47
201606,0.01
201607,0.00
201608,0.00
201609,0.00
201610,2.65
201611,1.59
201612,3.14
201701,9.03
201702,7.47
201703,2.63
201704,2.62
201705,0.14
201706,0.47
201707,0.00
201708,0.00
201709,0.01
201710,0.29
201711,2.65
201712,0.10
201801,4.38
201802,0.43
201803,4.96
201804,2.37
201805,0.13
201806,0.00
201807,0.00
201808,0.00
201809,0.00
201810,0.24
201811,2.57
201812,2.53
201901,5.22
201902,9.07
201903,3.94
201904,0.57
201905,3.07
201906,0.02
201907,0.00
201908,0.00
201909,0.34
201910,0.00
201911,0.53
201912,5.47
202001,1.45
202002,0.01
202003,1.27
202004,0.85
202005,0.78
202006,0.02
202007,0.00
202008,0.05
202009,0.00
202010,0.00
202011,0.76
202012,1.38
202101,2.19
202102,1.13
202103,1.49
202104,0.07
202105,0.00
202106,0.00
202107,0.00
202108,0.00
202109,0.06
202110,4.85
202111,0.77
202112,5.52
202201,0.09
202202,0.00
202203,0.84
202204,0.74
202205,0.06
202206,0.30
202207,0.00
202208,0.00
202209,1.27
202210,0.00
202211,1.45
202212,6.01
202301,8.92
202302,2.15
202303,5.59
202304,0.27
202305,1.17
202306,0.03
202307,0.00
202308,0.10
202309,0.29
202310,0.73
202311,0.52
202312,3.35
202401,4.63
202402,6.25
202403,1.97
202404,1.08
202405,0.90
