Sutter County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,48.6
200002,52.1
200003,55.8
200004,62.7
200005,68.3
200006,76.7
200007,75.3
200008,76.7
200009,72.3
200010,62.5
200011,49.4
200012,48.0
200101,46.5
200102,49.3
200103,58.6
200104,57.7
200105,75.1
200106,76.6
200107,77.0
200108,77.5
200109,73.3
200110,67.6
200111,56.1
200112,48.3
200201,45.3
200202,52.2
200203,54.0
200204,61.2
200205,67.0
200206,76.0
200207,79.3
200208,76.3
200209,74.4
200210,63.9
200211,56.0
200212,49.7
200301,50.5
200302,50.8
200303,56.3
200304,54.9
200305,66.8
200306,75.8
200307,81.8
200308,76.6
200309,75.3
200310,68.6
200311,51.6
200312,48.8
200401,46.4
200402,50.6
200403,61.8
200404,63.2
200405,68.6
200406,75.4
200407,78.5
200408,78.1
200409,73.4
200410,63.0
200411,52.7
200412,48.0
200501,45.5
200502,53.6
200503,57.4
200504,58.5
200505,66.6
200506,70.4
200507,82.3
200508,79.3
200509,70.7
200510,64.2
200511,56.1
200512,49.6
200601,48.7
200602,52.4
200603,49.5
200604,58.7
200605,69.9
200606,78.0
200607,82.9
200608,76.4
200609,73.1
200610,62.8
200611,54.2
200612,47.4
200701,45.5
200702,51.8
200703,59.7
200704,61.6
200705,69.4
200706,74.9
200707,78.5
200708,78.2
200709,70.6
200710,61.8
200711,56.7
200712,46.0
200801,45.1
200802,50.8
200803,55.8
200804,59.5
200805,69.3
200806,76.0
200807,79.2
200808,79.5
200809,74.5
200810,65.6
200811,57.2
200812,44.8
200901,49.3
200902,51.0
200903,54.8
200904,60.8
200905,71.4
200906,73.6
200907,79.5
200908,77.8
200909,76.6
200910,62.7
200911,54.1
200912,45.1
201001,47.9
201002,52.6
201003,54.7
201004,56.2
201005,62.5
201006,75.0
201007,78.2
201008,75.3
201009,73.8
201010,64.8
201011,53.6
201012,50.0
201101,46.3
201102,48.9
201103,53.0
201104,59.1
201105,63.3
201106,71.6
201107,76.9
201108,76.3
201109,76.6
201110,64.5
201111,52.0
201112,46.8
201201,48.5
201202,51.8
201203,53.0
201204,60.9
201205,69.4
201206,74.1
201207,77.9
201208,79.6
201209,75.5
201210,65.6
201211,56.0
201212,47.4
201301,45.4
201302,50.8
201303,58.0
201304,64.4
201305,70.0
201306,76.2
201307,80.3
201308,77.0
201309,72.4
201310,63.6
201311,56.8
201312,46.8
201401,52.6
201402,53.8
201403,58.7
201404,63.5
201405,71.4
201406,77.2
201407,81.0
201408,78.0
201409,75.4
201410,67.9
201411,55.8
201412,52.4
201501,50.2
201502,56.7
201503,61.8
201504,63.1
201505,67.2
201506,79.0
201507,79.9
201508,78.3
201509,75.0
201510,69.8
201511,51.4
201512,47.0
201601,49.1
201602,55.8
201603,57.3
201604,64.3
201605,70.0
201606,77.3
201607,79.4
201608,78.2
201609,74.3
201610,63.5
201611,55.9
201612,46.2
201701,46.4
201702,52.8
201703,57.8
201704,60.3
201705,70.7
201706,77.6
201707,81.8
201708,81.4
201709,76.0
201710,65.2
201711,55.6
201712,49.3
201801,50.0
201802,51.8
201803,54.1
201804,61.2
201805,68.8
201806,75.9
201807,81.9
201808,76.7
201809,73.0
201810,66.2
201811,55.4
201812,48.8
201901,49.9
201902,47.5
201903,54.2
201904,64.5
201905,65.6
201906,77.6
201907,78.9
201908,80.0
201909,73.3
201910,62.9
201911,56.6
201912,49.3
202001,48.4
202002,54.6
202003,54.5
202004,62.8
202005,70.5
202006,76.6
202007,79.4
202008,81.7
202009,77.0
202010,70.0
202011,54.2
202012,49.1
202101,49.2
202102,52.8
202103,53.9
202104,64.1
202105,71.7
202106,78.1
202107,81.5
202108,79.6
202109,76.5
202110,62.6
202111,55.8
202112,46.4
202201,49.6
202202,53.2
202203,58.4
202204,61.2
202205,68.8
202206,77.2
202207,79.2
202208,81.0
202209,77.6
202210,67.9
202211,50.9
202212,45.1
202301,48.4
202302,48.2
202303,50.2
202304,60.7
202305,67.8
202306,73.2
202307,81.4
202308,80.4
202309,72.2
202310,66.4
202311,56.4
202312,51.8
202401,50.0
202402,51.8
202403,56.0
202404,61.8
202405,70.1
