Sutter County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,56.5
200002,59.4
200003,66.9
200004,76.5
200005,81.6
200006,93.0
200007,92.3
200008,93.8
200009,87.8
200010,75.2
200011,60.0
200012,58.0
200101,56.5
200102,58.3
200103,70.9
200104,71.3
200105,91.7
200106,92.6
200107,93.7
200108,95.4
200109,89.6
200110,82.5
200111,65.1
200112,54.6
200201,53.7
200202,63.2
200203,66.2
200204,74.4
200205,81.7
200206,92.5
200207,96.6
200208,93.7
200209,91.9
200210,79.5
200211,67.8
200212,57.9
200301,57.0
200302,61.3
200303,67.7
200304,65.9
200305,81.1
200306,92.2
200307,99.0
200308,92.7
200309,91.6
200310,85.4
200311,61.5
200312,56.2
200401,53.8
200402,59.2
200403,75.0
200404,77.5
200405,83.4
200406,91.4
200407,95.5
200408,95.5
200409,89.9
200410,75.8
200411,62.5
200412,56.5
200501,52.0
200502,62.5
200503,68.7
200504,71.3
200505,79.3
200506,84.7
200507,99.9
200508,97.4
200509,86.9
200510,78.6
200511,67.9
200512,57.5
200601,56.4
200602,64.2
200603,57.7
200604,68.7
200605,84.9
200606,94.1
200607,100.4
200608,93.7
200609,90.1
200610,77.8
200611,63.8
200612,57.0
200701,58.5
200702,61.0
200703,73.6
200704,76.0
200705,85.7
200706,91.8
200707,95.8
200708,95.7
200709,85.6
200710,74.7
200711,69.6
200712,54.8
200801,52.1
200802,60.8
200803,69.1
200804,74.9
200805,84.1
200806,92.6
200807,96.6
200808,97.1
200809,92.3
200810,80.8
200811,68.1
200812,53.7
200901,60.6
200902,60.1
200903,66.6
200904,75.4
200905,86.6
200906,88.8
200907,97.8
200908,95.2
200909,93.6
200910,75.3
200911,66.2
200912,53.8
201001,53.8
201002,60.5
201003,66.2
201004,67.8
201005,75.9
201006,89.9
201007,95.8
201008,92.5
201009,90.0
201010,77.1
201011,64.4
201012,56.5
201101,54.9
201102,60.2
201103,61.8
201104,71.5
201105,76.9
201106,84.8
201107,92.4
201108,93.4
201109,92.9
201110,77.7
201111,62.2
201112,59.3
201201,60.3
201202,63.1
201203,62.8
201204,73.1
201205,84.7
201206,89.9
201207,95.0
201208,97.6
201209,93.4
201210,79.0
201211,65.9
201212,55.3
201301,56.6
201302,64.0
201303,71.1
201304,79.1
201305,84.6
201306,92.1
201307,97.5
201308,93.4
201309,86.9
201310,79.3
201311,69.0
201312,59.6
201401,66.9
201402,63.5
201403,70.4
201404,77.7
201405,87.2
201406,94.4
201407,97.1
201408,93.8
201409,90.9
201410,82.6
201411,66.2
201412,58.6
201501,60.6
201502,67.8
201503,76.1
201504,78.1
201505,81.5
201506,95.8
201507,95.5
201508,94.8
201509,91.1
201510,84.5
201511,62.6
201512,55.6
201601,56.3
201602,68.0
201603,67.8
201604,78.1
201605,83.8
201606,94.1
201607,97.2
201608,96.0
201609,90.9
201610,75.7
201611,66.2
201612,55.4
201701,54.0
201702,60.3
201703,68.8
201704,71.6
201705,85.8
201706,93.3
201707,99.4
201708,98.1
201709,90.8
201710,82.0
201711,64.4
201712,61.9
201801,58.5
201802,65.2
201803,66.3
201804,75.1
201805,84.1
201806,93.4
201807,99.1
201808,93.7
201809,90.5
201810,81.6
201811,68.5
201812,57.6
201901,58.8
201902,55.3
201903,64.0
201904,77.1
201905,78.7
201906,93.4
201907,95.2
201908,96.5
201909,88.2
201910,79.6
201911,70.2
201912,56.6
202001,56.9
202002,68.0
202003,66.0
202004,76.4
202005,85.5
202006,92.9
202007,97.0
202008,98.5
202009,93.2
202010,87.2
202011,67.7
202012,60.5
202101,59.0
202102,64.3
202103,66.8
202104,80.3
202105,88.2
202106,95.3
202107,99.4
202108,96.9
202109,93.4
202110,75.4
202111,65.2
202112,53.4
202201,61.8
202202,68.2
202203,73.0
202204,75.9
202205,84.9
202206,94.4
202207,97.3
202208,99.2
202209,93.6
202210,84.5
202211,63.8
202212,54.0
202301,57.0
202302,58.8
202303,59.3
202304,75.2
202305,81.6
202306,88.4
202307,99.1
202308,97.0
202309,86.8
202310,81.0
202311,68.8
202312,61.4
202401,57.7
202402,60.4
202403,66.5
202404,75.8
202405,85.9
