Sutter County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,40.7
200002,44.7
200003,44.6
200004,49.0
200005,55.0
200006,60.3
200007,58.3
200008,59.5
200009,56.8
200010,49.8
200011,38.8
200012,38.0
200101,36.6
200102,40.3
200103,46.2
200104,44.1
200105,58.5
200106,60.4
200107,60.3
200108,59.7
200109,56.9
200110,52.6
200111,47.1
200112,42.1
200201,37.0
200202,41.1
200203,41.8
200204,48.0
200205,52.2
200206,59.4
200207,62.0
200208,59.0
200209,56.8
200210,48.2
200211,44.2
200212,41.4
200301,43.9
200302,40.4
200303,44.8
200304,43.9
200305,52.5
200306,59.4
200307,64.5
200308,60.5
200309,58.9
200310,51.7
200311,41.7
200312,41.3
200401,38.9
200402,42.1
200403,48.6
200404,48.8
200405,53.7
200406,59.3
200407,61.5
200408,60.8
200409,57.0
200410,50.2
200411,42.9
200412,39.4
200501,39.0
200502,44.6
200503,46.1
200504,45.6
200505,53.8
200506,56.2
200507,64.8
200508,61.1
200509,54.4
200510,50.0
200511,44.2
200512,41.7
200601,40.9
200602,40.6
200603,41.3
200604,48.7
200605,54.8
200606,61.9
200607,65.4
200608,59.0
200609,56.1
200610,47.9
200611,44.6
200612,37.8
200701,32.6
200702,42.6
200703,45.7
200704,47.2
200705,53.2
200706,57.9
200707,61.2
200708,60.8
200709,55.6
200710,48.9
200711,43.8
200712,37.2
200801,38.1
200802,40.6
200803,42.4
200804,44.1
200805,54.5
200806,59.3
200807,61.8
200808,61.9
200809,56.6
200810,50.4
200811,46.3
200812,35.9
200901,38.0
200902,41.8
200903,43.0
200904,46.2
200905,56.2
200906,58.4
200907,61.3
200908,60.4
200909,59.5
200910,50.1
200911,41.9
200912,36.4
201001,41.9
201002,44.6
201003,43.2
201004,44.6
201005,49.1
201006,60.0
201007,60.7
201008,58.1
201009,57.6
201010,52.6
201011,42.8
201012,43.6
201101,37.6
201102,37.6
201103,44.2
201104,46.8
201105,49.7
201106,58.2
201107,61.3
201108,59.3
201109,60.3
201110,51.2
201111,41.7
201112,34.2
201201,36.6
201202,40.4
201203,43.0
201204,48.7
201205,54.1
201206,58.3
201207,60.8
201208,61.6
201209,57.7
201210,52.2
201211,46.2
201212,39.6
201301,34.3
201302,37.7
201303,44.9
201304,49.8
201305,55.3
201306,60.4
201307,63.1
201308,60.7
201309,58.0
201310,47.9
201311,44.5
201312,33.9
201401,38.2
201402,44.0
201403,47.0
201404,49.2
201405,55.5
201406,60.0
201407,64.8
201408,62.2
201409,59.9
201410,53.3
201411,45.5
201412,46.2
201501,39.8
201502,45.6
201503,47.5
201504,48.2
201505,53.0
201506,62.2
201507,64.2
201508,61.9
201509,59.0
201510,55.1
201511,40.1
201512,38.3
201601,42.0
201602,43.6
201603,46.8
201604,50.5
201605,56.2
201606,60.5
201607,61.6
201608,60.4
201609,57.8
201610,51.3
201611,45.6
201612,37.0
201701,38.8
201702,45.2
201703,46.8
201704,49.0
201705,55.5
201706,62.0
201707,64.1
201708,64.7
201709,61.1
201710,48.5
201711,46.8
201712,36.6
201801,41.6
201802,38.4
201803,41.9
201804,47.3
201805,53.6
201806,58.4
201807,64.6
201808,59.6
201809,55.5
201810,50.8
201811,42.3
201812,39.8
201901,41.0
201902,39.8
201903,44.4
201904,51.8
201905,52.5
201906,61.8
201907,62.6
201908,63.6
201909,58.4
201910,46.3
201911,42.9
201912,42.0
202001,40.0
202002,41.2
202003,43.0
202004,49.2
202005,55.6
202006,60.3
202007,61.6
202008,64.8
202009,60.8
202010,52.9
202011,40.7
202012,37.6
202101,39.5
202102,41.2
202103,41.0
202104,47.9
202105,55.2
202106,60.9
202107,63.5
202108,62.4
202109,59.5
202110,49.8
202111,46.4
202112,39.5
202201,37.4
202202,38.0
202203,43.7
202204,46.4
202205,52.8
202206,60.2
202207,61.0
202208,62.9
202209,61.7
202210,51.3
202211,38.0
202212,36.1
202301,39.9
202302,37.5
202303,41.2
202304,46.2
202305,53.9
202306,58.0
202307,63.6
202308,63.8
202309,57.6
202310,51.8
202311,44.0
202312,42.2
202401,42.2
202402,43.2
202403,45.4
202404,47.9
202405,54.4
