Tehama County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,8.25
200002,11.37
200003,3.38
200004,3.36
200005,1.75
200006,0.57
200007,0.19
200008,0.11
200009,0.86
200010,4.17
200011,1.51
200012,1.25
200101,6.14
200102,6.68
200103,3.72
200104,2.37
200105,0.06
200106,0.67
200107,0.05
200108,0.00
200109,0.68
200110,1.44
200111,8.46
200112,10.11
200201,4.32
200202,2.20
200203,2.85
200204,1.51
200205,1.05
200206,0.02
200207,0.02
200208,0.00
200209,0.00
200210,0.00
200211,4.33
200212,16.86
200301,6.31
200302,2.52
200303,5.02
200304,7.15
200305,1.95
200306,0.01
200307,0.03
200308,0.71
200309,0.09
200310,0.07
200311,4.97
200312,12.07
200401,4.20
200402,10.71
200403,1.97
200404,0.94
200405,1.08
200406,0.09
200407,0.02
200408,0.00
200409,0.26
200410,4.66
200411,2.55
200412,8.46
200501,6.46
200502,3.82
200503,4.97
200504,2.82
200505,5.59
200506,1.45
200507,0.00
200508,0.00
200509,0.16
200510,0.78
200511,6.42
200512,15.62
200601,6.56
200602,5.07
200603,9.70
200604,8.10
200605,1.06
200606,0.37
200607,0.00
200608,0.01
200609,0.00
200610,0.22
200611,3.81
200612,6.04
200701,0.41
200702,7.76
200703,1.23
200704,2.26
200705,0.77
200706,0.19
200707,0.39
200708,0.00
200709,0.67
200710,2.67
200711,0.84
200712,4.93
200801,10.77
200802,4.22
200803,0.83
200804,0.45
200805,0.41
200806,0.01
200807,0.00
200808,0.02
200809,0.03
200810,2.00
200811,3.20
200812,3.71
200901,1.76
200902,9.91
200903,4.10
200904,0.69
200905,2.05
200906,1.69
200907,0.01
200908,0.18
200909,0.18
200910,3.13
200911,1.80
200912,4.62
201001,11.19
201002,6.04
201003,3.14
201004,5.88
201005,1.89
201006,0.20
201007,0.03
201008,0.09
201009,0.34
201010,4.69
201011,3.51
201012,9.50
201101,1.79
201102,4.67
201103,9.91
201104,1.44
201105,3.14
201106,2.00
201107,0.02
201108,0.00
201109,0.09
201110,2.79
201111,3.46
201112,0.27
201201,6.17
201202,2.26
201203,9.03
201204,3.73
201205,0.36
201206,0.49
201207,0.01
201208,0.01
201209,0.00
201210,1.34
201211,7.86
201212,11.83
201301,1.37
201302,0.68
201303,2.22
201304,1.37
201305,0.85
201306,1.17
201307,0.04
201308,0.04
201309,1.11
201310,0.27
201311,1.92
201312,0.38
201401,0.50
201402,8.55
201403,7.79
201404,1.30
201405,0.51
201406,0.04
201407,0.08
201408,0.40
201409,1.65
201410,2.05
201411,4.28
201412,15.19
201501,0.25
201502,4.29
201503,1.04
201504,1.76
201505,0.61
201506,0.33
201507,0.18
201508,0.04
201509,0.40
201510,0.62
201511,2.64
201512,7.40
201601,12.23
201602,1.60
201603,9.80
201604,2.07
201605,1.47
201606,1.21
201607,0.01
201608,0.00
201609,0.02
201610,7.15
201611,5.10
201612,7.33
201701,11.81
201702,11.25
201703,4.12
201704,5.04
201705,0.47
201706,0.47
201707,0.00
201708,0.05
201709,0.33
201710,0.78
201711,6.19
201712,0.33
201801,5.24
201802,0.32
201803,6.71
201804,5.36
201805,0.93
201806,0.17
201807,0.01
201808,0.00
201809,0.01
201810,0.90
201811,5.80
201812,5.13
201901,9.32
201902,14.32
201903,8.43
201904,1.99
201905,4.37
201906,0.05
201907,0.00
201908,0.24
201909,0.92
201910,0.16
201911,1.40
201912,7.24
202001,3.47
202002,0.02
202003,3.96
202004,1.12
202005,3.06
202006,0.29
202007,0.02
202008,0.11
202009,0.00
202010,0.01
202011,1.52
202012,2.92
202101,4.46
202102,2.67
202103,3.41
202104,0.63
202105,0.15
202106,0.11
202107,0.01
202108,0.00
202109,0.51
202110,7.73
202111,2.36
202112,7.99
202201,0.62
202202,0.03
202203,1.23
202204,2.43
202205,0.25
202206,1.07
202207,0.01
202208,0.02
202209,1.37
202210,0.00
202211,3.53
202212,9.13
202301,11.91
202302,4.07
202303,12.65
202304,1.24
202305,1.73
202306,0.40
202307,0.00
202308,0.43
202309,0.86
202310,0.57
202311,1.82
202312,6.73
202401,7.16
202402,9.78
202403,5.67
202404,2.08
202405,1.32
