Tehama County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,43.6
200002,45.6
200003,50.0
200004,56.6
200005,61.2
200006,73.2
200007,72.6
200008,74.7
200009,69.1
200010,58.2
200011,45.2
200012,46.1
200101,42.8
200102,42.7
200103,53.3
200104,51.0
200105,70.2
200106,70.6
200107,75.4
200108,76.1
200109,71.6
200110,64.4
200111,49.9
200112,41.8
200201,41.5
200202,48.2
200203,48.1
200204,55.5
200205,61.5
200206,72.1
200207,78.6
200208,75.5
200209,71.5
200210,61.3
200211,52.3
200212,43.5
200301,48.5
200302,46.0
200303,50.5
200304,46.9
200305,60.6
200306,73.2
200307,80.0
200308,73.6
200309,73.8
200310,65.6
200311,45.6
200312,42.4
200401,42.0
200402,44.2
200403,56.9
200404,57.5
200405,62.5
200406,71.4
200407,76.9
200408,75.5
200409,69.9
200410,58.2
200411,48.7
200412,45.7
200501,43.6
200502,48.3
200503,51.7
200504,51.8
200505,60.1
200506,64.3
200507,80.0
200508,77.4
200509,67.4
200510,59.5
200511,51.1
200512,45.2
200601,43.4
200602,47.5
200603,41.4
200604,51.8
200605,64.5
200606,73.7
200607,80.2
200608,74.7
200609,70.8
200610,59.7
200611,48.2
200612,43.5
200701,43.5
200702,45.5
200703,54.7
200704,55.5
200705,64.5
200706,70.8
200707,76.8
200708,75.5
200709,66.8
200710,56.8
200711,53.3
200712,41.1
200801,40.1
200802,46.0
200803,49.3
200804,53.1
200805,63.8
200806,71.4
200807,77.4
200808,77.4
200809,72.5
200810,61.6
200811,53.4
200812,41.6
200901,48.3
200902,44.4
200903,48.6
200904,54.3
200905,66.1
200906,68.9
200907,78.2
200908,75.5
200909,73.2
200910,58.1
200911,49.9
200912,41.1
201001,44.1
201002,46.1
201003,48.1
201004,49.2
201005,55.1
201006,69.1
201007,77.8
201008,73.8
201009,70.5
201010,60.4
201011,48.4
201012,43.4
201101,45.8
201102,44.3
201103,45.8
201104,51.5
201105,55.9
201106,66.4
201107,74.4
201108,75.2
201109,74.3
201110,60.7
201111,47.4
201112,45.1
201201,45.7
201202,46.9
201203,46.2
201204,53.7
201205,63.3
201206,68.5
201207,75.1
201208,78.1
201209,73.7
201210,61.4
201211,51.0
201212,42.0
201301,43.8
201302,47.0
201303,52.7
201304,58.8
201305,64.0
201306,72.6
201307,79.4
201308,74.4
201309,68.0
201310,60.0
201311,52.9
201312,45.8
201401,52.1
201402,48.0
201403,52.0
201404,57.2
201405,65.2
201406,73.6
201407,79.8
201408,76.0
201409,72.2
201410,63.3
201411,51.6
201412,46.7
201501,50.4
201502,53.1
201503,56.8
201504,57.3
201505,62.7
201506,76.9
201507,77.2
201508,75.4
201509,71.1
201510,65.7
201511,47.3
201512,41.3
201601,44.1
201602,51.8
201603,50.6
201604,58.2
201605,63.4
201606,72.8
201607,76.8
201608,77.0
201609,71.3
201610,57.2
201611,50.5
201612,42.3
201701,41.8
201702,46.0
201703,51.3
201704,52.7
201705,65.2
201706,73.5
201707,80.0
201708,80.0
201709,71.7
201710,62.2
201711,49.9
201712,47.4
201801,47.2
201802,47.6
201803,47.3
201804,54.9
201805,64.3
201806,72.5
201807,81.0
201808,75.3
201809,70.5
201810,62.4
201811,53.2
201812,44.4
201901,46.5
201902,39.4
201903,47.6
201904,58.5
201905,60.0
201906,73.4
201907,76.2
201908,77.2
201909,68.4
201910,59.4
201911,54.8
201912,44.6
202001,44.4
202002,50.9
202003,48.1
202004,57.7
202005,63.6
202006,71.8
202007,78.4
202008,79.2
202009,74.6
202010,68.0
202011,50.1
202012,46.4
202101,45.2
202102,47.3
202103,48.3
202104,58.7
202105,66.9
202106,75.7
202107,81.4
202108,78.2
202109,72.8
202110,57.0
202111,52.6
202112,42.2
202201,46.8
202202,49.4
202203,53.6
202204,54.7
202205,62.7
202206,72.3
202207,78.6
202208,80.2
202209,74.5
202210,65.8
202211,46.8
202212,42.6
202301,43.7
202302,43.1
202303,42.6
202304,54.4
202305,63.2
202306,69.7
202307,79.6
202308,77.6
202309,68.4
202310,61.7
202311,51.9
202312,47.9
202401,45.5
202402,45.5
202403,48.0
202404,55.2
202405,64.9
