Tehama County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,50.9
200002,52.4
200003,60.8
200004,68.7
200005,73.5
200006,87.7
200007,87.8
200008,90.4
200009,83.2
200010,70.0
200011,54.9
200012,56.0
200101,52.3
200102,51.4
200103,65.0
200104,63.1
200105,84.8
200106,84.7
200107,90.6
200108,92.1
200109,86.8
200110,77.7
200111,58.0
200112,48.3
200201,50.1
200202,58.9
200203,59.5
200204,67.7
200205,74.8
200206,86.9
200207,94.3
200208,91.2
200209,87.4
200210,76.1
200211,63.3
200212,50.4
200301,55.9
200302,56.2
200303,61.1
200304,56.3
200305,73.3
200306,88.2
200307,95.7
200308,88.5
200309,89.5
200310,80.6
200311,53.7
200312,49.2
200401,50.2
200402,52.2
200403,69.7
200404,70.4
200405,76.1
200406,86.2
200407,92.0
200408,91.1
200409,85.3
200410,69.9
200411,58.6
200412,54.2
200501,51.6
200502,57.2
200503,62.5
200504,63.1
200505,71.2
200506,77.2
200507,95.6
200508,93.7
200509,82.9
200510,72.9
200511,61.4
200512,52.9
200601,50.2
200602,59.0
200603,48.9
200604,61.3
200605,77.8
200606,88.0
200607,95.3
200608,90.5
200609,86.7
200610,73.5
200611,56.5
200612,52.1
200701,55.0
200702,54.2
200703,67.6
200704,68.4
200705,78.9
200706,85.8
200707,92.3
200708,91.4
200709,81.2
200710,68.3
200711,64.6
200712,49.1
200801,47.2
200802,56.3
200803,61.5
200804,67.0
200805,77.1
200806,86.5
200807,92.5
200808,92.8
200809,88.8
200810,74.9
200811,63.5
200812,50.8
200901,59.7
200902,52.6
200903,59.7
200904,67.6
200905,79.7
200906,82.1
200907,93.9
200908,91.0
200909,88.8
200910,70.0
200911,60.6
200912,49.5
201001,50.2
201002,54.2
201003,59.2
201004,60.1
201005,67.1
201006,82.4
201007,93.0
201008,89.2
201009,85.9
201010,71.4
201011,58.3
201012,49.4
201101,56.1
201102,54.7
201103,54.0
201104,62.9
201105,67.9
201106,78.8
201107,88.4
201108,90.8
201109,90.4
201110,72.3
201111,57.0
201112,57.4
201201,56.7
201202,57.6
201203,55.2
201204,65.0
201205,77.8
201206,82.7
201207,90.7
201208,94.4
201209,90.6
201210,74.6
201211,60.2
201212,49.5
201301,54.8
201302,59.5
201303,65.0
201304,71.6
201305,77.1
201306,86.8
201307,94.8
201308,89.3
201309,82.1
201310,73.9
201311,64.4
201312,58.0
201401,64.5
201402,57.0
201403,62.3
201404,70.0
201405,79.3
201406,88.7
201407,94.8
201408,90.5
201409,86.8
201410,75.8
201411,60.8
201412,52.3
201501,61.0
201502,63.5
201503,69.1
201504,70.8
201505,75.4
201506,92.2
201507,91.0
201508,90.3
201509,85.8
201510,78.8
201511,57.9
201512,48.5
201601,50.1
201602,62.5
201603,60.0
201604,70.2
201605,75.5
201606,86.9
201607,91.7
201608,92.7
201609,86.5
201610,67.0
201611,59.0
201612,51.0
201701,49.5
201702,53.1
201703,61.6
201704,63.3
201705,79.3
201706,87.3
201707,95.6
201708,95.1
201709,85.3
201710,76.7
201711,57.4
201712,58.7
201801,54.7
201802,59.1
201803,57.9
201804,66.9
201805,77.2
201806,87.5
201807,95.9
201808,90.6
201809,86.4
201810,75.4
201811,64.5
201812,52.6
201901,54.9
201902,46.9
201903,56.7
201904,69.6
201905,72.0
201906,87.5
201907,90.4
201908,91.9
201909,82.1
201910,73.2
201911,66.9
201912,51.1
202001,52.2
202002,63.2
202003,58.6
202004,70.5
202005,76.4
202006,85.9
202007,93.8
202008,93.9
202009,89.2
202010,82.6
202011,61.7
202012,56.7
202101,53.3
202102,57.5
202103,59.9
202104,73.3
202105,81.4
202106,91.0
202107,97.0
202108,93.5
202109,88.0
202110,68.0
202111,62.2
202112,49.7
202201,59.3
202202,63.6
202203,66.6
202204,67.4
202205,76.2
202206,86.8
202207,94.5
202208,95.9
202209,88.5
202210,81.2
202211,57.2
202212,50.0
202301,51.7
202302,53.3
202303,51.3
202304,67.0
202305,75.4
202306,83.0
202307,94.6
202308,91.9
202309,81.8
202310,74.4
202311,62.4
202312,56.2
202401,52.8
202402,53.6
202403,57.4
202404,66.8
202405,78.8
