Tehama County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,36.3
200002,38.9
200003,39.3
200004,44.4
200005,48.8
200006,58.7
200007,57.4
200008,59.0
200009,55.0
200010,46.4
200011,35.6
200012,36.3
200101,33.3
200102,34.0
200103,41.7
200104,38.9
200105,55.5
200106,56.4
200107,60.2
200108,60.1
200109,56.4
200110,51.1
200111,41.8
200112,35.2
200201,32.9
200202,37.4
200203,36.6
200204,43.4
200205,48.2
200206,57.3
200207,62.8
200208,59.8
200209,55.5
200210,46.5
200211,41.3
200212,36.7
200301,41.1
200302,35.8
200303,39.9
200304,37.5
200305,47.8
200306,58.3
200307,64.3
200308,58.8
200309,58.0
200310,50.5
200311,37.4
200312,35.7
200401,33.8
200402,36.1
200403,44.1
200404,44.6
200405,48.8
200406,56.6
200407,61.8
200408,59.8
200409,54.6
200410,46.4
200411,38.9
200412,37.2
200501,35.7
200502,39.4
200503,40.8
200504,40.4
200505,48.9
200506,51.3
200507,64.4
200508,61.0
200509,51.8
200510,46.1
200511,40.7
200512,37.5
200601,36.6
200602,36.0
200603,33.8
200604,42.4
200605,51.2
200606,59.4
200607,65.0
200608,58.8
200609,54.8
200610,45.8
200611,39.9
200612,34.8
200701,31.9
200702,36.7
200703,41.8
200704,42.6
200705,50.2
200706,55.9
200707,61.2
200708,59.7
200709,52.4
200710,45.3
200711,42.0
200712,33.1
200801,32.9
200802,35.7
200803,37.1
200804,39.2
200805,50.4
200806,56.2
200807,62.2
200808,62.0
200809,56.3
200810,48.4
200811,43.2
200812,32.3
200901,37.0
200902,36.3
200903,37.4
200904,41.0
200905,52.6
200906,55.7
200907,62.4
200908,60.0
200909,57.6
200910,46.2
200911,39.1
200912,32.7
201001,38.1
201002,38.0
201003,37.0
201004,38.3
201005,43.1
201006,55.8
201007,62.6
201008,58.4
201009,55.1
201010,49.3
201011,38.4
201012,37.4
201101,35.6
201102,33.9
201103,37.5
201104,40.1
201105,44.0
201106,54.0
201107,60.5
201108,59.6
201109,58.2
201110,49.1
201111,37.7
201112,32.8
201201,34.8
201202,36.2
201203,37.0
201204,42.5
201205,48.8
201206,54.4
201207,59.5
201208,61.8
201209,56.8
201210,48.2
201211,41.8
201212,34.6
201301,32.7
201302,34.4
201303,40.4
201304,45.9
201305,50.8
201306,58.4
201307,64.0
201308,59.5
201309,53.8
201310,46.0
201311,41.4
201312,33.6
201401,39.6
201402,38.9
201403,41.8
201404,44.4
201405,51.1
201406,58.4
201407,64.8
201408,61.4
201409,57.5
201410,50.7
201411,42.4
201412,41.1
201501,39.8
201502,42.6
201503,44.4
201504,43.8
201505,50.0
201506,61.5
201507,63.5
201508,60.5
201509,56.5
201510,52.6
201511,36.8
201512,34.2
201601,38.0
201602,41.1
201603,41.2
201604,46.1
201605,51.4
201606,58.6
201607,61.9
201608,61.3
201609,56.1
201610,47.5
201611,42.0
201612,33.5
201701,34.0
201702,38.8
201703,40.9
201704,42.0
201705,51.1
201706,59.8
201707,64.3
201708,65.0
201709,58.0
201710,47.6
201711,42.3
201712,36.2
201801,39.5
201802,36.0
201803,36.7
201804,42.8
201805,51.3
201806,57.4
201807,66.0
201808,60.0
201809,54.5
201810,49.3
201811,41.9
201812,36.3
201901,38.1
201902,32.0
201903,38.6
201904,47.4
201905,48.0
201906,59.2
201907,62.0
201908,62.5
201909,54.6
201910,45.5
201911,42.7
201912,38.0
202001,36.7
202002,38.5
202003,37.6
202004,44.9
202005,50.8
202006,57.8
202007,63.0
202008,64.6
202009,60.1
202010,53.4
202011,38.5
202012,36.2
202101,37.2
202102,37.1
202103,36.6
202104,44.0
202105,52.4
202106,60.4
202107,65.9
202108,62.9
202109,57.6
202110,46.1
202111,43.0
202112,34.6
202201,34.4
202202,35.1
202203,40.6
202204,42.0
202205,49.2
202206,57.7
202207,62.8
202208,64.4
202209,60.5
202210,50.3
202211,36.5
202212,35.1
202301,35.6
202302,32.9
202303,33.8
202304,41.9
202305,51.1
202306,56.4
202307,64.7
202308,63.4
202309,54.9
202310,49.0
202311,41.4
202312,39.5
202401,38.1
202402,37.4
202403,38.4
202404,43.6
202405,51.0
