Trinity County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,39.5
200002,41.2
200003,43.8
200004,50.5
200005,54.1
200006,66.0
200007,67.1
200008,69.2
200009,63.7
200010,53.1
200011,40.6
200012,39.4
200101,37.4
200102,37.4
200103,47.0
200104,45.0
200105,60.9
200106,61.8
200107,69.4
200108,70.2
200109,65.6
200110,57.0
200111,43.9
200112,37.8
200201,37.2
200202,42.6
200203,42.4
200204,50.0
200205,54.0
200206,63.9
200207,72.6
200208,69.9
200209,66.0
200210,54.9
200211,45.6
200212,38.6
200301,43.9
200302,41.0
200303,45.2
200304,42.0
200305,53.8
200306,66.0
200307,73.0
200308,69.1
200309,67.0
200310,57.7
200311,40.6
200312,38.4
200401,37.8
200402,39.7
200403,49.8
200404,50.6
200405,55.2
200406,64.0
200407,71.6
200408,70.5
200409,63.4
200410,53.3
200411,43.6
200412,39.7
200501,39.5
200502,42.7
200503,46.3
200504,46.3
200505,53.9
200506,57.8
200507,72.3
200508,71.6
200509,62.0
200510,53.4
200511,43.7
200512,39.4
200601,38.3
200602,41.2
200603,37.0
200604,46.6
200605,56.9
200606,65.8
200607,73.2
200608,68.8
200609,64.4
200610,53.6
200611,43.1
200612,38.3
200701,36.9
200702,39.6
200703,48.0
200704,49.1
200705,57.1
200706,62.6
200707,71.0
200708,69.8
200709,62.6
200710,50.9
200711,45.9
200712,35.9
200801,35.2
200802,39.8
200803,42.5
200804,45.6
200805,56.1
200806,62.3
200807,69.8
200808,70.3
200809,67.1
200810,54.8
200811,46.6
200812,36.3
200901,41.4
200902,39.1
200903,42.9
200904,47.9
200905,58.1
200906,62.5
200907,72.2
200908,69.5
200909,67.4
200910,52.6
200911,42.8
200912,36.2
201001,41.2
201002,42.0
201003,42.9
201004,43.8
201005,48.8
201006,60.9
201007,71.8
201008,68.7
201009,64.4
201010,54.9
201011,42.2
201012,39.9
201101,41.3
201102,38.3
201103,40.7
201104,45.0
201105,50.0
201106,60.1
201107,67.9
201108,69.5
201109,67.4
201110,54.3
201111,42.5
201112,37.3
201201,38.9
201202,40.9
201203,40.1
201204,48.0
201205,55.6
201206,60.0
201207,68.8
201208,72.6
201209,67.8
201210,56.3
201211,45.6
201212,36.9
201301,37.5
201302,40.8
201303,46.6
201304,51.2
201305,56.6
201306,65.1
201307,74.0
201308,69.7
201309,63.4
201310,52.6
201311,45.9
201312,36.9
201401,42.8
201402,42.5
201403,46.3
201404,50.9
201405,57.2
201406,65.2
201407,74.9
201408,71.6
201409,67.2
201410,57.0
201411,46.4
201412,42.6
201501,44.7
201502,47.0
201503,50.8
201504,50.2
201505,57.3
201506,70.3
201507,72.3
201508,70.2
201509,64.5
201510,59.9
201511,42.4
201512,37.1
201601,40.1
201602,45.2
201603,45.1
201604,52.6
201605,57.2
201606,65.3
201607,70.5
201608,72.8
201609,65.0
201610,51.8
201611,46.6
201612,36.0
201701,36.3
201702,40.7
201703,45.8
201704,46.8
201705,57.8
201706,65.5
201707,72.9
201708,74.8
201709,65.7
201710,54.5
201711,44.6
201712,38.6
201801,42.1
201802,40.3
201803,42.1
201804,48.9
201805,58.3
201806,64.3
201807,74.4
201808,70.4
201809,64.4
201810,55.4
201811,46.1
201812,39.2
201901,41.6
201902,34.7
201903,42.7
201904,51.8
201905,55.1
201906,65.0
201907,69.4
201908,71.9
201909,62.7
201910,52.3
201911,47.9
201912,39.6
202001,39.8
202002,44.0
202003,42.5
202004,51.7
202005,56.1
202006,64.3
202007,72.0
202008,73.8
202009,67.9
202010,60.2
202011,44.1
202012,39.8
202101,39.8
202102,40.6
202103,42.6
202104,52.5
202105,58.6
202106,68.7
202107,76.3
202108,71.3
202109,66.3
202110,52.2
202111,45.9
202112,37.2
202201,41.7
202202,42.4
202203,47.2
202204,47.0
202205,54.4
202206,65.0
202207,73.4
202208,74.3
202209,68.5
202210,58.6
202211,40.8
202212,36.9
202301,39.1
202302,37.7
202303,36.8
202304,47.7
202305,57.2
202306,64.2
202307,73.0
202308,72.2
202309,62.8
202310,55.4
202311,45.7
202312,42.4
202401,41.2
202402,40.6
202403,42.3
202404,49.2
202405,57.2
