Trinity County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,45.6
200002,47.5
200003,55.0
200004,63.5
200005,66.7
200006,83.2
200007,82.8
200008,86.5
200009,78.7
200010,65.0
200011,49.0
200012,47.0
200101,46.0
200102,45.7
200103,58.9
200104,57.0
200105,78.5
200106,77.7
200107,85.9
200108,87.4
200109,81.8
200110,70.9
200111,50.5
200112,42.6
200201,44.2
200202,53.0
200203,54.4
200204,63.0
200205,68.6
200206,81.0
200207,90.3
200208,88.0
200209,83.4
200210,71.6
200211,56.3
200212,43.5
200301,49.6
200302,51.4
200303,55.8
200304,50.2
200305,67.9
200306,83.8
200307,90.7
200308,84.6
200309,84.4
200310,73.3
200311,47.3
200312,43.5
200401,43.6
200402,47.1
200403,63.8
200404,64.7
200405,69.4
200406,80.6
200407,88.2
200408,87.2
200409,80.1
200410,65.2
200411,53.1
200412,47.3
200501,46.3
200502,52.2
200503,57.7
200504,57.8
200505,65.7
200506,70.6
200507,89.6
200508,89.5
200509,78.4
200510,66.2
200511,52.0
200512,45.0
200601,43.7
200602,52.5
200603,43.8
200604,56.9
200605,72.0
200606,81.3
200607,90.1
200608,86.3
200609,81.5
200610,68.6
200611,50.0
200612,45.7
200701,48.2
200702,47.8
200703,61.4
200704,63.1
200705,73.3
200706,79.1
200707,87.1
200708,87.1
200709,78.2
200710,60.9
200711,56.0
200712,42.6
200801,41.5
200802,50.1
200803,54.7
200804,59.8
200805,70.9
200806,79.9
200807,86.4
200808,87.2
200809,85.1
200810,68.2
200811,54.8
200812,43.9
200901,51.9
200902,47.6
200903,54.3
200904,62.0
200905,73.2
200906,77.0
200907,90.5
200908,87.1
200909,84.6
200910,64.4
200911,52.5
200912,43.6
201001,46.4
201002,49.7
201003,54.2
201004,54.7
201005,60.8
201006,75.5
201007,89.5
201008,86.0
201009,80.3
201010,66.2
201011,50.5
201012,44.8
201101,50.4
201102,48.6
201103,47.8
201104,56.2
201105,62.5
201106,74.4
201107,83.1
201108,86.6
201109,84.8
201110,64.8
201111,51.3
201112,48.4
201201,48.4
201202,51.6
201203,49.2
201204,59.3
201205,71.6
201206,75.7
201207,85.6
201208,91.1
201209,86.6
201210,69.5
201211,53.1
201212,42.9
201301,46.8
201302,53.4
201303,59.4
201304,65.2
201305,71.2
201306,81.2
201307,91.8
201308,85.9
201309,77.6
201310,67.1
201311,57.6
201312,47.5
201401,54.3
201402,51.3
201403,57.5
201404,64.7
201405,72.8
201406,82.5
201407,91.7
201408,88.0
201409,82.8
201410,68.6
201411,54.1
201412,47.9
201501,54.5
201502,57.6
201503,64.1
201504,64.9
201505,71.7
201506,87.9
201507,87.7
201508,86.2
201509,80.4
201510,73.3
201511,52.3
201512,42.4
201601,45.4
201602,55.7
201603,54.9
201604,65.9
201605,70.7
201606,81.7
201607,87.6
201608,90.8
201609,81.5
201610,60.0
201611,54.5
201612,43.8
201701,42.8
201702,47.1
201703,55.5
201704,57.7
201705,73.7
201706,81.4
201707,91.1
201708,92.3
201709,79.8
201710,69.5
201711,51.2
201712,48.4
201801,48.3
201802,52.2
201803,52.6
201804,61.2
201805,72.6
201806,81.8
201807,91.9
201808,87.8
201809,81.4
201810,68.8
201811,58.0
201812,46.3
201901,49.3
201902,41.4
201903,53.0
201904,63.6
201905,69.0
201906,82.2
201907,85.7
201908,88.3
201909,76.6
201910,67.0
201911,60.9
201912,44.7
202001,45.8
202002,57.7
202003,54.0
202004,65.9
202005,69.9
202006,79.9
202007,89.5
202008,90.5
202009,83.3
202010,75.8
202011,54.8
202012,48.1
202101,46.5
202102,50.5
202103,55.4
202104,68.9
202105,75.2
202106,86.1
202107,94.4
202108,87.4
202109,82.1
202110,63.0
202111,54.8
202112,43.4
202201,52.1
202202,56.4
202203,60.2
202204,60.1
202205,68.9
202206,81.5
202207,90.8
202208,91.3
202209,84.0
202210,74.2
202211,50.4
202212,42.9
202301,46.5
202302,48.0
202303,45.3
202304,60.6
202305,71.1
202306,79.9
202307,90.4
202308,87.7
202309,75.9
202310,67.8
202311,55.4
202312,48.9
202401,46.9
202402,47.8
202403,52.0
202404,61.8
202405,72.8
