Tulare County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,4.27
200002,8.49
200003,3.10
200004,1.70
200005,1.02
200006,0.42
200007,0.01
200008,0.24
200009,0.17
200010,2.51
200011,0.22
200012,0.21
200101,4.49
200102,4.86
200103,1.13
200104,3.53
200105,0.26
200106,0.00
200107,0.58
200108,0.00
200109,0.00
200110,0.69
200111,3.85
200112,5.06
200201,1.58
200202,0.62
200203,2.32
200204,0.70
200205,0.67
200206,0.16
200207,0.01
200208,0.00
200209,0.02
200210,0.08
200211,5.73
200212,4.66
200301,0.32
200302,3.64
200303,2.02
200304,3.29
200305,2.10
200306,0.02
200307,0.52
200308,0.78
200309,0.28
200310,0.02
200311,1.61
200312,4.97
200401,1.91
200402,5.37
200403,1.04
200404,0.36
200405,0.03
200406,0.00
200407,0.04
200408,0.08
200409,0.02
200410,3.76
200411,1.40
200412,4.24
200501,7.93
200502,3.97
200503,4.68
200504,1.73
200505,2.57
200506,0.00
200507,0.02
200508,0.46
200509,0.65
200510,1.01
200511,0.29
200512,4.31
200601,6.18
200602,2.00
200603,5.74
200604,5.08
200605,0.51
200606,0.14
200607,0.22
200608,0.00
200609,0.03
200610,0.58
200611,0.23
200612,2.57
200701,0.95
200702,3.56
200703,1.36
200704,1.34
200705,0.07
200706,0.00
200707,0.01
200708,0.19
200709,0.51
200710,1.05
200711,0.30
200712,3.26
200801,6.50
200802,4.32
200803,0.32
200804,0.00
200805,0.72
200806,0.00
200807,0.23
200808,0.03
200809,0.02
200810,0.20
200811,2.70
200812,2.77
200901,1.79
200902,4.50
200903,1.20
200904,0.68
200905,0.82
200906,0.67
200907,0.04
200908,0.09
200909,0.03
200910,2.59
200911,0.30
200912,4.79
201001,5.71
201002,5.35
201003,1.53
201004,4.21
201005,0.42
201006,0.00
201007,0.08
201008,0.02
201009,0.01
201010,1.92
201011,2.63
201012,13.19
201101,1.78
201102,3.16
201103,6.27
201104,0.80
201105,1.37
201106,0.59
201107,0.34
201108,0.25
201109,0.08
201110,1.68
201111,1.49
201112,0.13
201201,3.44
201202,0.85
201203,3.02
201204,4.10
201205,0.03
201206,0.04
201207,0.01
201208,0.08
201209,0.02
201210,0.74
201211,1.18
201212,4.78
201301,1.44
201302,1.08
201303,0.86
201304,0.30
201305,0.43
201306,0.00
201307,0.49
201308,0.42
201309,0.11
201310,0.46
201311,0.68
201312,0.60
201401,0.59
201402,2.18
201403,2.37
201404,1.55
201405,0.57
201406,0.00
201407,0.22
201408,0.36
201409,0.31
201410,0.06
201411,1.55
201412,4.71
201501,0.47
201502,2.29
201503,0.43
201504,0.87
201505,1.76
201506,0.09
201507,1.04
201508,0.00
201509,0.12
201510,2.45
201511,2.41
201512,3.34
201601,4.99
201602,1.95
201603,3.17
201604,1.75
201605,0.68
201606,0.15
201607,0.00
201608,0.03
201609,0.00
201610,1.29
201611,1.07
201612,4.65
201701,12.91
201702,7.37
201703,1.63
201704,2.35
201705,0.56
201706,0.14
201707,0.02
201708,0.33
201709,0.58
201710,0.05
201711,1.28
201712,0.11
201801,1.92
201802,0.77
201803,7.32
201804,1.62
201805,0.37
201806,0.00
201807,0.28
201808,0.00
201809,0.00
201810,0.71
201811,2.16
201812,1.20
201901,4.55
201902,8.13
201903,6.08
201904,0.84
201905,3.31
201906,0.14
201907,0.06
201908,0.00
201909,0.02
201910,0.00
201911,2.35
201912,4.05
202001,0.80
202002,0.35
202003,3.89
202004,3.74
202005,0.75
202006,0.04
202007,0.00
202008,0.00
202009,0.00
202010,0.00
202011,0.67
202012,1.37
202101,3.06
202102,0.65
202103,1.81
202104,0.29
202105,0.08
202106,0.00
202107,0.14
202108,0.00
202109,0.04
202110,2.83
202111,0.24
202112,9.32
202201,0.02
202202,0.59
202203,1.72
202204,0.75
202205,0.00
202206,0.16
202207,0.00
202208,0.37
202209,0.16
202210,0.00
202211,1.65
202212,6.92
202301,11.28
202302,6.54
202303,8.88
202304,0.05
202305,0.42
202306,0.17
202307,0.01
202308,0.65
202309,0.08
202310,0.17
202311,0.84
202312,1.57
202401,2.93
202402,7.81
202403,3.76
202404,1.60
202405,0.63
