Tulare County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,41.8
200002,43.0
200003,45.5
200004,53.1
200005,60.0
200006,68.9
200007,69.7
200008,71.6
200009,64.9
200010,54.3
200011,41.7
200012,42.9
200101,38.3
200102,38.6
200103,48.0
200104,47.2
200105,65.4
200106,68.4
200107,71.0
200108,72.7
200109,67.7
200110,60.3
200111,47.9
200112,38.5
200201,38.1
200202,44.2
200203,44.3
200204,51.6
200205,57.4
200206,67.8
200207,74.3
200208,70.5
200209,67.0
200210,55.2
200211,48.3
200212,40.0
200301,44.9
200302,41.2
200303,46.6
200304,45.5
200305,57.6
200306,67.9
200307,75.4
200308,71.4
200309,69.9
200310,61.6
200311,42.8
200312,40.6
200401,38.9
200402,39.6
200403,52.6
200404,53.4
200405,58.9
200406,66.9
200407,72.8
200408,71.4
200409,65.5
200410,53.6
200411,43.1
200412,39.8
200501,40.0
200502,43.0
200503,46.3
200504,47.9
200505,57.2
200506,62.2
200507,75.8
200508,72.7
200509,62.2
200510,55.6
200511,49.7
200512,43.1
200601,40.1
200602,43.7
200603,38.9
200604,47.8
200605,60.4
200606,69.4
200607,76.3
200608,69.8
200609,66.0
200610,54.0
200611,47.4
200612,39.8
200701,36.3
200702,42.0
200703,49.7
200704,51.4
200705,60.1
200706,67.3
200707,73.4
200708,72.7
200709,63.2
200710,54.3
200711,50.0
200712,36.9
200801,37.7
200802,41.5
200803,45.9
200804,50.3
200805,57.3
200806,67.6
200807,73.7
200808,73.6
200809,68.2
200810,57.4
200811,49.6
200812,37.6
200901,42.3
200902,40.5
200903,44.3
200904,49.6
200905,63.4
200906,63.5
200907,74.8
200908,71.0
200909,69.4
200910,53.2
200911,47.2
200912,38.4
201001,40.6
201002,41.8
201003,44.3
201004,46.0
201005,52.1
201006,65.8
201007,73.2
201008,69.8
201009,66.3
201010,56.8
201011,44.3
201012,41.7
201101,39.9
201102,39.2
201103,43.6
201104,48.9
201105,53.0
201106,62.8
201107,71.2
201108,71.6
201109,68.8
201110,57.1
201111,44.3
201112,38.5
201201,42.8
201202,41.7
201203,44.5
201204,50.9
201205,59.6
201206,65.7
201207,71.4
201208,75.2
201209,70.0
201210,57.4
201211,48.7
201212,39.7
201301,38.1
201302,40.5
201303,49.4
201304,54.0
201305,59.3
201306,69.0
201307,75.6
201308,71.2
201309,65.8
201310,54.6
201311,48.4
201312,40.8
201401,46.2
201402,45.4
201403,49.2
201404,53.2
201405,60.0
201406,68.7
201407,75.2
201408,71.7
201409,68.6
201410,60.9
201411,49.4
201412,42.4
201501,43.2
201502,49.0
201503,52.5
201504,51.8
201505,55.8
201506,70.3
201507,71.2
201508,72.6
201509,68.3
201510,59.8
201511,42.9
201512,37.5
201601,40.1
201602,46.4
201603,47.4
201604,52.8
201605,57.9
201606,69.9
201607,73.4
201608,72.1
201609,65.2
201610,56.0
201611,48.9
201612,39.6
201701,38.2
201702,42.9
201703,47.8
201704,50.7
201705,58.5
201706,68.7
201707,75.6
201708,73.9
201709,65.1
201710,57.4
201711,49.6
201712,44.0
201801,44.7
201802,42.0
201803,43.9
201804,52.5
201805,58.1
201806,67.6
201807,76.6
201808,72.8
201809,67.3
201810,56.4
201811,48.6
201812,40.6
201901,41.7
201902,36.6
201903,43.8
201904,53.5
201905,52.7
201906,67.5
201907,71.6
201908,72.4
201909,64.6
201910,54.5
201911,49.4
201912,40.2
202001,40.1
202002,44.6
202003,42.8
202004,51.1
202005,59.9
202006,66.3
202007,73.1
202008,74.8
202009,69.5
202010,62.3
202011,46.8
202012,41.6
202101,41.0
202102,42.7
202103,43.3
202104,53.6
202105,60.5
202106,71.7
202107,77.4
202108,73.9
202109,67.7
202110,53.0
202111,50.8
202112,39.4
202201,41.5
202202,42.7
202203,48.6
202204,50.7
202205,57.6
202206,67.4
202207,74.2
202208,75.6
202209,70.0
202210,60.1
202211,43.2
202212,39.9
202301,38.1
202302,37.9
202303,39.5
202304,51.2
202305,57.8
202306,62.4
202307,75.7
202308,71.2
202309,64.8
202310,58.1
202311,48.5
202312,44.4
202401,41.2
202402,42.5
202403,44.3
202404,50.0
202405,58.8
