Tulare County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,51.3
200002,52.7
200003,56.7
200004,66.0
200005,73.2
200006,82.9
200007,84.3
200008,85.9
200009,79.0
200010,66.1
200011,52.9
200012,54.3
200101,48.9
200102,48.2
200103,59.1
200104,59.0
200105,79.8
200106,83.0
200107,84.7
200108,87.6
200109,82.2
200110,74.2
200111,58.2
200112,47.2
200201,47.8
200202,56.8
200203,56.7
200204,64.0
200205,71.2
200206,82.3
200207,88.9
200208,85.5
200209,81.7
200210,68.4
200211,59.3
200212,49.7
200301,55.2
200302,51.3
200303,58.3
200304,56.1
200305,70.2
200306,82.1
200307,89.5
200308,85.2
200309,84.8
200310,76.5
200311,53.2
200312,49.9
200401,48.1
200402,49.2
200403,65.8
200404,66.8
200405,73.2
200406,81.1
200407,87.5
200408,85.9
200409,80.3
200410,64.9
200411,53.0
200412,48.9
200501,47.6
200502,52.3
200503,56.8
200504,60.4
200505,69.6
200506,75.8
200507,90.0
200508,87.2
200509,76.5
200510,68.6
200511,61.5
200512,52.6
200601,50.0
200602,56.0
200603,49.0
200604,58.2
200605,73.6
200606,83.3
200607,90.3
200608,84.8
200609,81.2
200610,67.1
200611,58.7
200612,51.0
200701,48.1
200702,52.3
200703,63.1
200704,63.9
200705,74.2
200706,82.0
200707,87.8
200708,87.3
200709,76.6
200710,67.1
200711,62.0
200712,46.6
200801,46.7
200802,52.0
200803,58.5
200804,64.2
200805,70.2
200806,82.4
200807,87.4
200808,88.2
200809,83.1
200810,71.6
200811,59.8
200812,46.8
200901,52.3
200902,50.6
200903,56.6
200904,62.8
200905,77.0
200906,76.1
200907,89.6
200908,85.7
200909,84.2
200910,65.4
200911,59.3
200912,47.7
201001,49.5
201002,50.8
201003,56.1
201004,57.8
201005,64.6
201006,79.7
201007,87.3
201008,84.6
201009,81.4
201010,67.6
201011,54.8
201012,49.8
201101,49.4
201102,50.2
201103,53.8
201104,60.9
201105,65.3
201106,76.1
201107,84.8
201108,86.5
201109,83.3
201110,69.8
201111,54.6
201112,50.5
201201,55.3
201202,53.0
201203,57.0
201204,63.2
201205,74.1
201206,80.8
201207,86.4
201208,89.5
201209,84.7
201210,69.8
201211,59.9
201212,48.2
201301,49.1
201302,52.0
201303,61.5
201304,67.0
201305,72.3
201306,83.2
201307,89.4
201308,85.3
201309,79.4
201310,68.0
201311,59.6
201312,52.6
201401,58.9
201402,56.0
201403,61.3
201404,66.0
201405,73.2
201406,83.4
201407,88.8
201408,85.6
201409,82.2
201410,74.6
201411,60.4
201412,51.3
201501,53.1
201502,60.8
201503,65.5
201504,65.1
201505,67.9
201506,84.5
201507,84.0
201508,86.5
201509,81.9
201510,71.2
201511,54.0
201512,47.4
201601,48.4
201602,58.6
201603,58.8
201604,65.0
201605,70.2
201606,84.1
201607,88.0
201608,86.5
201609,79.7
201610,68.4
201611,60.1
201612,48.9
201701,45.2
201702,50.7
201703,59.3
201704,62.3
201705,71.2
201706,82.2
201707,89.0
201708,86.8
201709,77.5
201710,71.2
201711,60.5
201712,55.7
201801,54.5
201802,54.0
201803,54.0
201804,65.0
201805,70.3
201806,82.0
201807,89.7
201808,87.0
201809,81.8
201810,68.7
201811,60.2
201812,48.9
201901,50.9
201902,45.6
201903,53.9
201904,65.4
201905,63.1
201906,80.6
201907,85.1
201908,85.9
201909,78.0
201910,68.2
201911,61.6
201912,48.3
202001,49.7
202002,56.8
202003,53.0
202004,61.7
202005,73.5
202006,80.2
202007,87.5
202008,88.2
202009,82.2
202010,75.2
202011,58.4
202012,52.4
202101,51.3
202102,53.9
202103,54.6
202104,67.1
202105,74.4
202106,86.0
202107,91.3
202108,88.2
202109,81.0
202110,65.1
202111,61.7
202112,48.0
202201,53.8
202202,56.9
202203,61.6
202204,64.6
202205,72.0
202206,82.8
202207,89.4
202208,89.4
202209,82.8
202210,74.0
202211,54.9
202212,47.5
202301,46.2
202302,48.6
202303,48.2
202304,63.5
202305,69.7
202306,74.5
202307,90.0
202308,84.2
202309,76.4
202310,70.4
202311,60.2
202312,54.3
202401,49.9
202402,51.7
202403,54.0
202404,62.0
202405,71.8
