Tulare County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,32.2
200002,33.4
200003,34.3
200004,40.1
200005,46.7
200006,54.9
200007,55.0
200008,57.2
200009,50.7
200010,42.6
200011,30.4
200012,31.4
200101,27.7
200102,29.0
200103,36.9
200104,35.3
200105,51.1
200106,53.7
200107,57.3
200108,57.9
200109,53.2
200110,46.4
200111,37.5
200112,29.9
200201,28.4
200202,31.6
200203,31.9
200204,39.1
200205,43.6
200206,53.3
200207,59.7
200208,55.5
200209,52.3
200210,42.0
200211,37.4
200212,30.4
200301,34.6
200302,31.2
200303,34.9
200304,34.9
200305,45.0
200306,53.6
200307,61.3
200308,57.6
200309,55.1
200310,46.8
200311,32.5
200312,31.3
200401,29.7
200402,30.1
200403,39.4
200404,39.9
200405,44.7
200406,52.8
200407,58.2
200408,56.9
200409,50.6
200410,42.3
200411,33.2
200412,30.7
200501,32.4
200502,33.8
200503,35.7
200504,35.4
200505,44.8
200506,48.6
200507,61.6
200508,58.3
200509,47.8
200510,42.6
200511,37.9
200512,33.7
200601,30.1
200602,31.4
200603,28.8
200604,37.5
200605,47.1
200606,55.6
200607,62.2
200608,54.8
200609,50.8
200610,40.9
200611,36.2
200612,28.7
200701,24.5
200702,31.7
200703,36.3
200704,38.8
200705,46.0
200706,52.5
200707,59.0
200708,58.0
200709,49.8
200710,41.5
200711,38.0
200712,27.2
200801,28.6
200802,31.0
200803,33.2
200804,36.3
200805,44.4
200806,52.8
200807,60.0
200808,59.0
200809,53.2
200810,43.2
200811,39.3
200812,28.4
200901,32.2
200902,30.5
200903,32.0
200904,36.3
200905,49.9
200906,51.0
200907,59.9
200908,56.4
200909,54.5
200910,40.9
200911,35.2
200912,29.0
201001,31.7
201002,32.8
201003,32.6
201004,34.2
201005,39.6
201006,51.8
201007,59.0
201008,54.9
201009,51.1
201010,46.0
201011,33.7
201012,33.6
201101,30.3
201102,28.1
201103,33.5
201104,37.0
201105,40.6
201106,49.5
201107,57.5
201108,56.7
201109,54.4
201110,44.4
201111,34.0
201112,26.5
201201,30.3
201202,30.5
201203,32.0
201204,38.7
201205,45.2
201206,50.6
201207,56.5
201208,61.0
201209,55.4
201210,45.0
201211,37.5
201212,31.1
201301,27.2
201302,29.0
201303,37.3
201304,41.1
201305,46.3
201306,54.8
201307,61.7
201308,57.0
201309,52.3
201310,41.2
201311,37.3
201312,29.0
201401,33.6
201402,34.8
201403,37.1
201404,40.5
201405,46.8
201406,54.1
201407,61.5
201408,57.8
201409,55.0
201410,47.2
201411,38.5
201412,33.4
201501,33.3
201502,37.2
201503,39.5
201504,38.6
201505,43.6
201506,56.0
201507,58.3
201508,58.7
201509,54.8
201510,48.4
201511,31.9
201512,27.6
201601,31.7
201602,34.2
201603,35.9
201604,40.7
201605,45.6
201606,55.6
201607,58.8
201608,57.8
201609,50.7
201610,43.7
201611,37.6
201612,30.4
201701,31.2
201702,35.1
201703,36.3
201704,39.1
201705,45.8
201706,55.2
201707,62.2
201708,61.1
201709,52.8
201710,43.5
201711,38.6
201712,32.2
201801,35.0
201802,29.9
201803,33.9
201804,40.0
201805,45.9
201806,53.2
201807,63.4
201808,58.7
201809,52.7
201810,44.2
201811,37.0
201812,32.3
201901,32.4
201902,27.6
201903,33.8
201904,41.6
201905,42.4
201906,54.4
201907,58.2
201908,58.9
201909,51.2
201910,40.9
201911,37.1
201912,32.1
202001,30.5
202002,32.5
202003,32.5
202004,40.5
202005,46.3
202006,52.4
202007,58.7
202008,61.4
202009,56.8
202010,49.4
202011,35.3
202012,30.8
202101,30.8
202102,31.5
202103,32.0
202104,40.2
202105,46.7
202106,57.4
202107,63.5
202108,59.5
202109,54.5
202110,40.9
202111,39.8
202112,30.8
202201,29.2
202202,28.5
202203,35.5
202204,36.8
202205,43.2
202206,52.0
202207,59.0
202208,61.7
202209,57.2
202210,46.2
202211,31.5
202212,32.2
202301,30.1
202302,27.3
202303,30.8
202304,39.0
202305,45.8
202306,50.3
202307,61.4
202308,58.3
202309,53.1
202310,45.7
202311,36.8
202312,34.4
202401,32.5
202402,33.4
202403,34.6
202404,38.1
202405,45.8
