Tuolumne County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,12.63
200002,13.68
200003,2.69
200004,3.35
200005,2.73
200006,1.12
200007,0.01
200008,0.28
200009,0.95
200010,4.13
200011,1.28
200012,1.12
200101,5.58
200102,6.36
200103,3.86
200104,5.49
200105,0.17
200106,0.03
200107,0.50
200108,0.04
200109,0.54
200110,1.32
200111,6.99
200112,10.73
200201,2.98
200202,2.70
200203,5.27
200204,2.10
200205,1.72
200206,0.10
200207,0.10
200208,0.02
200209,0.35
200210,0.17
200211,6.92
200212,11.73
200301,1.19
200302,2.69
200303,3.26
200304,8.86
200305,2.44
200306,0.04
200307,0.47
200308,0.71
200309,0.22
200310,0.12
200311,3.52
200312,11.52
200401,3.38
200402,8.64
200403,1.67
200404,0.51
200405,0.90
200406,0.14
200407,0.09
200408,0.14
200409,0.24
200410,8.26
200411,3.47
200412,8.06
200501,11.98
200502,6.10
200503,9.30
200504,2.89
200505,5.24
200506,0.67
200507,0.04
200508,0.34
200509,0.77
200510,1.12
200511,2.57
200512,17.08
200601,9.03
200602,4.58
200603,10.93
200604,9.81
200605,1.68
200606,0.08
200607,0.24
200608,0.03
200609,0.07
200610,1.20
200611,2.82
200612,4.79
200701,1.62
200702,9.20
200703,1.48
200704,2.55
200705,1.05
200706,0.09
200707,0.11
200708,0.29
200709,0.60
200710,1.35
200711,0.69
200712,5.57
200801,12.14
200802,7.50
200803,0.91
200804,0.32
200805,1.58
200806,0.01
200807,0.09
200808,0.03
200809,0.00
200810,1.63
200811,4.61
200812,5.86
200901,4.90
200902,7.52
200903,6.60
200904,1.78
200905,3.44
200906,0.89
200907,0.06
200908,0.31
200909,0.14
200910,4.51
200911,1.26
200912,6.73
201001,7.75
201002,6.49
201003,4.72
201004,7.24
201005,2.66
201006,0.05
201007,0.08
201008,0.04
201009,0.00
201010,7.42
201011,7.55
201012,15.29
201101,3.07
201102,7.37
201103,14.69
201104,1.94
201105,3.22
201106,3.06
201107,0.20
201108,0.06
201109,0.65
201110,3.05
201111,1.56
201112,0.05
201201,6.25
201202,1.72
201203,6.25
201204,4.40
201205,0.25
201206,0.73
201207,0.16
201208,0.26
201209,0.12
201210,1.20
201211,5.97
201212,14.80
201301,1.28
201302,0.76
201303,2.68
201304,1.69
201305,1.19
201306,0.39
201307,0.23
201308,0.10
201309,0.74
201310,0.91
201311,1.21
201312,1.46
201401,2.22
201402,7.45
201403,4.75
201404,2.90
201405,1.05
201406,0.10
201407,0.82
201408,0.35
201409,0.96
201410,0.35
201411,3.43
201412,6.04
201501,0.14
201502,5.12
201503,0.68
201504,3.29
201505,2.70
201506,0.71
201507,0.93
201508,0.09
201509,0.18
201510,2.34
201511,5.17
201512,8.66
201601,9.76
201602,1.84
201603,8.84
201604,3.61
201605,1.43
201606,0.20
201607,0.04
201608,0.02
201609,0.17
201610,8.02
201611,2.88
201612,8.33
201701,22.84
201702,17.66
201703,5.39
201704,7.64
201705,0.89
201706,0.42
201707,0.01
201708,0.56
201709,1.26
201710,0.61
201711,6.87
201712,0.43
201801,4.59
201802,1.07
201803,15.31
201804,4.33
201805,0.91
201806,0.00
201807,0.23
201808,0.06
201809,0.09
201810,0.79
201811,7.35
201812,2.67
201901,8.22
201902,16.31
201903,8.20
201904,1.64
201905,5.66
201906,0.28
201907,0.23
201908,0.00
201909,0.57
201910,0.02
201911,2.23
201912,8.76
202001,1.91
202002,0.12
202003,5.88
202004,4.14
202005,2.32
202006,0.27
202007,0.12
202008,0.13
202009,0.17
202010,0.03
202011,2.34
202012,3.64
202101,7.48
202102,2.26
202103,3.25
202104,0.85
202105,0.49
202106,0.68
202107,0.54
202108,0.18
202109,0.09
202110,7.66
202111,1.14
202112,12.98
202201,0.06
202202,0.44
202203,1.47
202204,3.67
202205,0.29
202206,0.30
202207,0.03
202208,0.70
202209,1.77
202210,0.15
202211,3.80
202212,16.81
202301,17.46
202302,7.35
202303,18.02
202304,0.43
202305,1.47
202306,1.21
202307,0.01
202308,0.85
202309,1.00
202310,0.54
202311,2.59
202312,2.66
202401,5.94
202402,9.93
202403,9.05
202404,2.59
202405,1.42
