Tuolumne County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,38.4
200002,38.6
200003,41.4
200004,48.0
200005,53.7
200006,63.5
200007,64.7
200008,66.9
200009,60.3
200010,49.9
200011,38.4
200012,41.3
200101,35.3
200102,34.2
200103,44.2
200104,41.7
200105,60.3
200106,62.9
200107,66.1
200108,69.0
200109,63.4
200110,56.6
200111,43.6
200112,34.6
200201,35.0
200202,40.8
200203,39.3
200204,46.2
200205,51.4
200206,62.6
200207,69.8
200208,66.2
200209,62.5
200210,51.5
200211,45.3
200212,35.9
200301,43.1
200302,37.4
200303,42.6
200304,38.9
200305,52.0
200306,62.6
200307,70.6
200308,66.0
200309,65.2
200310,58.4
200311,38.6
200312,36.4
200401,35.8
200402,34.9
200403,48.6
200404,48.2
200405,53.1
200406,62.1
200407,68.0
200408,67.0
200409,61.1
200410,49.2
200411,39.8
200412,38.6
200501,36.2
200502,38.9
200503,41.6
200504,42.8
200505,51.0
200506,56.1
200507,70.8
200508,68.2
200509,57.8
200510,52.0
200511,45.7
200512,39.2
200601,36.4
200602,39.4
200603,33.2
200604,43.2
200605,54.7
200606,63.9
200607,70.7
200608,65.4
200609,61.6
200610,50.5
200611,43.3
200612,37.5
200701,35.0
200702,38.3
200703,45.5
200704,46.6
200705,54.9
200706,62.0
200707,68.9
200708,68.1
200709,58.1
200710,50.3
200711,47.3
200712,34.1
200801,33.5
200802,37.7
200803,41.3
200804,45.0
200805,52.4
200806,62.0
200807,68.9
200808,69.1
200809,63.6
200810,53.6
200811,46.4
200812,35.4
200901,40.0
200902,36.8
200903,39.4
200904,44.4
200905,57.2
200906,57.8
200907,69.1
200908,66.2
200909,65.0
200910,49.2
200911,44.1
200912,34.9
201001,37.9
201002,38.0
201003,39.7
201004,40.5
201005,45.8
201006,59.8
201007,67.9
201008,64.6
201009,62.2
201010,52.1
201011,40.5
201012,37.6
201101,38.0
201102,34.5
201103,37.9
201104,42.8
201105,46.5
201106,56.2
201107,64.7
201108,66.2
201109,64.2
201110,52.7
201111,41.3
201112,36.9
201201,40.8
201202,38.3
201203,39.3
201204,45.9
201205,54.0
201206,60.3
201207,67.1
201208,70.4
201209,65.6
201210,54.0
201211,44.4
201212,33.6
201301,35.8
201302,37.0
201303,44.6
201304,48.6
201305,53.7
201306,63.3
201307,70.0
201308,65.7
201309,60.3
201310,50.4
201311,44.5
201312,37.7
201401,44.3
201402,41.2
201403,43.9
201404,47.6
201405,54.4
201406,63.3
201407,70.4
201408,66.7
201409,63.5
201410,56.8
201411,45.8
201412,39.2
201501,43.4
201502,46.0
201503,48.1
201504,46.8
201505,51.0
201506,65.7
201507,66.4
201508,68.1
201509,64.2
201510,56.4
201511,39.2
201512,34.2
201601,36.7
201602,44.5
201603,43.0
201604,48.2
201605,52.2
201606,64.3
201607,68.6
201608,68.5
201609,61.4
201610,51.4
201611,45.0
201612,37.3
201701,34.2
201702,37.8
201703,43.8
201704,44.9
201705,54.3
201706,63.3
201707,70.7
201708,69.6
201709,60.6
201710,53.8
201711,45.5
201712,43.0
201801,42.7
201802,38.4
201803,38.0
201804,47.2
201805,53.1
201806,63.0
201807,71.8
201808,68.0
201809,63.0
201810,52.6
201811,46.8
201812,38.0
201901,39.4
201902,30.8
201903,38.9
201904,48.6
201905,48.2
201906,61.9
201907,66.6
201908,68.4
201909,60.0
201910,51.3
201911,46.6
201912,37.6
202001,38.8
202002,42.3
202003,38.2
202004,46.8
202005,54.7
202006,61.0
202007,68.6
202008,70.7
202009,66.0
202010,59.3
202011,43.8
202012,39.8
202101,38.8
202102,38.8
202103,38.7
202104,48.7
202105,55.2
202106,66.6
202107,72.8
202108,69.5
202109,65.1
202110,49.8
202111,48.1
202112,36.1
202201,39.5
202202,38.8
202203,43.8
202204,45.2
202205,52.2
202206,62.1
202207,69.6
202208,69.9
202209,65.0
202210,56.2
202211,38.9
202212,36.0
202301,33.6
202302,34.0
202303,33.0
202304,45.7
202305,52.4
202306,56.9
202307,70.5
202308,66.6
202309,59.4
202310,54.5
202311,44.8
202312,42.4
202401,38.0
202402,38.1
202403,39.4
202404,46.9
202405,53.8
