Tuolumne County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,46.4
200002,47.5
200003,53.0
200004,60.5
200005,66.2
200006,78.2
200007,79.6
200008,81.6
200009,74.2
200010,61.4
200011,49.3
200012,51.9
200101,45.9
200102,43.0
200103,56.4
200104,53.4
200105,75.0
200106,77.3
200107,80.0
200108,84.1
200109,77.7
200110,70.2
200111,53.6
200112,42.5
200201,45.1
200202,52.8
200203,51.0
200204,58.1
200205,64.8
200206,77.4
200207,84.8
200208,81.6
200209,76.9
200210,64.9
200211,56.8
200212,44.7
200301,53.6
200302,48.4
200303,54.4
200304,48.8
200305,64.9
200306,77.1
200307,85.5
200308,79.7
200309,79.9
200310,72.9
200311,48.6
200312,44.7
200401,45.3
200402,44.1
200403,61.9
200404,60.8
200405,66.9
200406,76.8
200407,82.6
200408,81.9
200409,75.9
200410,60.1
200411,50.0
200412,48.1
200501,44.4
200502,48.3
200503,52.7
200504,54.8
200505,62.5
200506,69.3
200507,85.6
200508,83.0
200509,72.2
200510,64.7
200511,56.8
200512,48.0
200601,45.7
200602,51.4
200603,42.5
200604,53.0
200605,67.8
200606,78.0
200607,85.3
200608,80.7
200609,76.4
200610,63.1
200611,53.6
200612,47.4
200701,46.8
200702,47.9
200703,58.6
200704,58.9
200705,68.7
200706,76.7
200707,83.5
200708,82.8
200709,71.4
200710,62.5
200711,59.4
200712,43.5
200801,42.0
200802,48.5
200803,53.6
200804,58.1
200805,64.8
200806,76.9
200807,83.5
200808,83.8
200809,78.5
200810,67.0
200811,57.2
200812,45.1
200901,50.7
200902,46.3
200903,51.3
200904,57.4
200905,70.3
200906,70.3
200907,84.0
200908,80.8
200909,79.6
200910,61.5
200911,55.6
200912,44.5
201001,46.8
201002,47.4
201003,51.7
201004,51.9
201005,57.5
201006,73.1
201007,82.6
201008,79.2
201009,77.1
201010,62.6
201011,51.1
201012,45.6
201101,47.8
201102,45.5
201103,47.3
201104,54.8
201105,58.5
201106,68.9
201107,78.6
201108,81.0
201109,78.0
201110,64.5
201111,51.8
201112,49.1
201201,52.0
201202,49.4
201203,49.7
201204,57.9
201205,67.9
201206,74.6
201207,81.7
201208,85.1
201209,79.9
201210,66.6
201211,54.6
201212,41.7
201301,47.4
201302,49.1
201303,56.8
201304,61.8
201305,66.6
201306,77.6
201307,84.4
201308,80.1
201309,73.7
201310,63.9
201311,56.0
201312,50.3
201401,56.5
201402,51.0
201403,55.3
201404,60.3
201405,67.7
201406,78.1
201407,84.2
201408,80.1
201409,77.0
201410,70.2
201411,56.6
201412,47.9
201501,54.4
201502,57.4
201503,60.7
201504,59.6
201505,62.3
201506,79.6
201507,79.3
201508,82.3
201509,77.5
201510,67.9
201511,49.9
201512,43.6
201601,45.3
201602,56.8
201603,53.8
201604,60.2
201605,64.1
201606,78.5
201607,83.6
201608,83.2
201609,75.7
201610,62.7
201611,55.8
201612,46.8
201701,42.7
201702,46.4
201703,55.0
201704,56.2
201705,66.9
201706,76.9
201707,85.0
201708,83.0
201709,73.3
201710,67.9
201711,55.3
201712,54.2
201801,52.8
201802,50.7
201803,48.3
201804,59.7
201805,65.3
201806,77.8
201807,86.0
201808,82.8
201809,77.7
201810,65.2
201811,58.0
201812,47.5
201901,48.9
201902,39.5
201903,48.9
201904,60.6
201905,59.5
201906,75.6
201907,80.6
201908,82.6
201909,73.2
201910,65.6
201911,58.8
201912,46.0
202001,48.8
202002,55.0
202003,48.1
202004,58.6
202005,67.7
202006,75.4
202007,83.5
202008,85.0
202009,80.0
202010,73.8
202011,55.6
202012,50.7
202101,49.0
202102,50.2
202103,50.5
202104,62.3
202105,69.2
202106,81.4
202107,87.2
202108,84.2
202109,79.9
202110,61.5
202111,59.5
202112,45.2
202201,51.2
202202,51.8
202203,55.8
202204,57.2
202205,65.5
202206,75.7
202207,84.1
202208,83.5
202209,78.2
202210,70.5
202211,50.0
202212,45.3
202301,43.1
202302,44.9
202303,42.7
202304,58.7
202305,64.9
202306,70.4
202307,85.1
202308,80.5
202309,72.0
202310,67.5
202311,56.4
202312,52.7
202401,47.4
202402,47.8
202403,49.8
202404,59.6
202405,67.5
