Tuolumne County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,30.3
200002,29.8
200003,29.8
200004,35.6
200005,41.2
200006,48.8
200007,49.8
200008,52.1
200009,46.4
200010,38.4
200011,27.4
200012,30.6
200101,24.8
200102,25.4
200103,32.0
200104,30.0
200105,45.6
200106,48.5
200107,52.2
200108,53.8
200109,49.1
200110,42.9
200111,33.7
200112,26.8
200201,24.9
200202,28.8
200203,27.6
200204,34.2
200205,38.0
200206,47.7
200207,54.9
200208,50.9
200209,48.0
200210,38.2
200211,33.8
200212,27.1
200301,32.7
200302,26.3
200303,30.8
200304,29.0
200305,39.2
200306,48.1
200307,55.6
200308,52.2
200309,50.5
200310,43.8
200311,28.6
200312,28.1
200401,26.2
200402,25.8
200403,35.3
200404,35.5
200405,39.3
200406,47.3
200407,53.3
200408,52.2
200409,46.2
200410,38.2
200411,29.5
200412,29.1
200501,28.0
200502,29.4
200503,30.4
200504,30.7
200505,39.6
200506,42.9
200507,55.9
200508,53.5
200509,43.5
200510,39.4
200511,34.6
200512,30.5
200601,27.1
200602,27.5
200603,24.0
200604,33.5
200605,41.6
200606,49.7
200607,56.1
200608,50.1
200609,46.7
200610,37.9
200611,33.0
200612,27.7
200701,23.3
200702,28.7
200703,32.4
200704,34.4
200705,41.0
200706,47.3
200707,54.3
200708,53.3
200709,44.9
200710,38.0
200711,35.1
200712,24.8
200801,25.0
200802,26.8
200803,29.0
200804,31.9
200805,40.1
200806,47.1
200807,54.3
200808,54.4
200809,48.8
200810,40.2
200811,35.7
200812,25.6
200901,29.4
200902,27.2
200903,27.6
200904,31.3
200905,44.2
200906,45.2
200907,54.2
200908,51.7
200909,50.4
200910,36.9
200911,32.6
200912,25.3
201001,28.9
201002,28.7
201003,27.6
201004,29.0
201005,33.9
201006,46.4
201007,53.3
201008,49.9
201009,47.3
201010,41.7
201011,29.9
201012,29.6
201101,28.1
201102,23.4
201103,28.5
201104,30.8
201105,34.5
201106,43.5
201107,50.9
201108,51.3
201109,50.4
201110,40.9
201111,30.7
201112,24.7
201201,29.6
201202,27.1
201203,29.0
201204,33.9
201205,40.1
201206,45.9
201207,52.5
201208,55.7
201209,51.4
201210,41.4
201211,34.2
201212,25.4
201301,24.2
201302,24.8
201303,32.3
201304,35.4
201305,40.8
201306,49.1
201307,55.6
201308,51.3
201309,46.8
201310,36.8
201311,33.0
201312,25.1
201401,32.1
201402,31.4
201403,32.5
201404,34.9
201405,41.2
201406,48.5
201407,56.6
201408,53.4
201409,50.1
201410,43.4
201411,34.9
201412,30.5
201501,32.3
201502,34.6
201503,35.5
201504,34.0
201505,39.6
201506,51.7
201507,53.4
201508,53.9
201509,50.9
201510,44.8
201511,28.4
201512,24.8
201601,28.2
201602,32.2
201603,32.4
201604,36.3
201605,40.3
201606,50.1
201607,53.6
201608,53.7
201609,47.1
201610,40.1
201611,34.1
201612,27.7
201701,25.7
201702,29.3
201703,32.5
201704,33.6
201705,41.7
201706,49.6
201707,56.5
201708,56.3
201709,47.9
201710,39.7
201711,35.7
201712,31.9
201801,32.7
201802,26.0
201803,27.7
201804,34.6
201805,40.9
201806,48.2
201807,57.7
201808,53.2
201809,48.2
201810,40.0
201811,35.4
201812,28.4
201901,29.8
201902,22.2
201903,28.8
201904,36.5
201905,37.0
201906,48.2
201907,52.6
201908,54.1
201909,46.7
201910,37.0
201911,34.3
201912,29.2
202001,28.8
202002,29.6
202003,28.3
202004,35.1
202005,41.7
202006,46.7
202007,53.7
202008,56.5
202009,52.0
202010,44.9
202011,32.0
202012,28.9
202101,28.6
202102,27.4
202103,26.9
202104,35.2
202105,41.2
202106,51.9
202107,58.4
202108,54.7
202109,50.3
202110,38.0
202111,36.7
202112,27.0
202201,27.8
202202,25.7
202203,31.9
202204,33.3
202205,39.0
202206,48.5
202207,55.1
202208,56.3
202209,51.7
202210,41.9
202211,27.7
202212,26.8
202301,24.0
202302,23.1
202303,23.4
202304,32.6
202305,39.8
202306,43.4
202307,56.0
202308,52.6
202309,46.8
202310,41.4
202311,33.3
202312,32.2
202401,28.5
202402,28.4
202403,29.0
202404,34.2
202405,40.0
