Ventura County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,49.9
200002,48.2
200003,50.0
200004,55.3
200005,61.1
200006,66.6
200007,68.2
200008,71.3
200009,67.0
200010,57.8
200011,49.6
200012,50.9
200101,45.8
200102,45.1
200103,52.0
200104,50.6
200105,62.9
200106,66.4
200107,68.2
200108,70.5
200109,67.8
200110,61.8
200111,53.7
200112,47.0
200201,46.6
200202,50.0
200203,48.5
200204,53.4
200205,57.5
200206,65.1
200207,70.6
200208,69.2
200209,68.3
200210,57.3
200211,56.1
200212,47.6
200301,55.3
200302,47.9
200303,52.2
200304,49.9
200305,58.2
200306,63.8
200307,73.7
200308,72.4
200309,69.8
200310,64.4
200311,50.1
200312,47.6
200401,47.6
200402,45.9
200403,56.7
200404,55.4
200405,60.7
200406,64.4
200407,69.8
200408,69.6
200409,68.2
200410,58.2
200411,50.1
200412,48.9
200501,49.1
200502,49.3
200503,51.4
200504,52.8
200505,60.0
200506,61.9
200507,72.2
200508,71.1
200509,64.4
200510,59.5
200511,55.9
200512,50.5
200601,48.6
200602,49.9
200603,44.7
200604,51.1
200605,60.2
200606,68.2
200607,75.2
200608,69.3
200609,67.2
200610,58.5
200611,55.6
200612,48.7
200701,45.6
200702,48.8
200703,54.0
200704,54.3
200705,58.9
200706,64.8
200707,71.4
200708,72.0
200709,65.3
200710,60.2
200711,55.1
200712,45.8
200801,46.2
200802,48.1
200803,51.8
200804,54.2
200805,57.8
200806,67.0
200807,71.3
200808,72.2
200809,69.2
200810,62.6
200811,56.8
200812,46.4
200901,51.8
200902,46.4
200903,49.2
200904,52.4
200905,62.5
200906,61.8
200907,71.5
200908,70.1
200909,70.6
200910,59.0
200911,53.5
200912,46.6
201001,49.2
201002,47.7
201003,50.3
201004,50.2
201005,55.8
201006,63.7
201007,68.5
201008,68.3
201009,67.2
201010,59.8
201011,51.6
201012,49.6
201101,50.0
201102,45.0
201103,49.7
201104,53.3
201105,56.2
201106,61.7
201107,70.1
201108,70.6
201109,68.1
201110,61.0
201111,51.4
201112,46.6
201201,51.2
201202,48.2
201203,48.7
201204,54.2
201205,60.6
201206,64.4
201207,69.0
201208,75.0
201209,71.6
201210,62.6
201211,54.6
201212,46.9
201301,47.2
201302,47.7
201303,53.9
201304,56.7
201305,62.2
201306,67.4
201307,71.9
201308,70.7
201309,69.0
201310,59.6
201311,55.3
201312,50.6
201401,55.1
201402,51.8
201403,54.5
201404,56.6
201405,62.2
201406,66.3
201407,72.6
201408,70.6
201409,70.9
201410,64.4
201411,56.9
201412,50.3
201501,52.7
201502,54.2
201503,57.6
201504,55.5
201505,57.0
201506,67.6
201507,70.2
201508,73.3
201509,72.3
201510,67.4
201511,52.9
201512,47.6
201601,48.7
201602,55.2
201603,52.7
201604,56.2
201605,57.6
201606,68.2
201607,71.7
201608,71.6
201609,67.7
201610,61.2
201611,56.4
201612,48.6
201701,46.7
201702,49.0
201703,54.2
201704,56.8
201705,59.6
201706,67.7
201707,73.8
201708,73.6
201709,67.8
201710,64.2
201711,57.5
201712,52.8
201801,54.4
201802,49.6
201803,49.6
201804,55.4
201805,57.4
201806,64.8
201807,75.5
201808,73.0
201809,68.0
201810,61.8
201811,56.1
201812,48.8
201901,49.5
201902,43.2
201903,49.8
201904,56.6
201905,55.0
201906,64.9
201907,70.3
201908,71.4
201909,68.2
201910,60.2
201911,55.1
201912,48.1
202001,49.3
202002,50.8
202003,48.0
202004,54.5
202005,61.8
202006,65.4
202007,69.8
202008,73.9
202009,71.4
202010,65.7
202011,54.2
202012,49.7
202101,50.0
202102,50.2
202103,47.9
202104,55.6
202105,59.4
202106,68.3
202107,73.5
202108,72.5
202109,68.6
202110,59.6
202111,58.0
202112,46.9
202201,50.6
202202,50.3
202203,53.0
202204,55.6
202205,59.3
202206,67.8
202207,71.8
202208,73.6
202209,73.2
202210,62.9
202211,51.3
202212,48.0
202301,45.1
202302,44.8
202303,45.0
202304,54.3
202305,56.2
202306,58.9
202307,73.7
202308,71.1
202309,63.9
202310,62.6
202311,54.9
202312,51.6
202401,48.4
202402,46.7
202403,48.4
202404,52.8
202405,58.2
