Ventura County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,60.5
200002,56.9
200003,61.6
200004,68.2
200005,74.0
200006,80.2
200007,82.9
200008,85.4
200009,81.1
200010,68.9
200011,62.6
200012,64.2
200101,56.8
200102,54.2
200103,62.4
200104,61.7
200105,76.0
200106,80.3
200107,81.4
200108,84.9
200109,81.9
200110,74.8
200111,64.2
200112,57.3
200201,59.0
200202,64.4
200203,61.7
200204,64.8
200205,70.5
200206,79.2
200207,84.4
200208,83.4
200209,82.4
200210,68.3
200211,68.3
200212,57.7
200301,68.3
200302,58.3
200303,64.1
200304,60.6
200305,70.3
200306,75.6
200307,87.4
200308,87.0
200309,84.0
200310,78.8
200311,61.0
200312,58.3
200401,59.5
200402,56.1
200403,69.8
200404,68.6
200405,74.6
200406,77.6
200407,84.4
200408,83.8
200409,82.9
200410,69.6
200411,61.2
200412,59.8
200501,58.1
200502,57.4
200503,61.6
200504,65.5
200505,72.5
200506,75.2
200507,85.9
200508,85.6
200509,79.0
200510,72.3
200511,68.4
200512,61.8
200601,60.3
200602,63.2
200603,54.7
200604,60.6
200605,72.3
200606,81.9
200607,89.2
200608,84.2
200609,82.0
200610,71.6
200611,69.3
200612,61.8
200701,58.4
200702,60.3
200703,67.2
200704,66.7
200705,72.4
200706,79.2
200707,85.7
200708,86.5
200709,78.9
200710,73.4
200711,67.8
200712,57.1
200801,55.1
200802,59.3
200803,65.4
200804,68.7
200805,70.2
200806,82.1
200807,84.7
200808,85.7
200809,83.4
200810,77.8
200811,68.8
200812,57.0
200901,63.8
200902,56.8
200903,61.1
200904,65.6
200905,75.9
200906,73.3
200907,86.2
200908,85.1
200909,85.2
200910,71.7
200911,67.0
200912,57.1
201001,59.8
201002,57.6
201003,62.5
201004,61.4
201005,68.7
201006,76.3
201007,81.7
201008,82.9
201009,82.4
201010,69.9
201011,63.8
201012,58.9
201101,61.8
201102,56.2
201103,60.8
201104,65.5
201105,69.2
201106,74.2
201107,83.5
201108,85.8
201109,82.0
201110,74.3
201111,61.8
201112,59.8
201201,65.0
201202,60.6
201203,61.1
201204,67.1
201205,75.2
201206,78.7
201207,83.8
201208,89.6
201209,86.2
201210,75.8
201211,66.0
201212,56.0
201301,59.0
201302,60.6
201303,66.8
201304,69.2
201305,75.6
201306,81.6
201307,85.4
201308,85.0
201309,83.6
201310,73.2
201311,67.7
201312,63.3
201401,69.1
201402,64.5
201403,66.7
201404,70.0
201405,76.1
201406,80.7
201407,85.7
201408,84.6
201409,85.1
201410,79.0
201411,69.4
201412,59.6
201501,64.1
201502,66.4
201503,71.4
201504,68.6
201505,68.7
201506,80.4
201507,82.6
201508,87.6
201509,86.0
201510,80.6
201511,67.3
201512,60.1
201601,58.8
201602,70.1
201603,64.5
201604,68.9
201605,68.8
201606,82.1
201607,86.0
201608,85.6
201609,81.8
201610,74.4
201611,70.3
201612,59.0
201701,55.4
201702,57.0
201703,66.9
201704,70.0
201705,72.2
201706,81.3
201707,87.4
201708,86.5
201709,80.8
201710,79.6
201711,69.9
201712,67.4
201801,65.6
201802,63.0
201803,59.5
201804,68.3
201805,68.6
201806,78.1
201807,89.2
201808,87.2
201809,81.7
201810,74.9
201811,69.2
201812,59.6
201901,59.1
201902,51.4
201903,59.4
201904,67.6
201905,64.4
201906,76.3
201907,83.4
201908,85.1
201909,81.3
201910,75.1
201911,68.6
201912,56.8
202001,60.8
202002,63.6
202003,56.8
202004,64.6
202005,74.7
202006,77.8
202007,83.2
202008,88.0
202009,86.4
202010,79.8
202011,67.9
202012,63.0
202101,60.6
202102,61.8
202103,59.5
202104,68.0
202105,71.1
202106,81.0
202107,85.8
202108,86.3
202109,81.3
202110,72.5
202111,70.3
202112,56.1
202201,62.4
202202,64.9
202203,66.7
202204,68.0
202205,72.1
202206,81.8
202207,85.1
202208,88.1
202209,87.2
202210,75.7
202211,64.6
202212,57.7
202301,54.6
202302,55.9
202303,54.4
202304,66.1
202305,66.3
202306,69.5
202307,87.0
202308,83.7
202309,75.2
202310,75.3
202311,66.7
202312,62.3
202401,58.5
202402,55.3
202403,57.7
202404,64.0
202405,69.2
