Ventura County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,39.4
200002,39.6
200003,38.4
200004,42.4
200005,48.2
200006,53.0
200007,53.4
200008,57.2
200009,52.9
200010,46.6
200011,36.6
200012,37.6
200101,34.8
200102,36.0
200103,41.6
200104,39.5
200105,49.9
200106,52.5
200107,55.1
200108,56.0
200109,53.7
200110,48.8
200111,43.2
200112,36.7
200201,34.3
200202,35.6
200203,35.4
200204,41.9
200205,44.5
200206,50.9
200207,56.6
200208,54.9
200209,54.2
200210,46.3
200211,43.9
200212,37.4
200301,42.2
200302,37.5
200303,40.2
200304,39.2
200305,46.0
200306,52.1
200307,59.9
200308,57.8
200309,55.7
200310,50.1
200311,39.2
200312,36.9
200401,35.7
200402,35.6
200403,43.5
200404,42.3
200405,46.7
200406,51.2
200407,55.3
200408,55.4
200409,53.5
200410,46.9
200411,39.0
200412,38.0
200501,40.2
200502,41.1
200503,41.1
200504,40.1
200505,47.5
200506,48.6
200507,58.5
200508,56.6
200509,49.8
200510,46.7
200511,43.3
200512,39.3
200601,36.9
200602,36.5
200603,34.7
200604,41.6
200605,48.2
200606,54.5
200607,61.3
200608,54.4
200609,52.5
200610,45.4
200611,42.0
200612,35.6
200701,33.0
200702,37.2
200703,40.8
200704,41.8
200705,45.3
200706,50.3
200707,57.1
200708,57.5
200709,51.8
200710,47.0
200711,42.3
200712,34.4
200801,37.4
200802,36.8
200803,38.2
200804,39.8
200805,45.5
200806,52.0
200807,57.8
200808,58.8
200809,55.0
200810,47.4
200811,44.9
200812,35.8
200901,39.9
200902,36.2
200903,37.3
200904,39.2
200905,49.0
200906,50.4
200907,56.7
200908,55.2
200909,56.0
200910,46.2
200911,40.0
200912,36.2
201001,38.5
201002,37.7
201003,38.1
201004,39.1
201005,42.8
201006,51.0
201007,55.4
201008,53.8
201009,51.9
201010,49.7
201011,39.5
201012,40.2
201101,38.1
201102,33.7
201103,38.5
201104,41.1
201105,43.2
201106,49.2
201107,56.7
201108,55.5
201109,54.2
201110,47.7
201111,41.0
201112,33.4
201201,37.5
201202,35.8
201203,36.3
201204,41.3
201205,46.0
201206,50.1
201207,54.3
201208,60.3
201209,56.9
201210,49.3
201211,43.1
201212,37.8
201301,35.4
201302,34.8
201303,41.0
201304,44.2
201305,48.8
201306,53.3
201307,58.4
201308,56.3
201309,54.5
201310,45.9
201311,42.9
201312,37.9
201401,41.0
201402,39.0
201403,42.2
201404,43.1
201405,48.3
201406,51.8
201407,59.5
201408,56.6
201409,56.7
201410,49.8
201411,44.4
201412,41.1
201501,41.3
201502,41.9
201503,43.9
201504,42.5
201505,45.4
201506,54.8
201507,57.9
201508,59.0
201509,58.5
201510,54.2
201511,38.5
201512,35.0
201601,38.6
201602,40.2
201603,40.8
201604,43.5
201605,46.5
201606,54.4
201607,57.3
201608,57.6
201609,53.5
201610,47.9
201611,42.4
201612,38.2
201701,38.0
201702,40.9
201703,41.5
201704,43.6
201705,47.0
201706,54.0
201707,60.3
201708,60.8
201709,54.9
201710,48.7
201711,45.0
201712,38.1
201801,43.1
201802,36.2
201803,39.6
201804,42.5
201805,46.1
201806,51.5
201807,61.9
201808,58.7
201809,54.3
201810,48.7
201811,43.0
201812,38.0
201901,39.8
201902,35.0
201903,40.1
201904,45.6
201905,45.7
201906,53.6
201907,57.2
201908,57.7
201909,55.1
201910,45.2
201911,41.5
201912,39.4
202001,37.8
202002,38.1
202003,39.2
202004,44.5
202005,49.0
202006,53.0
202007,56.4
202008,59.9
202009,56.4
202010,51.5
202011,40.4
202012,36.4
202101,39.3
202102,38.6
202103,36.3
202104,43.1
202105,47.7
202106,55.6
202107,61.2
202108,58.8
202109,55.9
202110,46.6
202111,45.6
202112,37.6
202201,38.7
202202,35.7
202203,39.2
202204,43.2
202205,46.5
202206,53.8
202207,58.5
202208,59.0
202209,59.2
202210,50.1
202211,38.0
202212,38.4
202301,35.7
202302,33.7
202303,35.5
202304,42.6
202305,46.1
202306,48.4
202307,60.3
202308,58.5
202309,52.7
202310,49.8
202311,43.0
202312,40.9
202401,38.4
202402,38.2
202403,39.0
202404,41.7
202405,47.3
