Yolo County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,5.29
200002,8.25
200003,2.12
200004,1.59
200005,1.15
200006,0.23
200007,0.00
200008,0.00
200009,0.16
200010,2.06
200011,0.86
200012,0.52
200101,3.75
200102,5.68
200103,2.38
200104,1.09
200105,0.00
200106,0.14
200107,0.00
200108,0.00
200109,0.27
200110,0.57
200111,4.05
200112,7.47
200201,2.61
200202,1.01
200203,2.12
200204,0.17
200205,1.04
200206,0.00
200207,0.00
200208,0.00
200209,0.00
200210,0.00
200211,2.85
200212,9.90
200301,2.13
200302,1.59
200303,2.46
200304,3.15
200305,0.99
200306,0.00
200307,0.01
200308,0.22
200309,0.01
200310,0.03
200311,1.93
200312,6.57
200401,2.51
200402,6.70
200403,0.83
200404,0.23
200405,0.09
200406,0.00
200407,0.00
200408,0.00
200409,0.10
200410,2.68
200411,2.82
200412,5.24
200501,4.62
200502,3.57
200503,3.19
200504,0.96
200505,1.98
200506,0.64
200507,0.00
200508,0.00
200509,0.03
200510,0.23
200511,1.84
200512,11.02
200601,2.92
200602,2.73
200603,5.96
200604,4.35
200605,0.66
200606,0.01
200607,0.00
200608,0.00
200609,0.00
200610,0.12
200611,1.73
200612,2.95
200701,0.11
200702,4.10
200703,0.23
200704,1.53
200705,0.32
200706,0.00
200707,0.05
200708,0.00
200709,0.22
200710,1.43
200711,0.75
200712,3.37
200801,9.23
200802,2.83
200803,0.08
200804,0.05
200805,0.05
200806,0.00
200807,0.00
200808,0.00
200809,0.00
200810,0.63
200811,2.30
200812,2.14
200901,1.16
200902,6.36
200903,2.15
200904,0.78
200905,1.01
200906,0.27
200907,0.00
200908,0.00
200909,0.13
200910,3.61
200911,0.51
200912,2.47
201001,7.32
201002,3.39
201003,1.95
201004,3.43
201005,0.88
201006,0.00
201007,0.00
201008,0.00
201009,0.12
201010,1.60
201011,2.54
201012,6.48
201101,1.76
201102,4.46
201103,7.48
201104,0.25
201105,1.38
201106,0.95
201107,0.00
201108,0.00
201109,0.02
201110,1.09
201111,1.26
201112,0.27
201201,3.42
201202,1.15
201203,4.96
201204,2.30
201205,0.03
201206,0.03
201207,0.01
201208,0.00
201209,0.00
201210,1.05
201211,5.18
201212,7.59
201301,0.83
201302,0.39
201303,1.25
201304,0.76
201305,0.34
201306,0.36
201307,0.00
201308,0.00
201309,0.60
201310,0.00
201311,0.87
201312,0.39
201401,0.20
201402,5.33
201403,2.04
201404,1.84
201405,0.04
201406,0.00
201407,0.01
201408,0.02
201409,0.41
201410,0.42
201411,1.71
201412,9.60
201501,0.06
201502,3.20
201503,0.17
201504,1.31
201505,0.10
201506,0.04
201507,0.02
201508,0.01
201509,0.06
201510,0.18
201511,1.83
201512,2.21
201601,5.95
201602,0.69
201603,6.69
201604,0.75
201605,0.55
201606,0.01
201607,0.00
201608,0.00
201609,0.00
201610,2.93
201611,1.65
201612,3.70
201701,12.72
201702,9.34
201703,2.77
201704,2.90
201705,0.10
201706,0.29
201707,0.00
201708,0.00
201709,0.01
201710,0.19
201711,2.33
201712,0.09
201801,4.36
201802,0.35
201803,4.91
201804,2.08
201805,0.18
201806,0.00
201807,0.01
201808,0.00
201809,0.01
201810,0.22
201811,3.29
201812,2.43
201901,6.44
201902,10.76
201903,4.84
201904,0.45
201905,3.10
201906,0.00
201907,0.00
201908,0.00
201909,0.26
201910,0.00
201911,0.54
201912,6.75
202001,1.45
202002,0.00
202003,1.24
202004,0.89
202005,0.62
202006,0.00
202007,0.00
202008,0.04
202009,0.00
202010,0.00
202011,0.59
202012,1.53
202101,3.12
202102,0.99
202103,1.29
202104,0.07
202105,0.00
202106,0.00
202107,0.00
202108,0.00
202109,0.05
202110,5.24
202111,0.91
202112,7.24
202201,0.27
202202,0.01
202203,1.00
202204,0.84
202205,0.04
202206,0.26
202207,0.00
202208,0.00
202209,0.98
202210,0.00
202211,1.31
202212,6.80
202301,9.44
202302,2.70
202303,7.70
202304,0.22
202305,0.84
202306,0.01
202307,0.01
202308,0.03
202309,0.09
202310,0.66
202311,0.93
202312,3.92
202401,3.94
202402,6.81
202403,2.47
202404,0.97
202405,0.58
