Yolo County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,48.7
200002,50.8
200003,55.4
200004,61.5
200005,67.1
200006,74.7
200007,73.6
200008,75.9
200009,71.9
200010,62.2
200011,49.3
200012,48.3
200101,46.0
200102,48.9
200103,57.7
200104,56.8
200105,73.6
200106,75.1
200107,75.5
200108,76.6
200109,72.3
200110,67.0
200111,55.8
200112,48.1
200201,45.4
200202,51.6
200203,53.3
200204,59.8
200205,65.6
200206,74.4
200207,77.6
200208,75.1
200209,73.5
200210,63.6
200211,55.2
200212,49.0
200301,50.7
200302,50.3
200303,56.3
200304,53.9
200305,65.8
200306,74.0
200307,80.5
200308,75.7
200309,75.0
200310,68.1
200311,50.8
200312,47.9
200401,46.3
200402,50.1
200403,60.8
200404,62.1
200405,67.2
200406,73.5
200407,76.4
200408,76.6
200409,73.4
200410,62.7
200411,52.3
200412,48.0
200501,45.3
200502,52.7
200503,56.7
200504,57.7
200505,65.7
200506,69.7
200507,80.2
200508,77.7
200509,69.6
200510,64.0
200511,55.9
200512,49.6
200601,48.9
200602,51.7
200603,48.8
200604,57.2
200605,68.1
200606,75.9
200607,80.8
200608,74.7
200609,71.8
200610,62.0
200611,53.9
200612,47.2
200701,45.7
200702,51.1
200703,58.7
200704,61.0
200705,67.9
200706,73.4
200707,76.8
200708,76.6
200709,69.8
200710,61.4
200711,56.1
200712,46.1
200801,45.2
200802,49.9
200803,55.0
200804,58.5
200805,67.9
200806,74.2
200807,77.2
200808,78.0
200809,73.0
200810,64.9
200811,56.4
200812,44.6
200901,49.0
200902,50.0
200903,54.4
200904,59.5
200905,69.4
200906,71.8
200907,77.2
200908,76.3
200909,75.5
200910,62.1
200911,53.8
200912,45.3
201001,47.5
201002,51.8
201003,53.6
201004,55.2
201005,61.2
201006,73.1
201007,75.8
201008,73.3
201009,72.8
201010,64.4
201011,53.4
201012,49.4
201101,46.4
201102,48.5
201103,52.3
201104,58.2
201105,61.9
201106,69.8
201107,75.5
201108,74.6
201109,75.6
201110,64.5
201111,51.4
201112,46.9
201201,48.6
201202,51.8
201203,52.4
201204,59.5
201205,67.9
201206,72.5
201207,75.4
201208,77.6
201209,73.4
201210,65.0
201211,55.1
201212,47.1
201301,45.1
201302,50.1
201303,56.7
201304,64.0
201305,68.7
201306,74.2
201307,77.8
201308,75.2
201309,71.6
201310,63.1
201311,56.2
201312,46.8
201401,52.9
201402,53.6
201403,58.2
201404,62.1
201405,69.7
201406,75.2
201407,79.1
201408,76.5
201409,74.0
201410,67.6
201411,55.5
201412,52.1
201501,50.1
201502,56.0
201503,60.5
201504,62.1
201505,64.9
201506,76.5
201507,78.1
201508,76.9
201509,74.0
201510,69.1
201511,51.3
201512,47.0
201601,48.9
201602,55.0
201603,56.4
201604,62.7
201605,68.1
201606,75.7
201607,77.4
201608,75.8
201609,72.9
201610,62.3
201611,55.4
201612,46.2
201701,46.1
201702,51.8
201703,56.9
201704,59.0
201705,68.4
201706,75.2
201707,79.0
201708,78.7
201709,74.0
201710,64.9
201711,54.5
201712,49.1
201801,49.7
201802,52.0
201803,52.6
201804,59.1
201805,66.7
201806,73.7
201807,79.7
201808,74.4
201809,71.4
201810,65.7
201811,55.5
201812,48.6
201901,50.1
201902,46.6
201903,53.4
201904,63.1
201905,63.6
201906,75.6
201907,76.5
201908,78.4
201909,72.3
201910,63.4
201911,56.2
201912,49.6
202001,48.5
202002,54.6
202003,53.1
202004,61.7
202005,68.5
202006,74.7
202007,77.1
202008,79.8
202009,76.0
202010,69.7
202011,53.6
202012,49.1
202101,49.7
202102,53.4
202103,53.4
202104,62.6
202105,70.2
202106,75.8
202107,79.1
202108,77.6
202109,75.0
202110,61.9
202111,55.1
202112,46.0
202201,49.3
202202,52.4
202203,57.2
202204,60.0
202205,67.3
202206,75.5
202207,77.0
202208,78.8
202209,76.2
202210,66.5
202211,50.4
202212,45.1
202301,48.4
202302,47.7
202303,49.4
202304,59.6
202305,64.9
202306,70.4
202307,78.5
202308,78.6
202309,70.6
202310,65.2
202311,55.6
202312,51.2
202401,49.9
202402,51.1
202403,54.3
202404,59.9
202405,67.9
