Yolo County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,40.1
200002,43.3
200003,43.7
200004,47.8
200005,53.4
200006,58.6
200007,56.9
200008,58.5
200009,56.6
200010,49.4
200011,38.8
200012,38.2
200101,35.6
200102,39.9
200103,45.2
200104,43.5
200105,56.8
200106,59.0
200107,58.5
200108,58.5
200109,55.6
200110,52.2
200111,46.5
200112,41.9
200201,36.5
200202,40.1
200203,41.2
200204,46.6
200205,50.8
200206,58.0
200207,59.9
200208,57.3
200209,56.0
200210,47.9
200211,43.4
200212,41.2
200301,43.5
200302,39.3
200303,44.2
200304,43.0
200305,51.3
200306,57.5
200307,62.6
200308,59.0
200309,58.0
200310,51.4
200311,40.9
200312,40.5
200401,38.6
200402,41.2
200403,47.5
200404,47.9
200405,52.2
200406,57.0
200407,59.3
200408,59.3
200409,56.6
200410,50.1
200411,42.4
200412,39.5
200501,38.2
200502,43.8
200503,45.1
200504,44.7
200505,52.6
200506,55.6
200507,62.0
200508,59.3
200509,53.5
200510,49.8
200511,43.6
200512,41.5
200601,40.2
200602,39.7
200603,40.2
200604,47.3
200605,53.0
200606,59.8
200607,63.2
200608,57.2
200609,54.9
200610,47.4
200611,44.2
200612,37.5
200701,32.6
200702,41.5
200703,44.6
200704,47.0
200705,51.8
200706,56.6
200707,59.6
200708,58.9
200709,54.9
200710,48.9
200711,42.9
200712,37.1
200801,37.8
200802,39.3
200803,41.6
200804,42.9
200805,53.2
200806,57.5
200807,59.7
200808,60.0
200809,55.3
200810,49.7
200811,45.6
200812,35.3
200901,37.1
200902,41.0
200903,42.6
200904,45.1
200905,53.9
200906,56.5
200907,58.6
200908,58.5
200909,58.2
200910,49.6
200911,41.4
200912,36.6
201001,41.0
201002,43.4
201003,41.8
201004,44.0
201005,47.9
201006,58.0
201007,58.1
201008,55.7
201009,56.2
201010,52.0
201011,42.1
201012,42.7
201101,37.4
201102,37.3
201103,43.1
201104,45.9
201105,48.6
201106,56.2
201107,59.7
201108,56.9
201109,58.6
201110,51.3
201111,40.9
201112,33.8
201201,35.8
201202,40.3
201203,42.4
201204,47.3
201205,52.5
201206,56.6
201207,57.9
201208,58.7
201209,54.7
201210,51.6
201211,44.2
201212,38.6
201301,33.2
201302,36.5
201303,43.2
201304,49.9
201305,54.2
201306,58.6
201307,60.0
201308,58.1
201309,56.8
201310,47.3
201311,43.3
201312,32.9
201401,38.2
201402,43.9
201403,46.8
201404,48.2
201405,53.9
201406,58.1
201407,62.4
201408,60.1
201409,57.9
201410,52.8
201411,44.6
201412,45.7
201501,39.1
201502,44.7
201503,46.5
201504,47.5
201505,50.3
201506,59.4
201507,62.2
201508,59.9
201509,57.8
201510,54.2
201511,39.9
201512,38.0
201601,41.8
201602,42.6
201603,46.0
201604,49.6
201605,54.4
201606,58.9
201607,59.7
201608,57.4
201609,55.8
201610,50.4
201611,45.0
201612,36.5
201701,38.0
201702,44.0
201703,45.7
201704,48.0
201705,53.6
201706,59.5
201707,61.0
201708,61.7
201709,59.1
201710,48.8
201711,44.9
201712,36.2
201801,40.9
201802,38.4
201803,41.0
201804,45.8
201805,52.1
201806,56.4
201807,62.5
201808,57.1
201809,53.5
201810,50.6
201811,42.3
201812,39.4
201901,41.3
201902,38.6
201903,43.5
201904,51.0
201905,50.9
201906,60.0
201907,59.9
201908,61.7
201909,57.1
201910,47.4
201911,42.0
201912,42.0
202001,39.3
202002,41.2
202003,41.7
202004,48.1
202005,53.6
202006,58.4
202007,58.7
202008,62.7
202009,59.7
202010,53.1
202011,40.0
202012,37.6
202101,39.7
202102,42.2
202103,40.7
202104,46.4
202105,54.1
202106,58.7
202107,60.4
202108,59.7
202109,58.3
202110,49.6
202111,44.9
202112,38.5
202201,37.1
202202,37.7
202203,42.8
202204,45.6
202205,51.6
202206,58.8
202207,58.8
202208,60.5
202209,59.9
202210,50.0
202211,37.2
202212,36.2
202301,40.0
202302,36.8
202303,40.2
202304,45.7
202305,50.8
202306,54.9
202307,60.1
202308,61.8
202309,55.6
202310,50.8
202311,43.4
202312,41.5
202401,41.7
202402,41.9
202403,44.1
202404,46.6
202405,52.4
