Yuba County, California December Precipitation
Units: Inches
Missing: -99
Date,Value
200001,9.21
200002,16.13
200003,3.78
200004,2.55
200005,1.94
200006,0.39
200007,0.00
200008,0.00
200009,0.78
200010,4.06
200011,1.50
200012,1.65
200101,5.08
200102,7.82
200103,2.85
200104,2.76
200105,0.03
200106,0.21
200107,0.00
200108,0.00
200109,0.48
200110,1.71
200111,6.74
200112,10.90
200201,4.65
200202,2.72
200203,5.56
200204,1.04
200205,1.79
200206,0.00
200207,0.00
200208,0.00
200209,0.00
200210,0.00
200211,4.26
200212,14.55
200301,4.04
200302,2.74
200303,4.09
200304,7.17
200305,2.05
200306,0.00
200307,0.00
200308,0.61
200309,0.01
200310,0.29
200311,3.88
200312,10.72
200401,4.65
200402,9.52
200403,1.81
200404,0.74
200405,0.41
200406,0.02
200407,0.00
200408,0.00
200409,0.23
200410,5.43
200411,3.21
200412,7.14
200501,6.53
200502,4.00
200503,6.43
200504,2.12
200505,4.93
200506,1.63
200507,0.00
200508,0.00
200509,0.23
200510,1.34
200511,3.88
200512,17.41
200601,5.76
200602,4.79
200603,11.21
200604,8.30
200605,0.78
200606,0.05
200607,0.00
200608,0.00
200609,0.01
200610,0.30
200611,3.76
200612,6.35
200701,0.62
200702,9.65
200703,0.77
200704,2.84
200705,0.82
200706,0.32
200707,0.04
200708,0.00
200709,0.75
200710,2.68
200711,1.14
200712,6.10
200801,10.09
200802,4.85
200803,0.80
200804,0.37
200805,0.25
200806,0.00
200807,0.00
200808,0.00
200809,0.00
200810,1.82
200811,3.53
200812,4.42
200901,2.66
200902,9.01
200903,4.59
200904,0.80
200905,3.37
200906,0.61
200907,0.00
200908,0.02
200909,0.23
200910,2.97
200911,1.89
200912,4.50
201001,9.36
201002,4.44
201003,3.53
201004,6.62
201005,2.33
201006,0.07
201007,0.00
201008,0.04
201009,0.03
201010,5.09
201011,5.91
201012,12.32
201101,2.12
201102,6.85
201103,12.93
201104,1.44
201105,3.17
201106,1.92
201107,0.00
201108,0.00
201109,0.24
201110,2.99
201111,1.75
201112,0.21
201201,5.98
201202,2.39
201203,10.52
201204,5.42
201205,0.22
201206,0.56
201207,0.02
201208,0.01
201209,0.00
201210,2.35
201211,9.71
201212,11.53
201301,0.92
201302,0.74
201303,2.86
201304,1.11
201305,0.65
201306,1.25
201307,0.00
201308,0.01
201309,1.16
201310,0.29
201311,1.73
201312,0.43
201401,1.06
201402,10.35
201403,6.45
201404,1.64
201405,0.38
201406,0.00
201407,0.01
201408,0.17
201409,0.64
201410,1.55
201411,3.79
201412,12.57
201501,0.08
201502,4.42
201503,0.48
201504,2.75
201505,0.17
201506,0.07
201507,0.03
201508,0.03
201509,0.14
201510,0.49
201511,3.75
201512,7.11
201601,11.66
201602,1.67
201603,12.28
201604,1.44
201605,0.88
201606,0.09
201607,0.00
201608,0.00
201609,0.01
201610,7.42
201611,3.60
201612,7.68
201701,17.58
201702,16.43
201703,4.78
201704,6.06
201705,0.30
201706,0.56
201707,0.00
201708,0.01
201709,0.19
201710,0.60
201711,8.01
201712,0.49
201801,6.85
201802,1.10
201803,10.51
201804,4.58
201805,0.34
201806,0.02
201807,0.00
201808,0.00
201809,0.00
201810,0.65
201811,5.62
201812,3.99
201901,9.52
201902,17.61
201903,7.07
201904,2.26
201905,4.51
201906,0.21
201907,0.00
201908,0.00
201909,1.22
201910,0.05
201911,1.72
201912,7.98
202001,3.51
202002,0.12
202003,3.93
202004,2.37
202005,2.45
202006,0.10
202007,0.00
202008,0.05
202009,0.00
202010,0.00
202011,2.64
202012,2.85
202101,4.48
202102,2.87
202103,3.31
202104,0.31
202105,0.08
202106,0.02
202107,0.01
202108,0.00
202109,0.42
202110,8.70
202111,1.81
202112,10.70
202201,0.70
202202,0.09
202203,1.25
202204,3.69
202205,0.24
202206,0.84
202207,0.00
202208,0.03
202209,1.28
202210,0.01
202211,2.88
202212,12.36
202301,12.57
202302,4.30
202303,10.21
202304,1.06
202305,1.72
202306,0.23
202307,0.00
202308,0.24
202309,0.61
202310,1.11
202311,1.33
202312,4.60
202401,8.06
202402,9.01
202403,4.88
202404,1.40
202405,1.82
