Yuba County, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,46.4
200002,49.0
200003,52.9
200004,59.8
200005,64.8
200006,74.8
200007,73.8
200008,75.8
200009,70.3
200010,59.8
200011,47.5
200012,47.4
200101,44.9
200102,46.2
200103,56.0
200104,54.0
200105,72.8
200106,73.4
200107,76.1
200108,77.0
200109,72.4
200110,66.0
200111,53.6
200112,45.2
200201,43.3
200202,50.4
200203,50.9
200204,57.9
200205,64.1
200206,73.8
200207,78.7
200208,75.6
200209,72.9
200210,62.2
200211,54.7
200212,46.6
200301,49.8
200302,48.4
200303,53.1
200304,51.1
200305,63.6
200306,73.7
200307,80.6
200308,74.7
200309,74.2
200310,67.0
200311,48.5
200312,46.0
200401,44.3
200402,47.4
200403,59.7
200404,60.4
200405,65.3
200406,73.2
200407,77.6
200408,76.9
200409,71.4
200410,60.3
200411,50.2
200412,47.0
200501,44.4
200502,51.0
200503,54.3
200504,54.9
200505,63.0
200506,66.8
200507,81.0
200508,78.2
200509,68.5
200510,62.1
200511,54.3
200512,47.9
200601,46.3
200602,50.2
200603,45.8
200604,55.0
200605,67.2
200606,75.5
200607,81.4
200608,75.2
200609,71.8
200610,60.9
200611,51.3
200612,46.0
200701,44.4
200702,49.0
200703,57.2
200704,58.2
200705,66.9
200706,72.4
200707,77.4
200708,76.8
200709,68.0
200710,59.0
200711,55.4
200712,43.3
200801,42.6
200802,48.0
200803,52.7
200804,56.2
200805,66.3
200806,73.4
200807,78.1
200808,78.3
200809,73.5
200810,63.6
200811,55.3
200812,42.9
200901,48.5
200902,47.6
200903,51.3
200904,56.8
200905,68.6
200906,70.5
200907,78.7
200908,76.4
200909,74.8
200910,59.8
200911,52.5
200912,43.6
201001,46.1
201002,49.6
201003,51.4
201004,52.3
201005,58.6
201006,71.5
201007,77.4
201008,74.1
201009,71.8
201010,63.0
201011,50.8
201012,46.9
201101,46.4
201102,46.5
201103,48.9
201104,54.7
201105,59.2
201106,67.9
201107,75.0
201108,75.9
201109,75.3
201110,62.2
201111,50.0
201112,46.8
201201,47.9
201202,49.4
201203,49.6
201204,57.2
201205,66.2
201206,70.9
201207,76.4
201208,79.2
201209,75.1
201210,63.3
201211,53.9
201212,44.6
201301,44.6
201302,48.8
201303,55.5
201304,61.3
201305,66.6
201306,73.9
201307,79.8
201308,75.3
201309,69.8
201310,61.3
201311,55.0
201312,46.6
201401,52.9
201402,51.2
201403,55.7
201404,60.1
201405,67.7
201406,74.6
201407,80.4
201408,76.7
201409,73.3
201410,65.3
201411,54.0
201412,48.6
201501,50.8
201502,55.4
201503,59.2
201504,59.4
201505,64.4
201506,77.5
201507,78.0
201508,76.7
201509,73.3
201510,67.7
201511,49.2
201512,44.0
201601,46.3
201602,54.3
201603,53.7
201604,60.8
201605,66.1
201606,74.8
201607,77.8
201608,77.2
201609,71.9
201610,60.0
201611,53.4
201612,44.6
201701,43.8
201702,49.4
201703,54.8
201704,56.2
201705,67.3
201706,75.0
201707,80.7
201708,80.3
201709,73.0
201710,64.0
201711,53.2
201712,49.7
201801,49.2
201802,49.6
201803,50.6
201804,58.0
201805,66.0
201806,73.9
201807,81.6
201808,76.3
201809,72.1
201810,64.5
201811,55.3
201812,46.7
201901,48.4
201902,43.4
201903,50.8
201904,61.0
201905,61.9
201906,74.9
201907,77.3
201908,78.1
201909,70.0
201910,61.2
201911,55.8
201912,47.8
202001,46.8
202002,53.2
202003,50.7
202004,59.4
202005,66.8
202006,73.7
202007,78.6
202008,80.4
202009,76.3
202010,69.4
202011,52.6
202012,48.0
202101,47.3
202102,50.2
202103,51.2
202104,61.3
202105,68.6
202106,77.1
202107,82.4
202108,79.0
202109,74.7
202110,60.0
202111,55.4
202112,44.5
202201,48.3
202202,51.8
202203,56.5
202204,57.7
202205,65.1
202206,74.2
202207,79.0
202208,80.4
202209,76.2
202210,67.1
202211,48.9
202212,44.4
202301,45.2
202302,45.8
202303,46.4
202304,57.6
202305,64.8
202306,70.5
202307,80.2
202308,78.2
202309,69.7
202310,64.1
202311,54.3
202312,50.0
202401,47.1
202402,49.0
202403,51.7
202404,58.0
202405,67.3
