Yuba County, California December Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,53.7
200002,56.0
200003,63.9
200004,72.6
200005,77.4
200006,90.3
200007,89.9
200008,91.6
200009,84.6
200010,71.5
200011,57.5
200012,56.9
200101,54.3
200102,54.7
200103,67.7
200104,66.5
200105,88.2
200106,88.6
200107,91.9
200108,93.7
200109,87.8
200110,79.9
200111,62.3
200112,51.3
200201,51.7
200202,61.4
200203,62.6
200204,69.9
200205,78.1
200206,89.4
200207,94.8
200208,91.8
200209,88.8
200210,76.8
200211,66.0
200212,54.4
200301,57.2
200302,58.9
200303,64.0
200304,60.7
200305,77.0
200306,89.0
200307,96.5
200308,89.7
200309,89.6
200310,82.5
200311,57.9
200312,53.1
200401,52.2
200402,55.6
200403,72.5
200404,73.7
200405,79.5
200406,88.3
200407,93.5
200408,93.1
200409,86.9
200410,72.0
200411,59.8
200412,55.6
200501,51.6
200502,60.0
200503,65.1
200504,66.9
200505,74.9
200506,81.0
200507,97.5
200508,95.0
200509,83.9
200510,75.6
200511,65.2
200512,55.6
200601,54.0
200602,61.4
200603,53.5
200604,64.8
200605,81.2
200606,90.8
200607,97.8
200608,91.4
200609,87.5
200610,74.6
200611,60.4
200612,54.7
200701,56.0
200702,57.4
200703,70.1
200704,71.3
200705,81.8
200706,88.2
200707,93.5
200708,93.0
200709,82.2
200710,71.0
200711,67.4
200712,51.5
200801,49.4
200802,58.1
200803,64.9
200804,70.4
200805,80.1
200806,89.4
200807,94.3
200808,94.2
200809,89.6
200810,77.8
200811,65.4
200812,51.3
200901,59.2
200902,56.1
200903,62.5
200904,70.2
200905,82.4
200906,84.5
200907,95.3
200908,92.2
200909,90.6
200910,72.2
200911,63.8
200912,51.9
201001,52.6
201002,57.8
201003,62.5
201004,63.3
201005,71.3
201006,85.7
201007,93.6
201008,89.9
201009,87.4
201010,74.9
201011,61.0
201012,53.3
201101,55.8
201102,56.6
201103,56.9
201104,66.5
201105,71.6
201106,80.6
201107,90.0
201108,91.9
201109,91.0
201110,74.6
201111,59.8
201112,57.6
201201,58.8
201202,60.4
201203,58.7
201204,69.2
201205,80.7
201206,86.3
201207,92.7
201208,96.0
201209,91.3
201210,76.0
201211,63.0
201212,51.9
201301,55.4
201302,61.3
201303,67.8
201304,75.2
201305,80.4
201306,88.8
201307,95.9
201308,91.1
201309,83.6
201310,75.9
201311,66.8
201312,58.5
201401,65.1
201402,60.4
201403,66.5
201404,73.4
201405,81.9
201406,90.6
201407,95.8
201408,91.3
201409,87.8
201410,79.0
201411,64.1
201412,55.1
201501,61.4
201502,66.3
201503,72.5
201504,73.3
201505,77.7
201506,93.2
201507,92.8
201508,92.3
201509,88.3
201510,81.1
201511,59.7
201512,51.9
201601,53.2
201602,66.3
201603,63.4
201604,73.3
201605,79.0
201606,90.3
201607,94.1
201608,93.2
201609,87.3
201610,70.6
201611,63.1
201612,53.8
201701,51.1
201702,56.6
201703,65.5
201704,66.9
201705,81.3
201706,89.8
201707,97.2
201708,95.8
201709,86.8
201710,79.4
201711,61.0
201712,61.0
201801,57.3
201802,61.8
201803,61.0
201804,70.6
201805,79.6
201806,90.0
201807,97.5
201808,92.2
201809,88.0
201810,78.3
201811,66.9
201812,55.2
201901,57.0
201902,50.6
201903,60.0
201904,72.8
201905,74.2
201906,89.9
201907,92.7
201908,93.6
201909,84.2
201910,76.8
201911,68.2
201912,55.2
202001,54.7
202002,66.6
202003,60.8
202004,71.8
202005,80.2
202006,88.8
202007,95.1
202008,95.8
202009,91.5
202010,85.4
202011,64.8
202012,58.6
202101,56.1
202102,60.8
202103,62.9
202104,75.9
202105,83.8
202106,92.9
202107,98.2
202108,94.5
202109,90.4
202110,71.6
202111,65.2
202112,51.2
202201,59.6
202202,65.8
202203,69.8
202204,70.7
202205,79.7
202206,89.5
202207,95.6
202208,96.8
202209,90.9
202210,82.4
202211,59.9
202212,51.8
202301,53.7
202302,56.1
202303,54.9
202304,71.1
202305,77.5
202306,84.8
202307,96.7
202308,93.2
202309,83.2
202310,77.6
202311,65.9
202312,58.8
202401,54.5
202402,57.4
202403,61.0
202404,70.8
202405,81.9
