Yuba County, California December Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
200001,39.1
200002,41.9
200003,42.0
200004,47.0
200005,52.2
200006,59.4
200007,57.7
200008,60.0
200009,56.0
200010,48.1
200011,37.4
200012,38.0
200101,35.5
200102,37.7
200103,44.3
200104,41.6
200105,57.4
200106,58.2
200107,60.3
200108,60.2
200109,57.1
200110,52.1
200111,44.8
200112,39.1
200201,34.9
200202,39.5
200203,39.2
200204,45.9
200205,50.1
200206,58.2
200207,62.6
200208,59.4
200209,56.9
200210,47.6
200211,43.5
200212,39.0
200301,42.3
200302,38.0
200303,42.2
200304,41.5
200305,50.1
200306,58.5
200307,64.5
200308,59.7
200309,58.8
200310,51.6
200311,39.2
200312,38.9
200401,36.4
200402,39.2
200403,46.9
200404,47.1
200405,51.2
200406,58.2
200407,61.6
200408,60.7
200409,55.9
200410,48.5
200411,40.5
200412,38.5
200501,37.2
200502,42.0
200503,43.6
200504,42.8
200505,51.2
200506,52.7
200507,64.5
200508,61.5
200509,53.2
200510,48.5
200511,43.3
200512,40.2
200601,38.6
200602,38.9
200603,38.2
200604,45.3
200605,53.3
200606,60.3
200607,65.0
200608,59.0
200609,56.2
200610,47.2
200611,42.2
200612,37.2
200701,32.7
200702,40.5
200703,44.4
200704,45.1
200705,52.0
200706,56.5
200707,61.2
200708,60.7
200709,53.8
200710,46.9
200711,43.4
200712,35.1
200801,35.7
200802,37.8
200803,40.4
200804,42.1
200805,52.5
200806,57.5
200807,61.9
200808,62.3
200809,57.3
200810,49.4
200811,45.1
200812,34.4
200901,37.8
200902,39.2
200903,40.1
200904,43.4
200905,54.8
200906,56.5
200907,62.0
200908,60.6
200909,59.1
200910,47.4
200911,41.2
200912,35.2
201001,39.5
201002,41.4
201003,40.4
201004,41.4
201005,45.8
201006,57.3
201007,61.2
201008,58.3
201009,56.2
201010,51.2
201011,40.7
201012,40.4
201101,37.0
201102,36.3
201103,41.0
201104,42.8
201105,46.7
201106,55.2
201107,60.1
201108,59.8
201109,59.6
201110,49.7
201111,40.3
201112,36.0
201201,37.0
201202,38.2
201203,40.5
201204,45.3
201205,51.7
201206,55.5
201207,60.0
201208,62.5
201209,58.9
201210,50.6
201211,44.7
201212,37.2
201301,33.8
201302,36.4
201303,43.2
201304,47.4
201305,52.9
201306,58.9
201307,63.7
201308,59.5
201309,56.1
201310,46.7
201311,43.1
201312,34.7
201401,40.7
201402,42.0
201403,45.0
201404,46.8
201405,53.4
201406,58.7
201407,64.9
201408,62.1
201409,58.8
201410,51.7
201411,43.9
201412,42.2
201501,40.1
201502,44.4
201503,46.0
201504,45.6
201505,51.1
201506,61.8
201507,63.3
201508,61.1
201509,58.4
201510,54.3
201511,38.8
201512,36.1
201601,39.4
201602,42.4
201603,44.0
201604,48.3
201605,53.3
201606,59.2
201607,61.5
201608,61.2
201609,56.6
201610,49.3
201611,43.6
201612,35.4
201701,36.4
201702,42.2
201703,44.1
201704,45.6
201705,53.2
201706,60.1
201707,64.1
201708,64.7
201709,59.1
201710,48.5
201711,45.3
201712,38.3
201801,41.0
201802,37.3
201803,40.2
201804,45.5
201805,52.3
201806,57.8
201807,65.6
201808,60.4
201809,56.2
201810,50.7
201811,43.7
201812,38.1
201901,39.9
201902,36.2
201903,41.6
201904,49.1
201905,49.5
201906,59.8
201907,61.9
201908,62.5
201909,55.7
201910,45.6
201911,43.4
201912,40.5
202001,38.9
202002,39.7
202003,40.6
202004,47.1
202005,53.3
202006,58.6
202007,62.1
202008,65.0
202009,61.1
202010,53.3
202011,40.4
202012,37.4
202101,38.5
202102,39.4
202103,39.5
202104,46.7
202105,53.4
202106,61.4
202107,66.4
202108,63.4
202109,59.0
202110,48.5
202111,45.7
202112,37.7
202201,37.1
202202,37.8
202203,43.2
202204,44.7
202205,50.5
202206,59.0
202207,62.4
202208,64.1
202209,61.4
202210,51.8
202211,38.0
202212,36.9
202301,36.8
202302,35.5
202303,37.8
202304,44.0
202305,52.0
202306,56.2
202307,63.7
202308,63.1
202309,56.1
202310,50.6
202311,42.7
202312,41.1
202401,39.7
202402,40.6
202403,42.4
202404,45.2
202405,52.7
