OBJECTID,NAME10,Area_squaremiles,Total_Pop,PopulationDensity,Shape__Area,Shape__Length
1,Orange,10205,2273573,222.79010289074,26430437780.7888,712891.704974065
2,Tehama,31884,47303,1.4835967883578,82580358698.1133,1566573.05152232
3,Colusa,12447,15009,1.2058327307785,32237288263.9902,981272.56904205
4,Santa Barbara,40785,325848,7.98940787054064,105633859429.553,2411460.20666972
5,Mono,33711,11223,0.332918038622408,87311481287.7991,1795490.59632197
6,Monterey,40593,304044,7.49005986253788,105135187061.674,1961926.92283664
7,Placer,16172,263347,16.2841330695028,41885807498.437,1360975.50562372
8,Amador,6522,31698,4.86016559337626,16892856911.785,922924.861476222
9,Calaveras,11161,36635,3.28241197025356,28907763903.8915,945608.445059472
10,Imperial,48240,123430,2.55866500829187,124941796510.809,1630471.49443868
11,Siskiyou,68322,35575,0.520696115453295,176953944006.169,2200872.61562263
12,Sonoma,19030,377407,19.8322122963741,49287320054.5342,1248528.3920527
13,Santa Clara,14037,1352097,96.323787134003,36354737418.5728,1128330.64013067
14,Kern,87862,585550,6.6644283080285,227560743323.828,2305352.11931915
15,Yolo,11017,155218,14.0889534355995,28534425903.0586,1068639.23077036
16,Mendocino,41744,68380,1.6380797240322,108116314364.988,1770583.97341515
17,Sacramento,10699,1055735,98.6760444901393,27711501583.3611,1043808.36201257
18,Madera,23178,108016,4.66028130123393,60029994020.9412,1568383.0238257
19,Yuba,6930,51165,7.38311688311688,17948241304.542,923646.628368315
20,Tulare,52083,298055,5.7226926252328,134893892570.394,1707905.74860986
21,San Diego,48713,2371145,48.6758154907314,126166698149.271,1519600.61660901
22,Plumas,28131,16406,0.583200028438378,72858353166.8269,1650454.61269603
23,San Benito,14967,39203,2.61929578405826,38764034314.7379,1201558.90774901
24,Shasta,41413,137571,3.32192789703716,107258818644.633,1760086.79435298
25,Stanislaus,16303,367295,22.5292890878979,42224652999.5446,1231725.18443744
26,Mariposa,15746,15009,0.953194462085609,40780945923.1411,1110663.4673876
27,Fresno,64702,652943,10.0915427652932,167578466957.813,2901555.77818488
28,Alpine,8000,919,0.114875,20718830414.2203,705967.33323235
29,Marin,8915,200195,22.4559730790802,23088560215.1392,765164.27078017
30,Glenn,14283,20257,1.41825946929917,36993839792.1831,1002898.07287093
31,Lassen,50807,28602,0.562953923671935,131588737305.726,1935464.32662807
32,Del Norte,13237,22472,1.69766563420715,34283258393.8203,1022948.47323558
33,Napa,8488,104998,12.3701696512724,21984287953.4385,899001.397962331
34,San Luis Obispo,38917,218796,5.62211886836087,100795023206.59,1914725.75034821
35,San Mateo,7976,558679,70.0450100300903,20656746473.2671,727182.098934442
36,Nevada,10482,79658,7.59950391146728,27147795914.026,1100836.80267588
37,San Joaquin,15355,484582,31.558580267014,39768273708.5725,1075881.78818142
38,San Bernardino,216410,1440622,6.65691049396978,560498773639.628,3358224.70463599
39,Sutter,6550,68625,10.4770992366412,16963668390.4541,893155.968119243
40,Riverside,78609,1569533,19.9663270109021,203597236120.612,2486232.85914347
41,Trinity,34526,11266,0.326304813763541,89422702461.3188,1993217.8738799
42,Contra Costa,8652,788520,91.1373092926491,22407725916.0117,829508.764693022
43,Ventura,23771,611403,25.7205418366918,61565896403.9437,1430202.37645334
44,Tuolumne,24482,45683,1.86598317130953,63407883986.6034,1624557.10008844
45,Butte,18052,173832,9.6295147352094,46755541715.0581,1327029.03441549
46,Sierra,10357,2688,0.259534614270542,26823491623.8253,949426.624675281
47,Lake,14310,50993,3.56345213137666,37062013614.4058,1186457.21191922
48,Modoc,45245,7562,0.167134489998895,117183773524.177,1389618.67068072
49,El Dorado,19228,139883,7.27496359475765,49800316778.0143,1194692.53127157
50,Los Angeles,51139,7416397,145.024286747883,132448210875.087,2403000.06943652
51,Alameda,8841,1169650,132.298382535912,22897230864.7932,802985.111540602
52,Inyo,110081,14646,0.133047483216904,285108993586.91,2789166.00149055
53,San Francisco,2496,697711,279.531650641026,6464696368.96094,526652.920432664
54,Santa Cruz,6535,206964,31.6700841622035,16926789618.0015,741582.61817634
55,Kings,14978,110434,7.3730805180932,38793538038.4662,939265.54920184
56,Humboldt,43618,107562,2.46600027511578,112970043521.567,1692490.01402327
57,Solano,9754,311809,31.9672954685257,25263089313.1187,867457.727206476
58,Merced,21296,175095,8.22196656649136,55157448051.8937,1127624.96815187
