,CTYNAME,FULLFP,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Area_squaremiles,1970 Population Density,1971 Population Density,1972 Population Density,1973 Population Density,1974 Population Density,1975 Population Density,1976 Population Density,1977 Population Density,1978 Population Density,1979 Population Density,1980 Population Density,1981 Population Density,1982 Population Density,1983 Population Density,1984 Population Density,1985 Population Density,1986 Population Density,1987 Population Density,1988 Population Density,1989 Population Density,1990 Population Density,1991 Population Density,1992 Population Density,1993 Population Density,1994 Population Density,1995 Population Density,1996 Population Density,1997 Population Density,1998 Population Density,1999 Population Density,2000 Population Density,2001 Population Density,2002 Population Density,2003 Population Density,2004 Population Density,2005 Population Density,2006 Population Density,2007 Population Density,2008 Population Density,2009 Population Density,2010 Population Density,2011 Population Density,2012 Population Density,2013 Population Density,2014 Population Density,2015 Population Density,2016 Population Density,2017 Population Density,2018 Population Density,2019 Population Density,2020 Population Density
0,Alameda County,6001,1071446,1084500,1089300,1089300,1092200,1090900,1098100,1103700,1103700,1099300,1108791,1125949,1140263,1160695,1179130,1197407,1215509,1229320,1251097,1271451,1305802,1315144,1328589,1334736,1336359,1340267,1351804,1372202,1397050,1415582,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1512997,1530893,1553729,1579508,1607638,1634326,1650765,1659824,1666596,1668412,1662323,1644047,1628259,1622188,8841,121.19058929985296,122.66711910417374,123.21004411265695,123.21004411265695,123.53806130528221,123.39101911548467,124.20540662820947,124.83881913810654,124.83881913810654,124.34113788033028,125.41465897522905,127.35538966180296,128.9744372808506,131.28548806696074,133.37065942766657,135.43795950684313,137.4854654450854,139.04761904761904,141.5108019454813,143.8130302002036,147.69845040153828,148.75511819929872,150.27587376993552,150.97115710892433,151.15473362741773,151.59676507182445,152.90170795158917,155.20891301888926,158.01945481280399,160.11559778305622,163.99049881235155,166.21241940956907,165.37789842777966,164.47947064811672,163.5246012894469,163.0522565320665,163.3846849903857,164.65501640085964,167.08607623571993,169.49881235154393,171.13414772084604,173.15835312747427,175.7413188553331,178.6571654790182,181.8389322474833,184.85759529464994,186.71700033932814,187.74165818346341,188.5076348829318,188.71304151114128,188.02431851600497
1,Alpine County,6003,484,600,700,700,700,800,800,1000,1000,1200,1100,1132,1148,1120,1093,1157,1200,1143,1163,1162,1106,1158,1147,1185,1184,1227,1239,1212,1192,1161,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1161,1093,1111,1131,1083,1080,1053,1116,1081,1113,1119,1229,1190,1141,8000,0.0605,0.075,0.0875,0.0875,0.0875,0.1,0.1,0.125,0.125,0.15,0.1375,0.1415,0.1435,0.14,0.136625,0.144625,0.15,0.142875,0.145375,0.14525,0.13825,0.14475,0.143375,0.148125,0.148,0.153375,0.154875,0.1515,0.149,0.145125,0.151125,0.1495,0.154625,0.154125,0.157875,0.152375,0.1595,0.15925,0.15025,0.149625,0.145125,0.136625,0.138875,0.141375,0.135375,0.135,0.131625,0.1395,0.135125,0.139125,0.139875
2,Amador County,6005,11821,12500,13500,13500,14600,15100,15300,17300,17300,18600,19502,20206,20606,21101,21821,22661,23375,24530,27076,28941,30289,31262,31854,32285,32693,32976,33214,33423,33415,34153,35153,35697,36561,36994,37400,38040,38353,38756,38248,38238,37883,37539,37105,36624,36734,37039,37443,38549,39349,39693,40083,41228,41493,41811,6522,1.8124808340999694,1.916590003066544,2.0699172033118676,2.0699172033118676,2.2385771235817233,2.315240723704385,2.3459061637534497,2.652560564244097,2.652560564244097,2.8518859245630175,2.9901870591842994,3.098129408157007,3.1594602882551364,3.2353572523765717,3.3457528365532045,3.4745476847592762,3.5840233057344375,3.761116222017786,4.151487273842379,4.437442502299908,4.644127568230604,4.793314934069304,4.884084636614536,4.95016865992027,5.012726157620362,5.0561177552897885,5.092609628948176,5.124655013799448,5.123428396197485,5.236583869978534,5.3899110702238575,5.473321067157314,5.605795768169274,5.672186445875498,5.7344372891751,5.832566697332107,5.880558111008893,5.942348972707759,5.864458754983134,5.862925482980681,5.808494326893591,5.755749770009199,5.689205765102729,5.615455381784729,5.632321373811714,5.679086169886538,5.741030358785649,5.910610242256976,6.033272002453235,6.086016559337627,6.145814167433302
3,Butte County,6007,101969,105900,113200,113200,117300,121600,125400,131800,131800,138500,144879,148451,151910,154259,156786,160682,163238,166968,171906,176584,183497,186851,188905,190670,191811,192543,192116,193061,194347,195220,203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219951,219983,220877,221649,223525,224643,226222,228700,230330,218726,212744,206336,207369,207172,18052,5.648626191003767,5.866385996011522,6.270773321515621,6.270773321515621,6.497894970086417,6.736095723465544,6.946598714823843,7.3011300686904494,7.3011300686904494,7.672280079769554,8.025648127631287,8.223520939508088,8.415134057168181,8.545258143142034,8.685242632395303,8.9010635940616,9.042654553512076,9.249279858187458,9.522822955905163,9.781963217372036,10.164912475072015,10.350709062707732,10.464491469089298,10.562264569022823,10.625470861954355,10.666020385552848,10.64236649678706,10.694715267006426,10.765953910923997,10.814314203412364,11.289995568358076,11.422169288721472,11.584311987591402,11.715100819853756,11.80284732993574,11.896299578994018,12.011079104808331,12.0468092178152,12.133503212940395,12.174662087303346,12.184300908486595,12.186073565255928,12.23559716374917,12.278362508309328,12.382284511411479,12.444216707290051,12.531686239751828,12.668956348327056,12.759251052514957,12.116441391535563,11.785065366718369
4,Calaveras County,6009,13585,13900,14800,14800,15200,15200,15700,18300,18300,19800,20922,21699,22775,23530,24196,24872,25852,27195,28249,30068,32539,34030,35221,35945,37097,37729,38476,39144,39642,40051,40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,45467,45159,44816,44658,44677,44972,45307,45658,45747,46119,46308,46249,46556,46565,11161,1.2171848400680942,1.2454081175521907,1.3260460532210376,1.3260460532210376,1.361885135740525,1.361885135740525,1.4066839888898843,1.6396380252665532,1.6396380252665532,1.7740345847146313,1.8745632111817938,1.9441806289758983,2.0405877609533194,2.108234029208852,2.167906101603799,2.2284741510617327,2.316279903234477,2.4366096227936564,2.531045605232506,2.6940238329898754,2.9154197652540095,3.049009945345399,3.1557208135471733,3.2205895529074455,3.3238061105635697,3.38043186094436,3.447361347549503,3.5072126153570466,3.551832273093809,3.5884777349699846,3.6416987725114236,3.7007436609622792,3.797150792939701,3.920347639100439,3.989785861481946,4.058328106800466,4.125526386524505,4.145506675029119,4.145237881910223,4.112534719111191,4.073738912283845,4.04614281874384,4.01541080548338,4.0012543678881825,4.002956724307857,4.02938804766598,4.059403279276051,4.090852074186901,4.0988262700474865,4.13215661679061,4.149090583281068
5,Colusa County,6011,12430,12400,12200,12200,12400,12600,12800,12700,12700,12900,12871,13185,13872,14110,14156,14706,14934,14972,15494,16006,16340,16596,16882,17056,17331,17679,18033,18425,18596,18844,18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,21435,21315,21274,21239,21156,21208,21476,21558,21389,21474,21558,21919,21909,22037,12447,0.9986342090463566,0.9962239897163975,0.9801558608500041,0.9801558608500041,0.9962239897163975,1.0122921185827911,1.0283602474491846,1.0203261830159878,1.0203261830159878,1.0363943118823813,1.0340644331967543,1.059291395516992,1.1144854181730537,1.133606491524062,1.1373021611633325,1.1814895155459146,1.1998071824536032,1.202860126938218,1.244797943279505,1.2859323531774725,1.3127661283843497,1.3333333333333333,1.3563107576122762,1.3702900297260383,1.3923837069173295,1.4203422511448542,1.4487828392383706,1.480276371816502,1.4940146219972683,1.5139391017915964,1.5117699043946333,1.5282397364826865,1.5451112717923998,1.572105728287941,1.6234434000160682,1.6501968345786133,1.678316060094802,1.693179079296216,1.697919177311802,1.7072386920543103,1.7221017112557242,1.7124608339358882,1.7091668675182774,1.7063549449666586,1.6996866714871053,1.7038643849923676,1.725395677673335,1.7319836105085562,1.7184060416164537,1.725234996384671,1.7319836105085562
6,Contra Costa County,6013,556116,563400,574000,574000,581700,589100,601200,626100,626100,642800,658588,667287,678901,690153,698813,711445,725373,739981,759241,784396,809199,822332,838364,850732,859872,869437,881213,899494,917970,933141,952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1052516,1065361,1077439,1093253,1108665,1124148,1137259,1145623,1150840,1152883,1152333,1163941,1157019,1155025,8652,64.2760055478502,65.11789181692095,66.34304207119742,66.34304207119742,67.23300970873787,68.08830328247804,69.4868238557559,72.36477115117891,72.36477115117891,74.29496070272769,76.11974110032362,77.125173370319,78.4675219602404,79.76803051317614,80.76895515487749,82.2289644012945,83.83876560332871,85.52716134997688,87.7532362459547,90.66065649560795,93.52739251040222,95.0453074433657,96.89828941285252,98.32778548312528,99.38418862690708,100.48971336107259,101.85078594544613,103.96370781322237,106.0991678224688,107.85263522884883,110.12598243180767,112.22283865002312,113.25265834489136,114.1390429958391,114.70457697642163,115.4661349976884,115.67660656495607,116.63800277392511,118.27831715210355,119.95954692556634,121.65002311604253,123.13465094775775,124.53062875635692,126.3584142394822,128.13973647711512,129.92926490984743,131.44463707813222,132.41134997688397,133.0143319463708,133.25046232085066,133.1868932038835
7,Del Norte County,6015,14580,15000,15400,15400,15600,16100,16300,17700,17700,17900,18331,18793,18573,18703,18508,18704,19085,19527,20311,21268,23984,25849,26601,26833,27063,26726,26864,27186,27006,26477,27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,28568,28447,28195,27821,27182,27198,27415,27383,27793,27903,27968,27584,27112,26589,13237,1.1014580342978015,1.133187278084158,1.1634056054997355,1.1634056054997355,1.1785147692075244,1.2162876784769963,1.2313968421847852,1.3371609881393065,1.3371609881393065,1.3522701518470952,1.38483039963738,1.4197325678023722,1.4031124877238046,1.4129334441338672,1.398202009518773,1.413008989952406,1.4417919468157439,1.4751831986099568,1.534411120344489,1.6067084686862583,1.8118909118380297,1.95278386341316,2.009594318954446,2.027120948855481,2.0444964871194378,2.019037546271814,2.029462869230188,2.053788622799728,2.040190375462718,2.000226637455617,2.07297726070862,2.061796479564856,2.069728790511445,2.0851401374933896,2.111505628163481,2.1365112940998716,2.1312230868021453,2.14663443378409,2.1527536450857445,2.1605348643952555,2.1581929440205485,2.1490518999773363,2.1300143537055223,2.1017602175719574,2.0534864395255723,2.0546951726221954,2.071088615245146,2.0686711490519,2.099644934652867,2.107954974692151,2.112865452897182
8,El Dorado County,6017,43833,46000,52700,52700,55600,58400,62500,73700,73700,80700,86590,89365,92427,93435,95373,99093,102452,106855,112687,118828,128095,133480,137444,141771,144961,148185,151257,154798,158322,161358,157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,181161,180963,180613,181529,183157,184627,186027,188793,190925,193057,192925,193704,192787,192215,19228,2.2796442687747036,2.3923444976076556,2.7407946744331184,2.7407946744331184,2.8916163927605574,3.037237362180154,3.2504680674017057,3.8329519450800915,3.8329519450800915,4.1970043686290825,4.503328479301019,4.647649261493655,4.8068961930517995,4.859319742042854,4.960110255876846,5.153578115248596,5.328271271063033,5.557260245475349,5.860567921780737,6.179945912211358,6.661899313501144,6.9419596421884755,7.148117328895361,7.373153734137716,7.539057624297899,7.706729769086748,7.866496775535677,8.050655294362388,8.233929685874767,8.391824422716871,8.17360099854379,8.378458498023715,8.591377158310797,8.754472644060744,8.92724152277928,9.101466611192011,9.193519866860829,9.24141876430206,9.31714166840025,9.385011441647597,9.421728728936968,9.411431246099438,9.393228624921989,9.440867484917828,9.525535677137508,9.601986686082796,9.674797170792594,9.818649885583524,9.929529852298732,10.040409819013938,10.033544830455586
9,Fresno County,6019,413329,424700,439900,439900,449900,464200,477200,497600,497600,506300,517717,528885,541498,555866,572084,584064,593612,608823,627652,650754,671660,688511,703846,717746,727869,734615,743479,750640,755051,763069,801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,932011,939251,944779,951143,960072,968889,976231,984726,991298,997847,1000918,1013103,1015359,1017162,64702,6.388195109888412,6.563939290902908,6.798862477203178,6.798862477203178,6.953417205032302,7.17443046582795,7.375351612005812,7.690643256777225,7.690643256777225,7.825105869988563,8.001561002751075,8.17416772279064,8.369107601001515,8.591171833946401,8.841828691539675,9.026985255478966,9.174554109610213,9.409647306111093,9.700658403140553,10.057710735371394,10.380822849370963,10.641263021235819,10.878272696361782,11.093103768044264,11.249559519025688,11.353822138419215,11.49081944916695,11.601496089765385,11.669670180210813,11.793592160984204,12.384284875274334,12.565623937436246,12.824364007294983,13.09376835337393,13.307703007635004,13.484436338907607,13.660505084850545,13.847068096813082,14.058761707520633,14.24187814905258,14.404670643874995,14.516568266823283,14.602006120367221,14.700364749157677,14.838366665636302,14.97463756916324,15.088111650335383,15.219405891626225,15.320979258755525,15.422197150010819,15.469660906927142
