,UniqueId,CalFireIncident,CanonicalUrl,AcresBurned,MajorIncident,started_year,started_month,Started,Extinguished,Location,Latitude,Longitude,Counties,Name
0,5fb18d4d-213f-4d83-a179-daaf11939e78,True,/incidents/2013/8/17/rim-fire/,257314.0,False,2013.0,8.0,2013-08-17T15:25:00Z,2013-09-06T18:30:00Z,3 miles east of Groveland along Hwy 120,37.857,-120.086,Tuolumne,Rim Fire
1,bf37805e-1cc2-4208-9972-753e47874c87,True,/incidents/2013/5/30/powerhouse-fire/,30274.0,False,2013.0,5.0,2013-05-30T15:28:00Z,2013-06-08T18:30:00Z,Angeles National Forest,34.585595,-118.423176,Los Angeles,Powerhouse Fire
2,a3149fec-4d48-427c-8b2c-59e8b79d59db,True,/incidents/2013/7/15/mountain-fire/,27531.0,False,2013.0,7.0,2013-07-15T13:43:00Z,2013-07-30T18:00:00Z,Hwy 243 & Hwy 74 near Mountain Center,33.7095,-116.72885,Riverside,Mountain Fire
3,8213f5c7-34fa-403b-a4bc-da2ace6e6625,False,/incidents/2013/8/10/american-fire/,27440.0,False,2013.0,8.0,2013-08-10T16:30:00Z,2013-08-30T08:00:00Z,"Deadwood Ridge, northeast of Foresthill",39.12,-120.65,Placer,American Fire
5,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,False,/incidents/2013/7/22/aspen-fire/,22992.0,False,2013.0,7.0,2013-07-22T22:15:00Z,2013-09-24T20:15:00Z,Seven miles north of Big Creek,37.279,-119.318,Fresno,Aspen Fire
6,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,True,/incidents/2013/8/7/silver-fire/,20292.0,True,2013.0,8.0,2013-08-07T14:05:00Z,2013-08-12T18:00:00Z,"Poppet Flats Rd near Hwy 243, south of Banning",33.86157,-116.90427,Riverside,Silver Fire
7,ba76c009-09c9-497c-b923-1ac8cf05c20d,False,/incidents/2013/7/31/salmon-river-complex/,14754.0,False,2013.0,7.0,2013-07-31T22:00:00Z,2013-08-31T06:45:00Z,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",41.32,-123.176,Siskiyou,Salmon River Complex
8,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,False,/incidents/2013/8/10/corral-complex/,12503.0,False,2013.0,8.0,2013-08-10T11:40:00Z,2013-08-12T12:00:00Z,Tish Tang Ridge east of Hoopa Valley Reservation,41.035,-123.488,Humboldt,Corral Complex
9,956dbcf6-db40-4b61-b235-4ede14738f1e,True,/incidents/2013/8/23/deer-fire/,11429.0,True,2013.0,8.0,2013-08-23T14:15:00Z,2013-08-29T16:45:00Z,"Near Deer Creek, 12 miles east of Los Molinos. ",40.04263,-121.85397,Tehama,Deer Fire
10,92af9783-eda9-4186-afe9-447f61a92636,True,/incidents/2013/9/9/clover-fire/,8073.0,True,2013.0,9.0,2013-09-09T12:32:00Z,2013-09-15T07:30:00Z,"Community of Igo, 10 miles southwest of Redding",40.498332,-122.535496,Shasta,Clover Fire
11,ee19b2ec-a96a-4738-994e-fb3ea016e053,True,/incidents/2013/7/6/chariot-fire/,7055.0,True,2013.0,7.0,2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,"off Sunrise Hwy, 9 miles southeast of Julian",32.95435,-116.47381,San Diego,Chariot Fire
12,53122f0f-fefc-4dbf-b2d8-566b42ced66d,True,/incidents/2013/5/1/panther-fire/,6965.0,True,2013.0,5.0,2013-05-01T09:12:00Z,2013-05-09T09:00:00Z,"140K3 Line, 8 miles northwest of Butte Meadows",40.190062,-121.595555,Tehama,Panther Fire
13,e0d038e9-0926-4c05-8317-ec7075a04b12,True,/incidents/2013/5/15/grand-fire/,4346.0,True,2013.0,5.0,2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",34.7861,-118.9411,Kern,Grand Fire
14,e0d038e9-0926-4c05-8317-ec7075a04b12,True,/incidents/2013/5/15/grand-fire/,4346.0,True,2013.0,5.0,2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",34.7861,-118.9411,Ventura,Grand Fire
15,b4bc1480-cbb8-4ef2-8d5f-88a496d21d10,True,/incidents/2013/11/22/mccabe-fire/,3505.0,True,2013.0,11.0,2013-11-22T02:04:00Z,2013-11-27T18:15:00Z,"The Geysers area, 10 miles northeast of Geyserville",38.8167,-122.8498,Sonoma,McCabe Fire
16,a1b14be5-a8cf-4e40-8588-96becf4c5879,True,/incidents/2013/5/1/summit-fire/,3166.0,True,2013.0,5.0,2013-05-01T12:38:00Z,2013-05-04T18:30:00Z,Mias Canyon and Bluff Road in Banning,34.288877,-116.941311,Riverside,Summit Fire
17,e33b2d80-7fec-4470-9e79-440d349b0d95,True,/incidents/2013/9/8/morgan-fire/,3111.0,True,2013.0,9.0,2013-09-08T13:08:00Z,2013-09-14T17:30:00Z,"off Morgan Territory Road, Southeast of Clayton",37.90757,-121.882582,Contra Costa,Morgan Fire
18,859479e3-918c-42c6-bb74-5fdc17930a16,True,/incidents/2013/5/23/san-felipe-fire/,2781.0,True,2013.0,5.0,2013-05-23T12:20:00Z,2013-05-26T17:45:00Z,"San Felipe Road, north of Highway 78, East of Julian",33.12111,-116.52579,San Diego,San Felipe Fire
19,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664,True,/incidents/2013/8/16/swedes-fire/,2462.0,True,2013.0,8.0,2013-08-16T16:37:00Z,2013-08-22T18:00:00Z,southeast of Oroville,39.446268,-121.38236,Butte,Swedes Fire
