,COUNTYNAME,Started,Extinguished,Location,Latitude,Longitude,Name,AcresBurned,MajorIncident,PopDensity,Housing,pcp,tmax,tmin,closest_weather_lat,closest_weather_lon,season,season_year,24_hour_sp_min,24_hour_sp_max,24_hour_sp_mean,24_hour_d2m_min,24_hour_d2m_max,24_hour_d2m_mean,24_hour_t2m_min,24_hour_t2m_max,24_hour_t2m_mean,24_hour_u10_min,24_hour_u10_max,24_hour_u10_mean,24_hour_v10_min,24_hour_v10_max,24_hour_v10_mean,24_hour_tp_min,24_hour_tp_max,24_hour_tp_mean,season_sp_min,season_sp_max,season_sp_mean,season_d2m_min,season_d2m_max,season_d2m_mean,season_t2m_min,season_t2m_max,season_t2m_mean,season_u10_min,season_u10_max,season_u10_mean,season_v10_min,season_v10_max,season_v10_mean,season_tp_min,season_tp_max,season_tp_mean,year_sp_min,year_sp_max,year_sp_mean,year_d2m_min,year_d2m_max,year_d2m_mean,year_t2m_min,year_t2m_max,year_t2m_mean,year_u10_min,year_u10_max,year_u10_mean,year_v10_min,year_v10_max,year_v10_mean,year_tp_min,year_tp_max,year_tp_mean,slope_max,slope_mean,slope_min,slope_stdDev,elevation_max,elevation_mean,elevation_min,elevation_stdDev,average_ndvi,percent_vegetated_below_0.5,range_-1_0,range_0_0.2,range_0.2_0.5,range_0.5_1,YEAR,MONTH_NUM,UniqueId,CalFireIncident,CanonicalUrl
457,Siskiyou,2016-07-19T14:09:00Z,2016-07-20T09:00:00Z,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",41.96191,-122.59328,Bailey Fire,26.0,False,0.6352565791399549,24061.0,0.2,82.6,51.5,42.0,-122.5,Summer,2016,87938.10958,88200.96938,88077.62914,278.7286307,281.8225106,280.4946087,281.7810601,296.6618077,289.8448095,-0.0314574,2.554130749,1.353135178,-1.614860625,1.195085302,-0.392849154,-0.000104956,4.05e-05,-1.18e-05,87389.48732031955,88766.24810305495,88091.16440478973,264.7494121502209,290.37350761065824,278.0559340900232,274.8103736168556,309.09692047521025,292.1924696311721,-2.355053369033332,4.438255964691916,0.8730180874411874,-3.494058358209601,3.2238879597662,-0.989027478024755,-0.0035075902112983,0.001466232895762,-4.086633168282906e-06,85739.97695340516,89373.68849377414,88012.09356153713,252.85479578787692,290.37350761065824,275.3643414005539,256.59227501182016,309.09692047521025,283.2144554721665,-3.455843093897916,4.438255964691916,0.2367103398136934,-4.783972572600366,6.176586677169759,-0.1918091516032767,-0.0035075902112983,0.0022412390583261,-1.2898544062097282e-05,43.46406936645508,13.87316304929269,0.0,7.87084442048908,1213.0,883.7127178404156,703.0,105.45064104545337,0.3652149275237439,78.51118557133807,0.041961669921875,16.073226928710938,62.40501403808594,21.47979736328125,2016.0,7.0,be2805af-a801-4ca9-b9e7-14f3b896097e,True,/incidents/2016/7/19/bailey-fire/
847,Shasta,2017-07-29T17:29:00Z,2018-01-09T12:12:00Z,"Blue Sky Road, east of Bella Vista ",40.69259,-122.17384,Sky Fire,17.0,False,4.332045492961147,78840.0,0.0,94.5,59.6,40.75,-122.25,Summer,2017,95255.68002,95744.29041,95490.27359,273.4853212,282.9687434,278.7085383,293.0876357,311.3856238,303.6073765,-0.874956584,0.37992784,-0.1781513,-1.644077971,2.724884786,0.490988338,0.0,0.0,0.0,94971.28097103749,96142.02140906108,95526.508168299,262.3252039150548,293.63243404207566,281.1785942830028,281.83868420823126,316.3038656470406,300.6061497539672,-2.918625502642901,3.485766788627202,0.0304354371391365,-5.526394095339416,4.684244198930324,0.2592948183096215,-0.0009826072348382,0.000559477862628,-1.0774250790681174e-06,93086.33540735202,97756.46712724886,95774.79841382144,252.7157227179995,293.63243404207566,277.9318469216868,268.3343796072774,316.3038656470406,289.44209391080744,-3.6222571259664886,4.219774582525976,0.0708637198445842,-5.526394095339416,7.613703659514218,-0.1034720264887091,-0.001662716770875,0.0020256323636341,1.4476751479346715e-06,33.34708023071289,8.704363544887526,0.0,5.300920511456918,410.0,263.24196471999886,184.0,45.77769449192911,0.3222036324295343,93.2943093401918,0.0316619873046875,15.310287475585938,77.95448303222656,6.7035675048828125,2017.0,7.0,00a13d84-415e-4106-aa31-2e664ed9eabf,True,/incidents/2017/7/29/sky-fire/
1453,Siskiyou,2019-06-14T16:14:00Z,2019-06-17T10:39:00Z,"Rocky Rd and Harry Cash Rd, 9 miles east of Grenada ",41.64895,-122.35962,Rocky Fire,17.0,False,0.6390767249202307,24226.0,0.13,76.6,46.2,41.75,-122.25,Summer,2019,87880.8431,88193.82629,88059.94921,274.4148756,283.0718481,278.6497547,287.4024851,302.434888,295.3640353,-1.018034086,3.554454948,1.169937089,-3.080960088,0.437820782,-0.789410223,-3.9e-05,0.0,-2.42e-06,87556.86886282483,88942.78772812933,88237.3467425804,262.7850293759386,286.4710293168044,277.59122545379324,274.11110708549194,308.085543157642,293.6691377582932,-2.902180952483952,5.107131531675388,0.8849142733129132,-4.254291921347862,4.688415760883576,-0.6028961490426789,-0.0006276054813662,0.0017089268631983,4.829424406380532e-07,84841.03314074587,89476.63865056536,88093.12059683936,246.35076639439893,286.4710293168044,273.6306734757635,260.7139712116802,308.085543157642,283.4775477315812,-4.918578270551892,5.493190298126575,0.1337645623447476,-4.254291921347862,6.839524121526276,0.1212508293770718,-0.0008582966688534,0.0017089268631983,1.0366567686688789e-06,33.31190490722656,2.71967376451607,0.0,3.4588574814662447,1029.0,859.0101554728278,824.0,25.895482105776843,0.2746734918332568,87.9219644689609,0.0026702880859375,44.06166076660156,43.85795593261719,12.077713012695312,2019.0,6.0,45cad03f-97e7-4301-92e2-e63a0040913a,True,/incidents/2019/6/14/rocky-fire/
486,Sonoma,2017-10-08T21:45:00Z,2018-02-09T09:27:00Z,"off of Hwy 128 and Bennett Ln, Calistoga",38.60895,-122.62879,Tubbs Fire (Central LNU Complex),36807.0,True,26.3900683131897,209209.0,0.44,77.3,48.5,38.5,-122.75,Autumn,2017,97950.52136,98224.22872,98098.13356,266.8398975,281.5653621,277.7223319,285.4653887,301.9965828,292.5187587,-1.226025441,3.01418919,0.943588393,-2.616732595,0.770634525,-1.137074564,0.0,0.0,0.0,97808.32184071383,99922.06964525506,98672.70952313404,260.9296314774513,292.39973416713417,280.5529398825768,273.3747612296268,313.35074378481,289.726601668163,-4.160064736150122,5.321782213392996,0.626731261632911,-5.227508761231446,4.409627332121719,-0.1864508147943118,-0.0022107642211327,0.0011146693206172,-4.080140574740519e-06,95890.23202718476,100618.63347664537,98708.86213019618,260.9296314774513,292.39973416713417,280.8587819695367,271.4882460350815,313.4329764984184,288.54818712362595,-6.432799859185403,5.725137921030721,0.9356265574281692,-5.227508761231446,7.047865185113231,0.0170494047515951,-0.0026612449372291,0.0024495781938707,-1.29132716398744e-06,49.04397964477539,13.32370481616319,0.0,8.271864872419465,548.0,226.99556944007296,120.0,80.14724828394273,0.4792174395392922,49.45580727017029,0.1800537109375,9.368133544921877,39.998626708984375,50.45318603515625,2017.0,10.0,82c2aafa-ef04-49f0-a172-0dfa8a15582e,True,/incidents/2017/10/8/tubbs-fire-central-lnu-complex/
1317,San Diego,2019-09-24T15:00:00Z,,Dehesa Road and Sloan Canyon Road,32.787656,-116.806941,Dehesa Fire ,200.0,True,68.3689980087451,1233777.0,0.31,86.1,59.3,32.75,-116.75,Autumn,2019,94090.26206,94321.59746,94201.72089,271.2356149,286.7755346,281.3106986,286.8566379,300.7723286,293.0588735,-2.009631093,3.172335556,0.546554418,-0.779237704,2.882869415,0.818379301,-8.71e-07,0.0,-3.63e-08,92973.36219252132,94821.95185727038,94179.74430475956,237.41635578914523,293.44307253337576,276.0539777927323,277.12918692668507,307.2735955289262,292.01280028929534,-8.187134124121133,5.266394842033531,-0.0466542068556533,-2.986219008580511,5.457276061440792,0.0422782200201448,-0.0025295881117366,0.0014257900205497,8.839629558271504e-06,92973.36219252132,95348.99879736162,94283.20377630882,237.41635578914523,293.44307253337576,279.43459312011004,272.9591421724819,307.2735955289262,289.407617332341,-8.52985976372576,6.723400886264034,0.4246359599219407,-3.3718637880859084,6.812194963923531,0.1314711855764543,-0.0027294391631323,0.0021467871004758,1.468985942145593e-05,48.9951286315918,13.55320048698933,0.0,8.010057068573213,577.0,376.6918501741128,197.0,93.0564065333217,0.2641922595454197,97.58981214598676,1.268768310546875,27.810287475585938,68.54133605957031,2.379608154296875,2019.0,9.0,94cd8534-defa-4a82-b1be-42a2704c13d2,True,/incidents/2019/9/24/dehesa-fire/
471,San Luis Obispo,2016-06-04T17:46:00Z,2016-06-19T08:30:00Z,Off Soda Lake Road north of Cuyama,35.01382,-119.58206,Soda Fire,0.0,False,7.24320990826631,121031.0,0.0,89.0,54.7,35.0,-119.5,Summer,2016,92559.23707,92865.29958,92650.99944,268.617278,280.3632891,275.0941216,291.8608383,306.3452677,299.6034675,-0.777818187,0.696416036,0.074118582,-3.551730486,1.366959662,-0.933239843,0.0,0.0,0.0,92014.25841846855,93142.21328281172,92559.08549137165,262.25304940681383,288.87610275713047,279.49149204303507,283.46165023654,309.6337059772724,299.3545036548898,-1.8558948805510709,2.703614190960968,0.0781897226046894,-4.414528350948826,2.48728356111012,-1.1381894032543816,-2.916490113196932e-05,0.0003791437147156,1.3377005677049037e-07,91269.92272118627,93886.0284656204,92721.9300219723,251.0560523973195,288.87610275713047,277.31811002164056,272.5917438197809,309.6337059772724,290.53914479055453,-4.762634734644068,6.25001640436827,0.0194027807449512,-6.418777528687464,6.739603682654174,-0.4965103023721745,-0.0017818454245722,0.0020380135689097,-3.177692826048608e-07,49.13191223144531,9.624932214009329,0.0,7.516612965127846,1229.0,887.2895345293337,728.0,110.31826529165012,0.1567448634727328,99.99923706054688,0.0,91.9208526611328,8.078384399414062,0.000762939453125,2016.0,6.0,5c86c26b-e6c0-4e47-90b7-bc5da3885ebe,False,/incidents/2016/6/4/soda-fire/
1173,Santa Clara,2018-05-27T17:05:00Z,2019-01-04T10:22:00Z,"Keeler Court and Santa Teresa Blvd., south of San Jose",37.21803,-121.76828,Keeler Fire,16.0,False,137.63517845693525,678442.0,0.06,70.7,48.6,37.25,-121.75,Spring,2018,96375.85046,96626.98825,96461.35013,279.3281135,284.6964457,282.6091912,283.1875018,292.2318012,287.3380363,-0.083917717,2.594625122,1.285591464,-0.421171319,0.767563984,0.181076768,-2e-06,3.72e-06,3.22e-07,95603.83428387225,97633.08964662842,96472.2593336102,269.30805276651824,288.95786266109485,279.4411326700398,272.7658503205282,305.0209965894691,286.2392271310536,-3.3814598510643465,4.624527838120516,1.1399650103159038,-3.899037297564792,5.549185040679872,0.1275320706147676,-0.0019109132876246,0.001745132827101,-1.0949094816393968e-05,94789.9618121786,97775.19436390826,96481.19535614696,259.6731407262505,290.2909107206797,279.7073181392141,270.22232443717377,307.3040691766498,287.7615265262212,-3.5454724336145977,6.401001473212998,0.7862061070628649,-6.218998016035635,6.534560638456141,-0.2370148752312183,-0.0037078704037667,0.0023478407189874,-8.152856631881967e-06,38.12085723876953,8.591240288298533,0.0,7.164686754594956,343.0,122.70927028499126,50.0,71.30164631427536,0.2482659732594209,93.6603931377066,1.4736175537109375,40.48805236816406,51.79214477539063,6.246185302734375,2018.0,5.0,7f775329-242f-4211-b564-92f90062c227,True,/incidents/2018/5/27/keeler-fire/
1379,Tehama,2019-10-09T08:31:40Z,2019-10-09T12:39:00Z,"Inghram Road, South Corning",39.847708,-122.1604,Corning Fire ,68.0,False,2.0444737172249403,27840.0,0.16,73.2,45.5,39.75,-122.25,Autumn,2019,99304.72946,99737.04403,99543.47945,268.4070992,276.1291276,273.1194594,285.0121295,304.1406604,295.2755246,-2.673697193,1.23528851,-0.229056966,-3.921483513,0.808282696,-0.956472352,0.0,0.0,0.0,97772.78666187264,100986.35986163458,99956.35598994837,248.8262815772482,291.54611739098283,273.90536995689325,272.1835843534564,311.84847691593444,291.83844859250905,-4.777886300270847,4.064885415833405,0.2565040063670393,-9.53914368710528,8.747099322197851,-1.0194128363377617,-0.0011590315552605,0.0006934674669177,-4.656480161980786e-06,97690.0921072208,101642.15908301924,99926.68848443902,248.8262815772482,294.2088469339018,278.5781439414027,271.9561480428917,314.8460874891768,291.4167399806301,-5.401995880437563,4.064885415833405,-0.2187960241687027,-9.53914368710528,8.747099322197851,-0.0144946632520008,-0.0020699481173324,0.002497702547303,-3.3656586876186767e-06,11.05594539642334,1.9104808155727664,0.0,1.2092899748876302,88.0,69.80315958896941,56.0,5.1209272212394366,0.2778808294558058,87.79842372530847,0.389862060546875,48.148345947265625,39.30778503417969,12.154006958007812,2019.0,10.0,18fe1e24-799d-4aa9-a7ec-fa8e331ae3e9,True,/incidents/2019/10/9/corning-fire/
1235,San Bernardino,2019-08-03T17:22:51Z,2019-08-04T06:39:00Z,Off La Barisa Dr & Hwy 247 in Landers,34.202883,-116.4449,La Barisa Fire,26.0,False,10.060898294903192,731400.0,0.06,101.4,73.8,34.25,-116.5,Summer,2019,88381.72088,88683.71302,88534.39613,266.5484891,276.894902,273.8591065,296.5351901,309.9050336,303.4231936,-1.953354305,2.751947949,0.931651789,-0.719720871,1.936673248,0.544682849,0.0,0.0,0.0,87720.16443909938,88980.99470591152,88382.26393385156,246.5075302260236,290.3089236982331,275.44372665684944,288.57719361895766,311.5380263520137,300.6782093069912,-4.14308413036277,5.9124523695640905,1.121319602680372,-3.993146637588303,4.801376278974921,0.9025578376641884,-0.0075687269586533,0.0004720108964523,-2.0385773758534423e-05,86857.10544782781,89603.2973988296,88386.11562276093,230.43077900437603,290.3089236982331,270.9095286649076,268.2387015467122,311.5380263520137,290.0391387752531,-4.751998977739135,7.507899312551142,1.100274456025906,-6.9191884449221615,6.340311509316141,0.3631853514862944,-0.0075687269586533,0.0018277572180822,-3.1167687726604616e-05,40.10524368286133,6.6812310407360975,0.0,6.669468753509355,1364.0,1134.6475053858694,1020.0,82.68345216829603,0.1274857764150581,100.0,0.0003814697265625,99.58648681640624,0.4131317138671875,0.0,2019.0,8.0,4433d477-a962-4ad9-a306-71f0f79fff65,True,/incidents/2019/8/3/la-barisa-fire/
995,Madera,2018-08-23T15:40:00Z,2019-01-04T09:15:00Z,"Road 29 & Road 607, southwest of Eastman Lake",37.197039,-120.002619,Eastman Fire,289.0,False,6.746613167658987,50968.0,0.01,88.8,58.4,37.25,-120.0,Summer,2018,97741.60598,98078.0066,97906.74888,281.5956375,286.4673035,284.3422311,290.2572836,305.7049798,298.2942329,0.374033078,2.726032794,1.255724213,-2.123938297,1.206892094,-0.752149615,0.0,0.0,0.0,96747.38969965512,98354.98161041002,97658.97858920124,268.3353716881845,291.01267725332855,282.262519295724,283.2954374068318,313.02348277505985,300.6547795641632,-1.9705564300898943,5.188691600989151,1.7042328114174794,-4.436784389732707,3.3365365864674543,-1.255721211242408,-8.01701708922492e-06,3.43586446681192e-06,3.890245093765459e-10,96496.76865281611,99359.53277547187,97966.3889168666,258.0664615777502,291.01267725332855,278.947198698008,269.9102497669836,313.02348277505985,291.2802582985918,-6.359375054717707,6.371854658844128,0.7342528860712205,-5.289946534859092,6.552347201592897,-0.8120853916531621,-0.0033322158887287,0.0045482255879408,4.710160965741162e-06,32.09220504760742,8.523142145956536,0.0,4.652309200675807,269.0,175.49047240348744,111.0,29.790008665093893,0.119869187298943,99.98954683598213,1.4682769775390625,95.82138061523438,2.700042724609375,0.0102996826171875,2018.0,8.0,eeb859ef-dc44-48e2-a2d7-dce44bc47d01,True,/incidents/2018/8/23/eastman-fire/
