,COUNTYNAME,Started,Extinguished,Location,Latitude,Longitude,Name,AcresBurned,MajorIncident,PopDensity,Housing,pcp,tmax,tmin,closest_weather_lat,closest_weather_lon,season,season_year,24_hour_sp_min,24_hour_sp_max,24_hour_sp_mean,24_hour_d2m_min,24_hour_d2m_max,24_hour_d2m_mean,24_hour_t2m_min,24_hour_t2m_max,24_hour_t2m_mean,24_hour_u10_min,24_hour_u10_max,24_hour_u10_mean,24_hour_v10_min,24_hour_v10_max,24_hour_v10_mean,24_hour_tp_min,24_hour_tp_max,24_hour_tp_mean,season_sp_min,season_sp_max,season_sp_mean,season_d2m_min,season_d2m_max,season_d2m_mean,season_t2m_min,season_t2m_max,season_t2m_mean,season_u10_min,season_u10_max,season_u10_mean,season_v10_min,season_v10_max,season_v10_mean,season_tp_min,season_tp_max,season_tp_mean,year_sp_min,year_sp_max,year_sp_mean,year_d2m_min,year_d2m_max,year_d2m_mean,year_t2m_min,year_t2m_max,year_t2m_mean,year_u10_min,year_u10_max,year_u10_mean,year_v10_min,year_v10_max,year_v10_mean,year_tp_min,year_tp_max,year_tp_mean,average_ndvi,percent_vegetated_below_0.5,range_-1_0,range_0_0.2,range_0.2_0.5,range_0.5_1,YEAR,MONTH_NUM,UniqueId,CalFireIncident,CanonicalUrl
1257,Santa Barbara,2019-11-25T19:59:12Z,2019-12-14T08:22:00Z,Highway 154 and E Camino Cielo near Painted Cave in the Los Padres National Forest,34.5025,-119.785,Cave Fire (No Longer a CAL FIRE Incident),3126.0,False,10.922250827510114,159246.0,2.19,68.9,43.5,34.5,-119.75,Autumn,2019,95670.8795,96307.83692,95962.57844,267.5759125,274.9393014,271.9340974,282.4807633,293.4409191,287.3139271,-1.316301063,1.829008624,-0.067941211,-3.338461484,1.178137295,-1.612903534,0.0,0.0,0.0,94376.02932205913,96605.11861485816,95851.68852550795,254.31301568411004,290.3326074425793,276.307241108859,276.4684844444947,303.35145635323846,290.9197902212114,-4.113820200544313,5.682843074065424,0.5433308709002772,-5.866104905296401,4.176449541792159,-1.0863353473807706,-0.001969761234549,0.0011682661722823,-3.673199918068769e-06,94376.02932205913,97165.66208341598,95959.74786462195,254.31301568411004,290.81643250565094,279.5288508435249,275.8396230457834,304.1668155266128,288.86443633250315,-8.429687080885655,6.433012659603957,0.740251348982859,-5.88979017521878,8.328052238955767,-0.6854944639108345,-0.0028439135665908,0.0033664534995773,-5.34337997586834e-06,0.4759116976868873,55.865781131384495,0.0019073486328125,3.0384063720703125,52.82630920410156,44.13337707519531,2019.0,11.0,7555692b-f672-4660-8f15-d0dab068a193,False,/incidents/2019/11/25/cave-fire-no-longer-a-cal-fire-incident/
1222,Placer,2019-11-25T12:39:44Z,,"Foothills and McAnally Drive, northwest of Roseville",38.838992,-121.325842,Foothills Fire,355.0,False,24.667202572347268,168919.0,2.09,61.2,38.0,38.75,-121.25,Autumn,2019,100061.5416,100724.6682,100374.0233,271.5288422,279.1144072,274.2775663,276.5037371,292.5448201,283.2781171,-1.666342686,1.823380945,-0.34339264,-1.295455125,0.66009793,-0.173770339,0.0,0.0,0.0,98180.50221930172,100883.25335994842,99860.67151338194,257.2610779565328,289.83299321661013,276.8558685607704,273.8802592302688,311.671076593694,290.6001927395532,-4.768319246291735,4.545489186313455,-0.1256120351074631,-7.082556075925234,9.285180069665223,0.172036381816302,-0.0011320246564232,0.0017314035725532,9.429039249307776e-06,97796.3389084507,101530.67844921642,99880.39822267904,257.2610779565328,292.27467447896487,280.2098419195825,271.7480438187251,314.20130554872594,290.3460818610488,-6.548916822168644,4.992889651807179,-0.1348200065246606,-7.082556075925234,10.278139462564946,1.0494722176927638,-0.0016613598736333,0.0027484311113469,2.389491962213792e-05,0.1309377632889093,99.93384508789993,2.5493621826171875,92.0146942138672,5.3714752197265625,0.0644683837890625,2019.0,11.0,77d64e4c-a50f-4f4d-a750-e6a6f0ddadc9,True,/incidents/2019/11/25/foothills-fire/
1475,Yolo,2019-11-25T12:02:02Z,,"County Road 102 and County Road 17, North of Woodland",38.734634,-121.729691,Cashe Fire ,,False,19.97086321140056,79263.0,0.54,70.3,42.0,38.75,-121.75,Autumn,2019,101181.5818,101870.8776,101490.5306,272.9363333,276.8317454,275.0914601,275.5678367,293.5625975,283.6467061,-1.121020609,0.768753936,-0.198620603,-1.175814146,1.100401025,-0.08115486,0.0,0.0,0.0,99264.95232840706,102026.84577712754,100950.15055914212,252.9134191729866,290.1296039196121,276.4294986792613,273.0899180510566,313.15737288323413,291.72519645256085,-3.392351776943114,3.729475758683393,0.3365780939874526,-10.126416918257592,8.126423787308852,-0.3063303787486384,-0.0015411356142933,0.0011921367860932,7.505639379086634e-07,98854.09647143424,102703.05694554652,100963.42946128278,252.9134191729866,291.4795773473436,280.11192258835644,272.85452146962217,316.0799294739901,291.20414596637374,-5.459960972193354,5.448731635517765,0.1530453368637696,-10.126416918257592,8.68090202933787,0.7271019948063124,-0.0018558095452615,0.0023680694328842,2.557241839525317e-06,0.1649772494446997,94.22484825944088,0.5100250244140625,76.15585327148438,17.588424682617188,5.745697021484375,2019.0,11.0,9c26f915-1b33-422d-b30a-9eb4da6fd729,False,/incidents/2019/11/25/cashe-fire/
1376,Lake,2019-11-05T06:52:14Z,2019-11-06T18:30:00Z,"Walker Ridge Road and Bartlett Springs Road, northeast of Clearlake",39.100408,-122.496548,Eagle Fire,75.0,False,4.504751921733054,34572.0,1.66,65.8,42.6,39.0,-122.5,Autumn,2019,95037.58576,95241.70523,95134.56432,264.0977855,272.6081443,269.0417671,280.5919048,299.4816275,289.0002252,-1.172795254,0.97754082,0.079152244,-1.559029667,0.664349133,-0.74520278,0.0,0.0,0.0,93112.58213896053,95947.74924370163,95068.44691883922,248.85673210569328,289.4912706196155,273.9352839553719,271.5308421421358,309.875466921786,290.1575791854933,-3.335512220949571,5.236568144333949,0.4606099189598513,-7.614563677258664,5.9133693360999295,-0.8629239331696402,-0.0013536554649457,0.0009431506026195,-2.193133785407027e-06,92869.73230757784,96491.0210647689,95025.79541621148,248.85673210569328,292.7900778678314,277.9506596399305,271.45578815964944,312.46141777290626,289.2088391652447,-4.019275196515451,6.033447464005789,0.5217612161400123,-7.614563677258664,6.790938952454731,-0.1671950487865205,-0.0031415121679716,0.0019568676183299,-1.775451987656313e-05,0.4264564962948069,75.75569152832031,0.0,5.3802490234375,70.37544250488281,24.244308471679688,2019.0,11.0,600d608d-6279-435d-bc9b-99aacaa5e80f,True,/incidents/2019/11/5/eagle-fire/
1259,Tehama,2019-11-03T14:16:17Z,2019-11-14T18:02:00Z,"Colyer Springs Rd and Raglin Ridge Rd, southwest of Red Bluff",40.036379,-122.637837,Ranch Fire,2534.0,True,2.0444737172249403,27840.0,1.4,66.9,42.7,40.0,-122.75,Autumn,2019,89935.12238,90361.67974,90114.88273,256.6171057,266.9251734,263.5780119,279.8834406,295.3559329,286.5817717,-1.426603568,1.632602634,0.426755205,-0.939568761,0.442679299,-0.125159865,0.0,0.0,0.0,87123.50752578853,90682.51367536205,89766.26130732571,237.41748358649505,289.7010409266815,270.2318437769487,267.2493535957559,306.38545673617114,287.49179235766456,-3.0895826568983047,4.148175062239784,0.5354315063564389,-5.969348389573437,4.015511169242664,-0.5439013442940358,-0.0009222420357778,0.0009452414593037,-3.069270388947941e-06,87123.50752578853,90937.40132166236,89661.16399008721,237.41748358649505,290.80402673480296,274.34584788350367,266.0086885216257,309.66508833451365,286.53785166905465,-3.612956786343792,4.393541858409927,0.3474369267276463,-5.969348389573437,4.334958655888078,-0.0575101472309813,-0.0025910941458628,0.0022276335589305,-1.9370219831967906e-05,0.3946349499272365,87.69547796222095,0.035858154296875,4.7969818115234375,82.86705017089844,12.30010986328125,2019.0,11.0,69d98a94-4980-4dc0-b388-61c37c635f32,True,/incidents/2019/11/3/ranch-fire/
1446,Riverside,2019-11-01T13:04:34Z,2019-11-01T08:55:00Z,"off of La Sierra Ave and Tin Mine Road,  East of Corona ",33.849906,-117.461363,Sobrante Fire ,19.0,False,31.36497093208157,857148.0,1.88,73.4,48.4,33.75,-117.5,Autumn,2019,97623.62243,98056.46039,97800.24248,246.7669236,264.8218314,257.5353207,278.3186788,298.2648433,287.678915,-2.453654951,0.134514534,-1.534514309,-1.649519544,-0.820535097,-1.091878206,0.0,0.0,0.0,95960.3104418766,98072.68526829992,97248.7081963272,246.7669236164816,293.3765324897365,280.2530807752745,278.0866937941624,309.1033206474189,292.9269526307588,-4.069361537935503,3.8262718342367528,0.1369591214651604,-2.958889850977767,4.154586215709964,0.4076624946116629,-0.0021453931960196,0.0027733471534999,1.0086261370958678e-05,95960.3104418766,98612.81678982344,97381.67460182382,246.7669236164816,293.3765324897365,282.20640641555434,273.39013398100195,309.340991591959,290.6453291096303,-4.58992182797537,5.8195956691786,0.4496678238800172,-4.3787914170937,5.814377054116655,0.5452791403557296,-0.0021453931960196,0.003902409762954,1.8901348402972112e-05,0.0753750969381893,98.986008754784,20.95909118652344,67.67539978027344,10.564041137695312,0.8014678955078125,2019.0,11.0,305f30f5-622d-4c55-8813-45ffbc15aed0,True,/incidents/2019/11/1/sobrante-fire/
1247,Ventura,2019-10-31T20:58:28Z,2019-11-06T18:00:00Z,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",34.302212,-118.997115,Maria Fire ,9999.0,True,35.51398763198856,291512.0,0.0,75.1,45.2,34.25,-119.0,Autumn,2019,97961.72802,98200.91417,98113.6182,253.0825888,262.1365459,258.001101,284.0500739,295.2194711,288.6052441,-5.14706203,-1.602187147,-2.771923637,-4.064809762,-1.758836175,-3.035234359,0.0,0.0,0.0,95937.28157855583,98200.91416633604,97395.4338037638,249.64167906116623,294.17501301340724,280.10228228933903,277.8922357486296,306.08978953243707,291.93375003006093,-5.166196138246531,5.684531377708797,0.0254244024756563,-4.075134110396537,3.5928201983202133,-0.0548378936038941,-0.0012444082031976,0.0014700464870314,2.724543903435266e-06,95937.28157855583,98757.79395209283,97527.17604355472,246.5030190366243,294.17501301340724,282.0503820894065,276.39797918821967,306.08978953243707,289.55735467478706,-6.912464873374864,6.739721154816636,0.3891366133749544,-4.075134110396537,6.798834042428856,0.1916415741800193,-0.0028609888961782,0.0036159623972221,4.071839963445541e-06,0.3109042597751991,87.26130202709663,0.0171661376953125,32.761383056640625,54.48493957519531,12.73651123046875,2019.0,10.0,31852a71-e639-496f-9e7d-0968d1c218b3,True,/incidents/2019/10/31/maria-fire/
1314,San Bernardino,2019-10-31T06:53:47Z,2019-11-05T09:03:00Z,"off of W 59th and Hill Dr, in San Bernardino National Forest",34.183,-117.285,Hillside Fire,200.0,False,10.060898294903192,731400.0,0.0,78.9,51.5,34.25,-117.25,Autumn,2019,89943.49652,90549.57433,90300.4439,248.3447121,259.3001356,252.6211787,278.050304,286.9180457,282.0192098,-2.930319347,-1.170544182,-2.032305949,-4.264008955,-2.049739875,-3.115349278,0.0,0.0,0.0,88294.31587234675,90549.5743280103,89777.12462529102,239.17008066811127,290.1837381924034,270.5745650736112,269.79436591097453,309.13743609400365,290.5269403359005,-3.08226667444369,3.5398229827445444,-0.0662822827754666,-5.435518844399825,6.5802007816069,0.0177203524526968,-0.0020084420832062,0.0012168785901893,-1.1557471997975436e-05,88294.31587234675,90875.64209730212,89804.14906964375,239.17008066811127,291.7750602529958,275.0843400164273,268.6992600756057,309.67987169470035,288.74355510177526,-3.08226667444369,4.457697396858083,0.1720387528517107,-5.969348389573437,6.5802007816069,0.6048996180559332,-0.0025883063369505,0.0017582362333334,-2.183479328021119e-05,0.2593186621572456,94.79913133734982,0.4016876220703125,38.53683471679688,55.88150024414063,5.179977416992188,2019.0,10.0,dfc32e06-b88e-4d30-ae3d-22bc18792f5e,False,/incidents/2019/10/31/hillside-fire/
1396,San Diego,2019-10-31T06:39:56Z,,"off of Border road and Canyon Road, Southeast of Chula Vista ",32.564583,-116.834583,Copper Fire,50.0,False,68.3689980087451,1233777.0,0.0,80.6,50.2,32.5,-116.75,Autumn,2019,96372.21307,96895.59632,96684.52022,240.4681754,281.7083411,258.5604885,284.1444599,293.1304686,287.8737994,-8.597391909,-1.984306538,-5.503036164,-3.036018807,-0.574572679,-1.875288752,0.0,0.0,0.0,95145.92609353302,97004.98342342788,96276.0876431962,236.75095535275287,294.43778979591474,277.9477622960557,278.1913144970221,307.34523796675404,292.43591617832453,-8.597391909460661,5.604055570708039,0.0667138882667256,-3.4514220024405646,5.491892994404268,-0.0150429361825349,-0.0020270855553068,0.0024781878849174,4.36616317962007e-06,95145.92609353302,97507.9547336838,96407.5932358343,236.75095535275287,294.43778979591474,280.8239313101338,273.9644106651777,307.34523796675404,289.8861772115482,-8.597391909460661,6.349160245316455,0.4903921104429522,-3.787266983647626,7.121318102141244,0.0362239410476255,-0.0031479589760811,0.0024952632145048,6.502918333148594e-06,0.2311270021924785,98.87227523818984,0.144195556640625,47.36747741699219,51.36222839355469,1.1260986328125,2019.0,10.0,e471b23c-f00c-44bc-afc1-6ab02b0af4c3,True,/incidents/2019/10/31/copper-fire/
1290,Riverside,2019-10-31T06:22:34Z,2019-11-03T16:15:00Z,"5300 block of 46th Street, East Jurupa Valley ",33.985972,-117.414111,46 Fire,328.0,False,31.36497093208157,857148.0,0.0,82.9,54.6,34.0,-117.5,Autumn,2019,95833.12831,96492.59121,96213.60613,252.0483986,276.2182236,258.0877534,280.7204063,292.7927256,286.0180613,-3.335512221,-1.231885881,-1.950423222,-3.535838734,-1.357401215,-2.198709088,0.0,0.0,0.0,94310.08303164056,96492.59121454076,95637.09899357548,239.64375555503463,292.076182145397,276.2971090063861,276.8221479074228,310.61008620490986,292.799166539948,-3.335512220949571,3.166707877559213,0.0959273132753385,-3.90994453555328,3.371150364431285,0.1670952767955127,-0.0017465622835134,0.0026503350852477,1.1020317768177495e-05,94310.08303164056,96951.59833118429,95744.25221705416,239.64375555503463,293.6799099768374,280.1522583378191,272.3780423989892,311.3651747559845,290.56669092820863,-3.879708761996654,4.06826202312015,0.3548093786990995,-4.459564260675144,4.039803753778437,0.4390197428010823,-0.0017693874689823,0.0035948795923234,1.3398827023659358e-05,0.2541255576937806,88.90418734515107,0.536346435546875,48.480987548828125,39.94636535644531,11.036300659179688,2019.0,10.0,e59fa47f-0f47-49a9-a2c5-092cfaf68ed5,True,/incidents/2019/10/31/46-fire/
