,COUNTYNAME,Started,Extinguished,Location,Latitude,Longitude,Name,AcresBurned,MajorIncident,pcp,tmax,tmin,YEAR,MONTH_NUM
0,Tuolumne,2013-08-17T15:25:00Z,2013-09-06T18:30:00Z,3 miles east of Groveland along Hwy 120,37.857,-120.086,Rim Fire,257314.0,False,0.1,80.1,51.3,2013.0,8.0
1,Los Angeles,2013-05-30T15:28:00Z,2013-06-08T18:30:00Z,Angeles National Forest,34.585595,-118.423176,Powerhouse Fire,30274.0,False,0.55,78.1,53.6,2013.0,5.0
2,Riverside,2013-07-15T13:43:00Z,2013-07-30T18:00:00Z,Hwy 243 & Hwy 74 near Mountain Center,33.7095,-116.72885,Mountain Fire,27531.0,False,0.41,100.2,75.0,2013.0,7.0
3,Placer,2013-08-10T16:30:00Z,2013-08-30T08:00:00Z,"Deadwood Ridge, northeast of Foresthill",39.12,-120.65,American Fire,27440.0,False,0.06,83.9,54.2,2013.0,8.0
4,Fresno,2013-07-22T22:15:00Z,2013-09-24T20:15:00Z,Seven miles north of Big Creek,37.279,-119.318,Aspen Fire,22992.0,False,0.21,91.0,61.7,2013.0,7.0
5,Riverside,2013-08-07T14:05:00Z,2013-08-12T18:00:00Z,"Poppet Flats Rd near Hwy 243, south of Banning",33.86157,-116.90427,Silver Fire,20292.0,True,0.94,99.1,71.5,2013.0,8.0
6,Siskiyou,2013-07-31T22:00:00Z,2013-08-31T06:45:00Z,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",41.32,-123.176,Salmon River Complex,14754.0,False,0.21,88.8,55.4,2013.0,7.0
7,Humboldt,2013-08-10T11:40:00Z,2013-08-12T12:00:00Z,Tish Tang Ridge east of Hoopa Valley Reservation,41.035,-123.488,Corral Complex,12503.0,False,0.36,81.8,54.3,2013.0,8.0
8,Tehama,2013-08-23T14:15:00Z,2013-08-29T16:45:00Z,"Near Deer Creek, 12 miles east of Los Molinos. ",40.04263,-121.85397,Deer Fire,11429.0,True,0.04,89.3,59.5,2013.0,8.0
9,Shasta,2013-09-09T12:32:00Z,2013-09-15T07:30:00Z,"Community of Igo, 10 miles southwest of Redding",40.498332,-122.535496,Clover Fire,8073.0,True,1.47,80.2,50.7,2013.0,9.0
10,San Diego,2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,"off Sunrise Hwy, 9 miles southeast of Julian",32.95435,-116.47381,Chariot Fire,7055.0,True,0.39,90.6,64.0,2013.0,7.0
11,Tehama,2013-05-01T09:12:00Z,2013-05-09T09:00:00Z,"140K3 Line, 8 miles northwest of Butte Meadows",40.190062,-121.595555,Panther Fire,6965.0,True,0.85,77.1,50.8,2013.0,5.0
12,Kern,2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",34.7861,-118.9411,Grand Fire,4346.0,True,0.14,81.5,53.9,2013.0,5.0
13,Ventura,2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",34.7861,-118.9411,Grand Fire,4346.0,True,0.35,75.6,48.8,2013.0,5.0
14,Sonoma,2013-11-22T02:04:00Z,2013-11-27T18:15:00Z,"The Geysers area, 10 miles northeast of Geyserville",38.8167,-122.8498,McCabe Fire,3505.0,True,1.51,67.1,42.3,2013.0,11.0
15,Riverside,2013-05-01T12:38:00Z,2013-05-04T18:30:00Z,Mias Canyon and Bluff Road in Banning,34.288877,-116.941311,Summit Fire,3166.0,True,0.13,88.3,60.3,2013.0,5.0
16,Contra Costa,2013-09-08T13:08:00Z,2013-09-14T17:30:00Z,"off Morgan Territory Road, Southeast of Clayton",37.90757,-121.882582,Morgan Fire,3111.0,True,0.63,81.4,55.6,2013.0,9.0
17,San Diego,2013-05-23T12:20:00Z,2013-05-26T17:45:00Z,"San Felipe Road, north of Highway 78, East of Julian",33.12111,-116.52579,San Felipe Fire,2781.0,True,0.58,80.0,53.1,2013.0,5.0
18,Butte,2013-08-16T16:37:00Z,2013-08-22T18:00:00Z,southeast of Oroville,39.446268,-121.38236,Swedes Fire,2462.0,True,0.03,89.9,58.4,2013.0,8.0
19,San Diego,2013-10-05T12:45:00Z,2013-10-09T19:00:00Z,"On Camp Pendleton, west of Fallbrook",33.341,-117.3092,DeLuz Fire,2236.0,False,1.05,77.1,48.9,2013.0,10.0
20,Tulare,2013-08-24T14:31:00Z,2013-09-24T20:15:00Z,Golden Trout Wilderness on the Sequoia National Forest.,36.208,-118.444,Fish Fire,2060.0,False,0.42,85.3,57.0,2013.0,8.0
